Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,28.65,28.83,28.09,28.3,1062000,0
2008-01-03,28.2,28.2,25.73,25.76,1641500,0
2008-01-04,25.48,25.48,24.7,24.79,1035200,0
2008-01-07,25.0,25.9,24.81,25.69,714800,0
2008-01-08,25.84,26.2,25.23,25.31,700000,0
2008-01-09,25.34,25.89,25.05,25.78,510000,0
2008-01-10,25.78,25.78,25.08,25.6,503200,0
2008-01-11,25.45,25.78,24.72,25.15,818400,0
2008-01-14,25.06,25.21,24.18,24.68,1197300,0
2008-01-15,24.24,24.73,24.06,24.15,851400,0
2008-01-16,24.06,24.15,23.12,23.92,1240300,0
2008-01-17,24.17,24.26,23.55,23.78,1029200,0
2008-01-18,23.83,23.95,23.05,23.46,1448500,0
2008-01-22,22.49,24.47,22.23,23.71,1077400,0
2008-01-23,23.13,26.2,23.02,26.15,1981500,0
2008-01-24,26.11,26.43,24.85,25.02,895700,0
2008-01-25,25.33,25.45,24.02,24.37,857700,0
2008-01-28,24.16,26.14,23.99,25.72,994100,0
2008-01-29,23.22,24.69,23.16,23.83,2079100,0
2008-01-30,23.7,24.81,23.08,24.07,1815400,0
2008-01-31,23.77,24.66,23.39,24.5,998700,0
2008-02-01,24.66,26.0,24.61,25.93,909800,0
2008-02-04,25.82,25.91,25.16,25.18,776500,0
2008-02-05,24.85,25.5,24.67,24.91,846500,0
2008-02-06,25.15,25.2,24.2,24.26,1087900,0
2008-02-07,24.02,25.0,24.02,24.69,483800,0
2008-02-08,24.67,25.1,24.34,24.72,551400,0
2008-02-11,24.63,25.0,24.2,24.57,964300,0
2008-02-12,24.65,24.93,24.02,24.78,989300,0
2008-02-13,24.97,25.05,24.15,25.01,806400,0
2008-02-14,25.1,25.24,24.35,24.75,535300,0
2008-02-15,24.56,25.2,24.56,24.87,845400,0
2008-02-19,25.15,25.15,24.48,24.69,974100,0
2008-02-20,24.5,25.17,24.3,24.95,1404200,0
2008-02-21,25.0,25.04,24.19,24.29,508000,0
2008-02-22,24.36,24.74,24.01,24.63,602300,0
2008-02-25,24.69,24.69,24.01,24.28,590700,0
2008-02-26,24.16,24.39,24.01,24.06,503600,0
2008-02-27,24.03,24.5,23.81,24.32,528200,0
