Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,13.2,13.45,12.73,12.88,477000,0
2008-01-03,13.09,13.17,12.42,12.5,298500,0
2008-01-04,12.5,12.54,11.59,12.07,645900,0
2008-01-07,11.75,11.76,11.08,11.74,1035300,0
2008-01-08,11.72,11.72,11.17,11.17,618300,0
2008-01-09,11.17,11.5,10.6,10.98,711600,0
2008-01-10,10.83,10.98,10.32,10.44,1417500,0
2008-01-11,10.4,10.49,10.07,10.1,847200,0
2008-01-14,10.17,10.22,9.97,9.99,939300,0
2008-01-15,9.97,9.98,9.38,9.41,1080000,0
2008-01-16,9.39,9.77,9.21,9.6,1000500,0
2008-01-17,9.75,9.81,9.32,9.52,1006800,0
2008-01-18,9.57,10.05,9.42,9.64,920400,0
2008-01-22,9.25,10.38,9.14,9.97,774300,0
2008-01-23,9.91,11.68,9.75,11.62,920100,0
2008-01-24,11.67,11.67,11.01,11.2,591600,0
2008-01-25,11.34,11.6,11.17,11.41,423900,0
2008-01-28,11.37,11.96,11.2,11.93,450000,0
2008-01-29,11.97,12.56,11.88,12.41,573000,0
2008-01-30,12.26,12.38,11.72,11.85,551700,0
2008-01-31,11.69,12.29,11.54,12.12,282000,0
2008-02-01,12.19,12.47,12.13,12.36,187800,0
2008-02-04,12.33,12.58,12.12,12.45,288300,0
2008-02-05,12.22,12.44,11.6,11.73,422700,0
2008-02-06,11.85,11.99,11.0,11.09,489900,0
2008-02-07,11.02,11.54,11.02,11.5,504300,0
2008-02-08,11.49,11.64,11.27,11.5,365100,0
2008-02-11,11.47,11.66,11.21,11.28,328200,0
2008-02-12,11.7,11.7,11.13,11.13,519900,0
2008-02-13,11.3,11.63,11.3,11.59,294600,0
2008-02-14,11.68,11.82,11.5,11.64,468000,0
2008-02-15,11.51,11.57,11.26,11.33,432600,0
2008-02-19,11.5,11.57,11.27,11.34,272400,0
2008-02-20,11.29,11.62,11.29,11.39,251100,0
2008-02-21,11.51,11.71,11.25,11.41,280500,0
2008-02-22,11.11,11.5,10.94,11.33,532200,0
2008-02-25,11.33,12.75,11.27,12.26,682500,0
2008-02-26,12.15,13.17,12.01,13.15,661200,0
2008-02-27,12.99,13.33,12.73,13.1,512100,0
2008-02-28,13.18,13.21,12.5,12.51,402900,0
2008-02-29,12.47,12.87,12.03,12.17,472500,0
2008-03-03,12.11,12.51,12.0,12.34,402000,0
2008-03-04,12.19,12.75,12.19,12.72,477000,0
2008-03-05,12.78,12.79,12.25,12.52,342000,0
2008-03-06,12.42,12.69,12.35,12.55,314700,0
2008-03-07,12.39,12.8,12.21,12.69,257400,0
2008-03-10,12.76,12.76,11.77,12.03,520500,0
