Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,15.19,15.48,15.1,15.23,882600,0
2008-01-03,15.24,15.31,15.0,15.01,512400,0
2008-01-04,14.95,14.95,14.69,14.8,299400,0
2008-01-07,14.83,14.93,14.47,14.61,690800,0
2008-01-08,14.68,14.77,14.48,14.53,368600,0
2008-01-09,14.51,14.56,14.05,14.14,783200,0
2008-01-10,14.03,14.16,13.77,13.84,1017800,0
2008-01-11,13.74,14.11,13.65,13.88,407200,0
2008-01-14,14.0,14.07,13.82,13.98,237600,0
2008-01-15,13.98,14.11,13.81,14.11,310200,0
2008-01-16,14.03,14.36,13.77,14.1,476400,0
2008-01-17,14.06,14.34,14.01,14.23,309400,0
2008-01-18,14.22,14.44,14.0,14.11,351200,0
2008-01-22,13.66,14.28,13.57,13.74,997000,0
2008-01-23,13.51,14.43,13.45,14.38,976000,0
2008-01-24,14.43,14.64,14.35,14.4,444800,0
2008-01-25,14.16,14.48,13.77,14.12,601400,0
2008-01-28,14.22,14.66,14.07,14.62,269800,0
2008-01-29,14.7,14.9,14.44,14.85,209600,0
2008-01-30,14.74,15.15,14.52,15.09,456400,0
2008-01-31,14.9,15.36,14.9,15.19,330000,0
2008-02-01,15.23,15.87,15.23,15.85,496600,0
2008-02-04,15.74,16.1,15.61,15.89,693600,0
2008-02-05,15.57,15.74,15.05,15.05,790200,0
2008-02-06,16.02,18.15,15.87,16.96,3974400,0
2008-02-07,16.95,17.01,16.37,16.51,1272200,0
2008-02-08,16.51,17.11,16.51,16.75,506000,0
2008-02-11,16.83,17.2,16.62,17.0,472400,0
2008-02-12,17.05,17.42,16.95,17.09,615800,0
2008-02-13,17.25,17.41,17.09,17.25,461600,0
2008-02-14,17.23,17.23,16.03,16.08,1343000,0
2008-02-15,16.0,16.2,15.43,15.91,831000,0
2008-02-19,16.28,16.94,16.03,16.07,425000,0
2008-02-20,16.05,16.23,15.96,16.08,310200,0
2008-02-21,16.06,16.47,15.81,15.88,265000,0
2008-02-22,15.93,15.93,15.56,15.83,312800,0
2008-02-25,15.81,16.23,15.44,16.07,435600,0
2008-02-26,15.99,16.76,15.99,16.51,609200,0
2008-02-27,16.38,16.43,16.13,16.2,290200,0
2008-02-28,16.17,16.77,15.9,16.67,687600,0
2008-02-29,16.5,16.5,16.25,16.29,527400,0
2008-03-03,16.27,16.38,15.85,15.98,326800,0
2008-03-04,15.93,16.5,15.8,16.5,510400,0
2008-03-05,16.53,16.73,16.15,16.41,368200,0
2008-03-06,16.3,16.4,15.85,15.94,459400,0
2008-03-07,15.75,16.39,15.54,16.01,870200,0
2008-03-10,16.03,16.05,15.4,15.44,455200,0
2008-03-11,15.69,15.75,15.44,15.55,686400,0
2008-03-12,15.54,15.74,15.32,15.51,661200,0
2008-03-13,15.35,16.1,15.28,15.76,400600,0
2008-03-14,15.87,15.97,15.24,15.39,794200,0
2008-03-17,15.1,15.48,15.02,15.25,283600,0
2008-03-18,15.55,15.68,15.1,15.46,511200,0
2008-03-19,15.57,16.25,15.18,15.8,1212000,0
2008-03-20,15.95,16.4,15.77,16.16,1059800,0
2008-03-24,16.17,16.5,16.11,16.46,285400,0
2008-03-25,16.4,16.5,16.01,16.36,311800,0
2008-03-26,16.32,16.32,15.7,16.0,503200,0
2008-03-27,16.0,16.0,15.36,15.43,654800,0
2008-03-28,15.41,15.74,14.72,14.76,457400,0
2008-03-31,14.73,15.06,14.73,14.94,687200,0
2008-04-01,15.0,15.18,14.86,14.93,497200,0
2008-04-02,15.08,15.24,14.7,14.77,790200,0
2008-04-03,14.7,15.31,14.7,15.27,425200,0
2008-04-04,15.32,15.35,14.81,14.88,546200,0
2008-04-07,14.95,15.19,14.71,14.78,484800,0
2008-04-08,14.69,14.75,14.61,14.74,232200,0
2008-04-09,14.79,14.84,14.5,14.74,628800,0
2008-04-10,14.78,15.15,14.64,15.15,461200,0
2008-04-11,15.01,15.05,14.9,14.94,481000,0
2008-04-14,14.96,15.11,14.88,15.02,484600,0
2008-04-15,15.1,15.7,15.07,15.49,894200,0
2008-04-16,15.48,15.76,15.4,15.55,726000,0
2008-04-17,15.5,15.85,15.43,15.62,756200,0
2008-04-18,15.81,15.95,15.71,15.9,508000,0
2008-04-21,15.86,16.03,15.86,16.0,315200,0
2008-04-22,15.96,16.0,15.63,15.74,468800,0
2008-04-23,15.77,16.23,15.75,16.11,368800,0
2008-04-24,16.12,16.33,15.76,16.11,272600,0
2008-04-25,16.12,16.3,15.88,16.2,277200,0
2008-04-28,16.15,16.19,15.98,16.06,386800,0
2008-04-29,16.08,16.14,15.91,16.01,311400,0
2008-04-30,16.09,16.23,15.88,16.06,293600,0
2008-05-01,16.12,16.89,15.9,16.8,944800,0
2008-05-02,16.86,16.95,15.88,15.9,545800,0
2008-05-05,15.89,16.0,15.81,15.84,246400,0
2008-05-06,15.74,15.98,15.7,15.97,489200,0
2008-05-07,16.0,16.84,16.0,16.31,362600,0
2008-05-08,16.34,16.62,16.06,16.31,290600,0
2008-05-09,16.21,16.33,16.11,16.24,251000,0
2008-05-12,16.32,16.84,16.32,16.84,232400,0
2008-05-13,16.8,17.12,16.78,17.07,268000,0
2008-05-14,17.03,17.48,17.03,17.18,370200,0
2008-05-15,17.15,17.31,16.99,17.22,277800,0
2008-05-16,17.33,17.33,16.75,16.89,233200,0
2008-05-19,16.94,17.43,16.81,17.34,275800,0
2008-05-20,17.33,17.43,16.83,17.18,224200,0
2008-05-21,17.36,17.55,17.1,17.28,352400,0
2008-05-22,17.27,17.99,17.11,17.18,263400,0
2008-05-23,17.1,17.64,16.89,16.98,222800,0
2008-05-27,17.02,17.43,16.9,17.1,400600,0
2008-05-28,17.2,17.6,16.91,17.2,842200,0
2008-05-29,17.11,17.27,16.83,17.0,629400,0
2008-05-30,16.91,17.0,16.16,16.47,589000,0
2008-06-02,16.5,16.96,16.28,16.92,376800,0
2008-06-03,17.13,17.21,16.87,17.1,687200,0
2008-06-04,17.02,17.16,16.79,17.03,298800,0
2008-06-05,17.0,17.37,17.0,17.11,209200,0
2008-06-06,17.01,17.12,16.75,16.85,205800,0
2008-06-09,16.9,17.34,16.73,17.32,444000,0
2008-06-10,17.25,17.73,16.74,17.5,632800,0
2008-06-11,16.76,16.92,15.73,15.73,1905200,0
2008-06-12,15.83,16.49,15.83,16.1,684400,0
2008-06-13,16.13,16.44,16.0,16.4,599400,0
2008-06-16,16.27,16.54,16.1,16.45,339000,0
2008-06-17,16.47,16.57,16.15,16.48,469600,0
2008-06-18,16.48,16.57,16.22,16.31,427400,0
2008-06-19,16.2,16.39,16.02,16.2,685400,0
2008-06-20,16.12,16.27,15.82,15.9,663400,0
