Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,21.44,21.6,20.72,20.88,105300,0
2008-01-03,20.64,21.36,20.64,20.96,208300,0
2008-01-04,21.2,21.2,18.16,20.0,177900,0
2008-01-07,20.08,20.8,20.0,20.16,137200,0
2008-01-08,20.24,20.48,19.12,19.2,150800,0
2008-01-09,19.2,20.0,19.2,19.68,255500,0
2008-01-10,19.44,20.16,19.2,20.0,134200,0
2008-01-11,19.84,20.96,19.68,20.8,299500,0
2008-01-14,21.2,22.32,20.72,21.6,597500,0
2008-01-15,21.28,23.36,20.88,23.2,380600,0
2008-01-16,23.2,23.92,22.48,23.6,522400,0
2008-01-17,23.6,24.56,23.44,24.0,281700,0
2008-01-18,24.16,24.48,23.84,24.08,280600,0
2008-01-22,23.12,23.84,21.92,23.28,160800,0
2008-01-23,22.4,22.64,21.76,22.48,313700,0
2008-01-24,22.0,22.56,19.12,19.52,451900,0
2008-01-25,19.76,19.92,18.96,19.52,428700,0
2008-01-28,19.52,20.4,19.2,20.16,471100,0
2008-01-29,20.24,20.4,18.8,18.88,204800,0
2008-01-30,18.72,19.12,17.76,18.0,205000,0
2008-01-31,17.68,18.88,17.68,18.4,278400,0
2008-02-01,18.4,19.12,18.16,18.96,214100,0
2008-02-04,18.96,20.8,18.48,20.0,292600,0
2008-02-05,19.6,20.32,19.2,20.0,176800,0
2008-02-06,20.16,20.64,19.52,20.08,194800,0
2008-02-07,20.0,20.4,19.6,20.16,166100,0
2008-02-08,20.0,20.16,19.44,20.08,101700,0
2008-02-11,19.84,20.32,19.68,19.92,125800,0
2008-02-12,19.92,20.24,19.68,20.08,108500,0
2008-02-13,20.24,20.32,19.92,20.0,107700,0
2008-02-14,20.0,20.16,19.52,20.0,113700,0
2008-02-15,19.84,20.24,19.6,20.0,91600,0
2008-02-19,19.84,20.16,19.36,19.52,182400,0
2008-02-20,19.36,20.4,19.2,20.08,194100,0
2008-02-21,20.16,20.48,19.68,20.0,93500,0
2008-02-22,20.0,20.24,19.84,20.0,185800,0
2008-02-25,20.0,20.4,19.76,20.32,71200,0
2008-02-26,20.64,22.4,20.4,21.92,167400,0
2008-02-27,21.52,22.0,20.88,21.28,112400,0
2008-02-28,21.04,21.44,20.72,20.96,85800,0
2008-02-29,20.64,21.12,19.6,20.0,92500,0
2008-03-03,20.08,20.4,18.48,20.08,222200,0
2008-03-04,19.92,20.32,19.6,20.24,98000,0
2008-03-05,20.08,20.56,19.36,20.08,101800,0
2008-03-06,19.92,20.32,19.84,20.0,108900,0
2008-03-07,19.76,20.48,19.36,20.0,230500,0
2008-03-10,20.08,20.24,19.6,19.68,189700,0
2008-03-11,20.24,20.32,18.88,19.76,150000,0
2008-03-12,19.84,20.96,19.68,20.48,87400,0
2008-03-13,20.24,20.88,19.36,20.48,163200,0
2008-03-14,20.72,20.72,19.04,19.28,76900,0
2008-03-17,18.72,19.2,18.32,18.56,95200,0
2008-03-18,19.04,20.24,18.32,20.16,94900,0
2008-03-19,20.24,20.4,18.4,18.4,116000,0
2008-03-20,18.8,20.08,17.6,18.08,371800,0
2008-03-24,18.08,18.96,17.6,17.92,136700,0
2008-03-25,17.92,18.32,17.2,17.76,120300,0
2008-03-26,17.28,17.36,15.68,17.12,240500,0
2008-03-27,17.12,17.2,16.08,16.72,152700,0
2008-03-28,16.4,17.04,16.16,16.24,87500,0
2008-03-31,16.48,17.36,16.16,17.12,169200,0
2008-04-01,17.12,17.6,16.32,17.36,132400,0
2008-04-02,17.28,18.16,17.04,17.68,96400,0
2008-04-03,17.6,18.4,17.52,18.08,145000,0
2008-04-04,18.08,18.8,17.52,18.56,84200,0
2008-04-07,18.8,20.4,18.32,19.12,101800,0
2008-04-08,18.96,19.2,18.4,18.8,120500,0
2008-04-09,18.88,19.04,16.8,17.12,107800,0
2008-04-10,17.2,17.28,16.72,16.96,175700,0
2008-04-11,16.72,16.96,16.08,16.16,95900,0
2008-04-14,16.24,16.8,16.0,16.08,127000,0
2008-04-15,16.24,16.56,16.16,16.32,75600,0
2008-04-16,16.72,16.72,16.0,16.24,104600,0
2008-04-17,16.24,16.64,15.92,16.08,109800,0
2008-04-18,16.24,16.4,16.0,16.16,81900,0
2008-04-21,16.0,16.88,16.0,16.24,127500,0
2008-04-22,16.08,16.32,15.76,15.76,153100,0
2008-04-23,15.76,15.76,14.4,14.88,211900,0
2008-04-24,14.8,14.96,14.4,14.48,115800,0
2008-04-25,14.4,14.8,13.76,14.08,163300,0
2008-04-28,14.72,14.96,14.16,14.8,194300,0
2008-04-29,14.8,14.8,14.0,14.32,147700,0
2008-04-30,14.4,14.64,13.36,14.0,204100,0
2008-05-01,14.0,14.48,13.44,14.48,116800,0
2008-05-02,14.56,14.8,12.88,13.36,194200,0
2008-05-05,13.84,13.84,12.88,13.04,129500,0
2008-05-06,13.04,13.12,12.48,12.96,102400,0
2008-05-07,13.04,13.2,12.4,12.4,95900,0
2008-05-08,12.48,12.88,12.32,12.48,113500,0
2008-05-09,12.4,12.72,12.32,12.4,128700,0
2008-05-12,12.48,13.28,12.48,13.12,63400,0
2008-05-13,13.12,13.68,12.16,13.6,151000,0
2008-05-14,14.0,14.16,13.44,13.92,91300,0
2008-05-15,14.16,15.04,13.44,15.04,122700,0
2008-05-16,14.0,15.92,13.6,15.84,265900,0
2008-05-19,16.0,16.0,14.72,15.2,150200,0
2008-05-20,15.04,15.2,14.0,15.04,175700,0
