Date,Open,High,Low,Close,Volume,Dividend
2010-07-06,49.0,49.85,48.0,48.0,20500,0
2010-07-07,48.1,49.0,47.8,48.5,86900,0
2010-07-08,49.25,49.25,46.8,47.7,56900,0
2010-07-09,47.5,47.5,46.75,47.25,23000,0
2010-07-12,46.95,47.25,46.9,47.0,15400,0
2010-07-13,46.75,47.0,46.75,47.0,15000,0
2010-07-14,46.85,46.85,43.99,44.59,30000,0
2010-07-15,44.39,44.39,40.3,42.6,213000,0
2010-07-16,42.74,44.99,41.1,44.99,941300,0
2010-07-19,44.71,45.79,42.93,43.99,96300,0
2010-07-20,43.9,43.9,42.78,43.03,39300,0
2010-07-21,42.8,43.25,42.05,42.05,18000,0
2010-07-22,42.25,42.98,42.25,42.76,45000,0
2010-07-23,42.75,42.87,42.74,42.76,51700,0
2010-07-26,42.75,43.62,42.75,42.95,16100,0
2010-07-27,43.05,43.66,42.6,42.71,20600,0
2010-07-28,42.75,43.38,42.75,43.0,24000,0
2010-07-29,43.14,43.24,42.88,42.99,5000,0
2010-07-30,42.8,42.85,42.28,42.54,57200,0
2010-08-02,42.75,42.75,41.92,42.12,14300,0
2010-08-03,42.0,42.23,41.75,42.2,24000,0
2010-08-04,42.1,43.25,38.58,40.27,121600,0
2010-08-05,40.15,42.5,40.0,42.38,95600,0
2010-08-06,42.2,42.2,41.55,41.9,6100,0
2010-08-09,41.71,41.73,40.49,41.58,18700,0
2010-08-10,41.5,42.21,41.45,42.21,24200,0
2010-08-11,42.24,43.0,42.15,42.8,217000,0
2010-08-12,42.91,43.35,42.7,43.25,34400,0
2010-08-13,43.0,44.35,43.0,44.15,115100,0
2010-08-16,44.1,44.49,43.75,44.09,4300,0
2010-08-17,43.75,44.14,43.41,43.75,19000,0
2010-08-18,43.9,44.27,43.89,43.89,38000,0
2010-08-19,43.97,43.97,43.5,43.72,7100,0
2010-08-20,43.5,43.74,43.45,43.5,28000,0
2010-08-23,43.86,43.86,42.85,42.94,23500,0
