Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,18.03,18.32,17.49,17.55,559300,0
2008-01-03,17.4,17.56,16.81,16.85,693600,0
2008-01-04,16.6,16.81,16.35,16.59,834800,0
2008-01-07,16.45,17.12,16.45,16.69,764500,0
2008-01-08,16.74,17.15,16.5,16.53,550200,0
2008-01-09,16.46,16.9,16.32,16.81,702200,0
2008-01-10,16.58,17.19,16.4,16.86,514800,0
2008-01-11,16.7,17.53,16.69,16.71,432200,0
2008-01-14,16.85,17.44,16.55,17.34,689900,0
2008-01-15,17.05,17.24,16.66,16.84,474500,0
2008-01-16,16.76,17.44,16.49,17.12,923200,0
2008-01-17,17.27,17.47,16.7,16.97,749900,0
2008-01-18,16.87,17.15,16.25,16.53,729800,0
2008-01-22,16.13,17.61,16.02,17.49,941100,0
2008-01-23,16.86,19.25,16.35,19.22,839300,0
2008-01-24,19.37,19.91,18.96,19.37,824600,0
2008-01-25,19.62,19.94,18.78,18.92,615200,0
2008-01-28,18.84,19.65,18.8,19.17,444000,0
2008-01-29,19.33,19.78,19.16,19.74,485600,0
2008-01-30,19.64,20.48,19.48,20.24,673200,0
2008-01-31,19.89,21.19,19.89,20.85,1086900,0
2008-02-01,20.62,21.31,20.51,20.78,720300,0
2008-02-04,20.78,21.08,20.37,20.81,515100,0
2008-02-05,20.36,20.75,20.04,20.14,328800,0
2008-02-06,20.34,20.34,19.42,19.44,298200,0
2008-02-07,19.37,20.14,19.37,19.64,596100,0
2008-02-08,19.55,19.76,19.05,19.27,331200,0
2008-02-11,19.32,19.41,18.64,18.96,537000,0
2008-02-12,19.1,19.36,18.96,19.16,360700,0
2008-02-13,19.4,19.6,16.3,16.89,1807100,0
2008-02-14,16.69,17.06,16.25,16.83,792300,0
2008-02-15,16.67,16.67,16.17,16.28,469100,0
2008-02-19,16.46,16.46,15.85,15.95,391000,0
2008-02-20,15.87,16.29,15.67,16.24,380300,0
2008-02-21,16.3,16.46,16.07,16.12,645100,0
2008-02-22,16.11,16.15,15.72,16.11,282500,0
2008-02-25,16.08,16.39,15.89,16.31,390900,0
2008-02-26,16.17,17.15,15.91,17.13,616000,0
2008-02-27,16.93,17.31,16.66,17.14,333900,0
2008-02-28,17.04,17.38,16.27,16.44,383700,0
2008-02-29,16.22,16.42,16.01,16.1,217900,0
2008-03-03,16.08,16.45,15.9,16.25,378500,0
2008-03-04,16.14,16.47,16.07,16.19,374100,0
2008-03-05,16.3,16.44,16.15,16.36,299700,0
2008-03-06,16.3,16.59,15.79,15.81,330100,0
2008-03-07,15.65,16.2,15.58,15.99,249400,0
2008-03-10,16.08,16.14,15.39,15.41,290100,0
2008-03-11,15.83,16.6,15.67,16.52,425600,0
2008-03-12,16.56,17.35,16.38,16.64,347400,0
2008-03-13,16.42,16.95,16.16,16.78,493000,0
2008-03-14,16.94,16.99,15.99,16.3,284800,0
2008-03-17,15.85,16.38,15.47,15.56,649800,0
2008-03-18,15.9,16.73,15.74,16.62,810400,0
2008-03-19,16.81,17.29,16.47,16.49,277300,0
2008-03-20,16.69,17.48,16.4,17.42,905000,0
2008-03-24,17.45,18.01,17.26,17.73,364400,0
2008-03-25,17.66,17.66,17.08,17.22,381900,0
2008-03-26,17.0,17.08,16.8,16.86,508300,0
2008-03-27,17.4,18.32,16.82,17.89,958500,0
2008-03-28,18.0,18.15,17.64,17.75,707400,0
2008-03-31,17.6,18.37,17.31,17.87,466100,0
2008-04-01,17.89,18.69,17.82,18.55,585600,0
2008-04-02,18.58,18.59,18.08,18.28,292300,0
2008-04-03,18.08,18.41,17.97,18.26,212700,0
2008-04-04,18.35,18.48,17.74,18.29,400400,0
2008-04-07,18.38,18.61,18.14,18.4,290000,0
2008-04-08,18.22,18.58,17.9,18.39,343700,0
2008-04-09,18.45,18.66,18.19,18.27,448600,0
2008-04-10,18.25,18.54,18.21,18.31,229700,0
2008-04-11,18.25,18.38,18.15,18.22,399600,0
2008-04-14,18.14,18.44,18.02,18.29,309400,0
2008-04-15,18.45,19.0,18.13,18.98,357500,0
2008-04-16,19.12,19.49,18.89,19.12,347900,0
2008-04-17,19.03,19.03,18.43,18.46,318900,0
2008-04-18,18.84,19.06,18.36,18.98,332300,0
2008-04-21,18.61,18.99,18.3,18.79,231600,0
2008-04-22,18.66,18.66,18.28,18.4,195900,0
2008-04-23,18.11,18.47,17.64,18.38,277900,0
2008-04-24,18.37,19.33,17.86,19.08,329800,0
2008-04-25,19.2,19.49,18.5,19.41,291000,0
2008-04-28,19.21,20.01,19.21,19.96,367400,0
2008-04-29,19.97,20.39,19.84,20.17,213500,0
2008-04-30,20.19,20.73,19.98,20.21,324400,0
2008-05-01,20.16,20.9,19.49,20.82,254200,0
2008-05-02,20.98,20.98,20.33,20.73,327900,0
2008-05-05,20.61,20.79,20.02,20.7,209900,0
2008-05-06,20.53,21.18,20.14,21.12,279600,0
