Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,7.5,7.5,6.95,7.12,13100,0
2008-01-03,7.0,7.0,6.91,6.91,800,0
2008-01-04,6.65,7.27,6.65,6.65,1000,0
2008-01-07,7.0,7.5,7.0,7.2,6100,0
2008-01-08,7.2,7.21,6.73,7.2,2300,0
2008-01-09,6.71,7.3,6.71,7.2,7900,0
2008-01-10,6.65,7.05,6.65,7.0,26000,0
2008-01-11,7.05,7.05,6.6,7.03,56300,0
2008-01-14,7.03,7.03,7.03,7.03,0,0
2008-01-15,7.03,7.03,7.03,7.03,0,0
2008-01-16,6.95,7.0,6.95,7.0,300,0
2008-01-17,7.0,7.0,7.0,7.0,0,0
2008-01-18,7.0,7.0,7.0,7.0,0,0
2008-01-22,6.9,7.0,6.9,7.0,6500,0
2008-01-23,6.75,7.3,6.75,7.03,79100,0
2008-01-24,7.19,7.25,7.19,7.19,27100,0
2008-01-25,7.1,7.19,6.89,6.89,500,0
2008-01-28,7.2,7.2,7.2,7.2,200,0
2008-01-29,7.0,7.43,7.0,7.0,1300,0
2008-01-30,7.0,7.0,7.0,7.0,0,0
2008-01-31,7.48,7.48,7.06,7.2,1300,0
2008-02-01,6.9,7.3,6.87,7.3,28600,0
2008-02-04,7.3,7.3,7.3,7.3,0,0
2008-02-05,6.9,7.12,6.9,7.1,900,0
2008-02-06,7.04,7.1,7.04,7.1,400,0
2008-02-07,7.11,7.2,7.11,7.2,700,0
2008-02-08,6.84,7.3,6.84,7.1,900,0
2008-02-11,7.19,7.2,7.19,7.2,600,0
2008-02-12,7.2,7.2,7.1,7.1,1100,0
2008-02-13,7.2,7.2,6.12,6.98,17500,0
2008-02-14,6.8,6.8,6.8,6.8,900,0
2008-02-15,6.54,6.81,6.51,6.81,3100,0
2008-02-19,6.81,6.81,6.81,6.81,0,0
2008-02-20,6.81,6.81,6.81,6.81,0,0
2008-02-21,6.81,6.81,6.81,6.81,0,0
2008-02-22,6.97,7.2,6.97,7.2,1000,0
2008-02-25,6.59,7.2,6.59,7.2,1800,0
2008-02-26,7.2,7.2,7.2,7.2,0,0
2008-02-27,7.2,7.2,7.2,7.2,0,0
2008-02-28,7.2,7.2,7.2,7.2,0,0
2008-02-29,7.2,7.2,7.2,7.2,0,0
2008-03-03,7.2,7.2,7.2,7.2,0,0
2008-03-04,6.39,7.12,6.39,7.01,5800,0
2008-03-05,7.01,7.01,7.01,7.01,0,0
2008-03-06,7.01,7.01,7.01,7.01,0,0
2008-03-07,7.01,7.01,7.01,7.01,0,0
2008-03-10,7.01,7.01,7.01,7.01,0,0
2008-03-11,6.7,7.05,6.38,7.01,1800,0
2008-03-12,6.39,7.0,6.38,6.5,2200,0
2008-03-13,6.5,6.5,6.5,6.5,0,0
2008-03-14,6.5,7.0,6.38,6.93,13300,0
2008-03-17,6.93,6.93,6.93,6.93,0,0
2008-03-18,6.32,6.82,6.32,6.78,1600,0
2008-03-19,6.78,6.78,6.78,6.78,0,0
2008-03-20,6.32,6.62,6.32,6.6,1500,0
2008-03-24,6.6,6.6,6.6,6.6,0,0
2008-03-25,6.32,6.76,6.32,6.76,2000,0
2008-03-26,6.25,6.5,6.25,6.5,7700,0
2008-03-27,6.49,6.49,5.17,5.17,5700,0
2008-03-28,5.1,5.74,4.54,4.54,7600,0
2008-03-31,4.66,6.69,4.66,5.35,14100,0
2008-04-01,5.25,6.3,5.25,6.03,2900,0
2008-04-02,6.0,6.0,5.32,5.51,3700,0
2008-04-03,5.0,5.0,5.0,5.0,100,0
2008-04-04,5.01,5.54,5.01,5.25,700,0
2008-04-07,5.25,6.03,4.8,5.22,4200,0
2008-04-08,5.01,5.82,4.8,5.31,1600,0
2008-04-09,5.14,5.7,4.85,4.85,600,0
2008-04-10,4.88,6.1,4.88,5.68,2400,0
2008-04-11,5.44,5.99,5.16,5.85,5900,0
2008-04-14,5.68,6.32,5.68,6.21,7100,0
2008-04-15,6.2,6.95,5.72,6.2,26000,0
2008-04-16,6.16,6.16,5.42,5.49,2800,0
2008-04-17,5.34,5.7,5.26,5.56,11000,0
2008-04-18,5.5,5.94,5.25,5.94,12800,0
2008-04-21,5.86,6.02,5.86,6.02,500,0
2008-04-22,5.91,5.91,5.75,5.75,2100,0
2008-04-23,5.31,5.69,5.31,5.32,500,0
2008-04-24,5.26,5.3,5.26,5.26,1800,0
2008-04-25,5.22,5.37,5.22,5.22,300,0
2008-04-28,5.12,5.12,5.12,5.12,200,0
2008-04-29,5.14,5.79,5.14,5.45,3100,0
2008-04-30,5.32,5.66,5.16,5.2,1100,0
2008-05-01,5.21,5.7,5.21,5.6,2100,0
2008-05-02,5.51,5.7,5.34,5.42,1300,0
2008-05-05,5.5,5.6,5.21,5.21,9100,0
2008-05-06,5.12,6.11,5.12,5.64,14500,0
2008-05-07,5.5,5.5,5.21,5.36,12000,0
2008-05-08,5.51,5.51,5.37,5.4,5600,0
2008-05-09,5.28,5.68,5.28,5.61,600,0
2008-05-12,5.48,5.7,5.35,5.36,1600,0
2008-05-13,5.33,6.04,5.33,5.51,11500,0
2008-05-14,5.53,5.53,5.18,5.5,35900,0
2008-05-15,5.43,5.81,5.43,5.65,33000,0
2008-05-16,5.6,6.09,5.5,5.8,29200,0
2008-05-19,5.75,6.11,5.4,5.53,13100,0
2008-05-20,5.49,5.88,5.49,5.62,800,0
2008-05-21,5.11,5.71,5.11,5.6,1400,0
2008-05-22,5.36,5.6,5.35,5.48,18100,0
2008-05-23,5.41,5.69,5.4,5.68,4000,0
2008-05-27,5.61,5.9,5.61,5.64,6500,0
2008-05-28,5.59,5.68,5.5,5.51,800,0
2008-05-29,5.51,5.51,5.51,5.51,100,0
2008-05-30,5.5,6.05,5.5,5.57,2900,0
2008-06-02,5.55,5.62,5.3,5.62,21400,0
2008-06-03,5.51,5.75,5.5,5.75,5800,0
2008-06-04,5.66,5.66,5.4,5.52,700,0
2008-06-05,5.42,5.42,5.42,5.42,100,0
2008-06-06,5.37,5.76,5.37,5.7,2500,0
2008-06-09,5.8,5.9,5.55,5.55,10700,0
2008-06-10,5.36,5.87,5.36,5.62,11700,0
2008-06-11,5.48,5.98,5.48,5.77,4100,0
2008-06-12,5.66,5.75,5.58,5.75,3100,0
2008-06-13,5.68,5.75,5.41,5.75,4700,0
2008-06-16,5.61,5.99,5.5,5.51,47600,0
2008-06-17,5.54,5.85,5.5,5.68,14800,0
2008-06-18,5.68,5.84,5.53,5.8,7200,0
2008-06-19,5.66,5.66,5.66,5.66,100,0
2008-06-20,5.65,5.85,5.65,5.85,2200,0
2008-06-23,5.73,5.73,5.65,5.65,1000,0
2008-06-24,5.65,5.65,5.65,5.65,300,0
2008-06-25,5.65,5.8,5.65,5.79,600,0
2008-06-26,5.75,5.75,5.66,5.75,600,0
2008-06-27,5.66,5.66,5.47,5.47,19700,0
2008-06-30,5.45,5.53,5.45,5.49,4500,0
2008-07-01,5.45,5.53,5.1,5.1,11300,0
2008-07-02,5.5,5.5,5.25,5.32,4500,0
2008-07-03,5.18,5.97,5.18,5.94,300,0
2008-07-07,5.14,5.85,5.14,5.85,500,0
2008-07-08,5.66,5.66,5.3,5.55,1400,0
2008-07-09,5.51,5.51,5.5,5.5,1800,0
2008-07-10,5.36,5.5,5.36,5.5,1700,0
2008-07-11,5.3,5.83,5.3,5.74,600,0
2008-07-14,5.5,5.5,5.5,5.5,800,0
2008-07-15,5.53,5.53,5.5,5.5,500,0
2008-07-16,5.36,5.85,5.36,5.55,3600,0
2008-07-17,5.27,5.75,5.27,5.28,2300,0
