Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,25.16,25.59,24.16,24.69,633900,0
2008-01-03,24.7,25.44,24.36,24.51,803000,0
2008-01-04,24.05,24.54,22.93,23.25,1055600,0
2008-01-07,24.19,26.68,24.02,24.87,1684200,0
2008-01-08,24.89,25.8,24.27,24.27,741900,0
2008-01-09,24.43,25.39,23.51,24.89,1039800,0
2008-01-10,24.67,27.48,24.53,26.75,1473100,0
2008-01-11,26.28,27.63,26.01,27.4,1238100,0
2008-01-14,27.3,27.68,26.25,26.8,1035100,0
2008-01-15,26.32,27.48,26.03,27.23,1023000,0
2008-01-16,27.37,29.25,27.1,28.19,1772900,0
2008-01-17,28.03,28.5,27.32,28.15,841700,0
2008-01-18,28.03,28.65,26.82,27.0,801600,0
2008-01-22,25.51,26.95,25.01,25.67,964000,0
2008-01-23,25.73,25.9,23.89,25.46,1048300,0
2008-01-24,25.63,26.17,25.46,25.89,596600,0
2008-01-25,24.82,25.75,24.78,25.54,756400,0
2008-01-28,25.55,26.39,25.55,26.39,574500,0
2008-01-29,26.14,26.57,26.04,26.39,403300,0
2008-01-30,26.25,27.24,26.1,26.45,628800,0
2008-01-31,26.03,27.95,25.95,27.53,976700,0
2008-02-01,27.8,28.18,25.97,26.18,2373500,0
2008-02-04,26.06,26.78,25.95,26.04,641600,0
2008-02-05,25.88,26.13,24.42,24.82,1110800,0
2008-02-06,25.02,25.11,22.64,22.72,1281200,0
2008-02-07,22.8,23.11,21.33,22.89,1838900,0
2008-02-08,22.78,24.11,22.42,23.65,724900,0
2008-02-11,23.81,24.92,21.81,22.55,1085200,0
2008-02-12,22.49,22.9,21.44,21.84,975900,0
2008-02-13,21.61,23.3,21.44,23.1,873400,0
2008-02-14,22.74,22.96,21.84,22.7,975800,0
2008-02-15,22.61,22.94,21.59,22.29,434800,0
2008-02-19,22.23,22.78,21.99,22.15,427000,0
2008-02-20,22.07,22.16,19.77,20.96,1247800,0
2008-02-21,20.82,20.87,18.61,19.65,2544600,0
