Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,51.43,53.12,50.89,52.71,1892700,0
2008-01-03,52.95,54.22,52.72,52.96,1855000,0
2008-01-04,52.51,52.96,51.12,51.29,2145300,0
2008-01-07,51.2,51.79,50.38,51.61,2056600,0
2008-01-08,51.97,52.0,49.88,50.0,2497900,0
2008-01-09,50.05,50.57,49.4,50.18,2508600,0
2008-01-10,49.71,50.7,49.0,50.32,2168800,0
2008-01-11,50.25,53.03,50.25,52.89,2810700,0
2008-01-14,53.76,56.22,53.32,56.11,2770500,0
2008-01-15,55.53,55.64,51.79,52.17,3266800,0
2008-01-16,51.83,51.83,48.7,50.29,2790000,0
2008-01-17,50.54,51.52,47.48,47.65,2338100,0
2008-01-18,47.88,49.56,46.9,48.59,2150300,0
2008-01-22,47.0,47.5,45.27,46.92,2757600,0
2008-01-23,45.96,46.52,43.02,46.26,3515700,0
2008-01-24,46.99,49.05,46.74,48.6,2940600,0
2008-01-25,49.64,50.34,47.59,47.95,1622600,0
2008-01-28,47.74,48.99,46.75,48.99,1604600,0
2008-01-29,49.47,49.76,48.16,48.61,1583900,0
2008-01-30,49.71,54.65,49.22,52.1,4760900,0
2008-01-31,51.02,53.5,50.36,52.22,2877400,0
2008-02-01,52.48,53.5,52.04,53.07,1948000,0
2008-02-04,53.07,55.31,52.5,54.63,1615800,0
2008-02-05,54.2,54.7,52.93,52.93,1927400,0
2008-02-06,53.38,54.35,53.0,53.49,2667600,0
2008-02-07,53.29,55.84,52.89,55.62,3875900,0
2008-02-08,55.96,57.29,55.67,56.87,3147400,0
2008-02-11,57.31,59.68,56.68,59.61,3095100,0
2008-02-12,59.87,60.85,57.81,58.6,1982000,0
2008-02-13,59.2,60.77,58.51,59.56,2837200,0
2008-02-14,60.15,60.4,59.1,59.22,1609500,0
2008-02-15,58.87,59.08,56.18,57.6,2116900,0
2008-02-19,58.82,61.28,58.82,60.54,2783100,0
2008-02-20,61.32,64.5,61.01,64.11,3904400,0
2008-02-21,64.95,64.95,60.97,61.45,3109400,0
2008-02-22,61.75,62.78,60.55,62.72,1883100,0
2008-02-25,63.34,65.17,63.0,64.71,3254300,0
2008-02-26,64.53,65.53,63.0,65.16,2406900,0
2008-02-27,62.41,64.71,61.03,61.87,4433800,0
2008-02-28,61.73,64.3,61.55,64.0,3020700,0
2008-02-29,63.99,63.99,60.62,61.18,2383300,0
2008-03-03,61.78,63.87,61.59,62.81,2623900,0
2008-03-04,62.34,62.86,59.04,60.14,3192300,0
2008-03-05,60.89,61.2,59.58,61.15,2744100,0
2008-03-06,61.6,62.01,59.95,59.98,1739600,0
2008-03-07,59.06,59.75,57.23,58.55,2159200,0
2008-03-10,58.19,58.55,56.58,57.23,1695500,0
2008-03-11,58.4,61.4,58.4,61.29,2264700,0
2008-03-12,61.76,62.25,59.9,60.29,1306700,0
2008-03-13,59.99,63.77,59.11,63.31,2502200,0
2008-03-14,63.74,63.75,60.73,62.53,2023100,0
2008-03-17,60.92,61.65,58.06,59.8,1952000,0
2008-03-18,61.77,62.63,60.92,62.59,2085900,0
2008-03-19,62.77,63.01,58.64,58.64,1921400,0
2008-03-20,58.27,59.32,55.56,59.17,2678000,0
2008-03-24,59.03,62.87,59.03,61.27,1423100,0
2008-03-25,61.9,62.69,61.23,62.25,2055700,0
2008-03-26,62.96,64.89,61.7,64.31,2456800,0
2008-03-27,64.49,64.89,62.21,62.43,1838400,0
2008-03-28,62.79,63.21,61.3,62.58,1329000,0
2008-03-31,62.98,63.65,61.81,63.45,1885000,0
2008-04-01,64.01,64.31,61.68,64.31,1488800,0
2008-04-02,64.5,66.45,63.53,65.49,2208400,0
2008-04-03,65.83,66.65,64.77,65.75,1934200,0
2008-04-04,66.51,67.84,66.05,66.99,2044100,0
2008-04-07,68.71,69.81,67.0,67.5,2424900,0
2008-04-08,67.68,69.5,67.1,68.7,1509100,0
2008-04-09,67.84,68.0,65.78,66.3,3515200,0
2008-04-10,66.79,67.44,65.63,67.32,1906900,0
2008-04-11,66.6,67.43,65.65,66.27,1516300,0
2008-04-14,66.12,67.78,66.12,66.85,1744500,0
2008-04-15,67.58,69.41,67.51,69.07,2362500,0
2008-04-16,69.75,70.33,68.52,70.33,1945200,0
2008-04-17,70.03,70.48,68.24,69.36,1815400,0
2008-04-18,68.97,71.7,68.97,71.6,1556900,0
2008-04-21,71.96,72.89,70.69,72.33,1553100,0
2008-04-22,72.64,73.7,71.17,72.0,1706000,0
2008-04-23,72.43,72.43,69.24,70.55,1704900,0
2008-04-24,69.03,71.0,65.66,66.24,3587400,0
