Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,8.91,9.0,8.55,8.6,522900,0
2008-01-03,8.65,8.66,8.32,8.41,501800,0
2008-01-04,8.32,8.32,8.05,8.18,613500,0
2008-01-07,8.14,8.35,8.0,8.22,592300,0
2008-01-08,8.24,8.3,7.76,7.8,869900,0
2008-01-09,7.76,7.76,7.16,7.35,1603900,0
2008-01-10,7.2,7.31,6.98,7.21,1435300,0
2008-01-11,7.14,7.17,6.85,6.89,601900,0
2008-01-14,6.96,7.17,6.79,7.0,439900,0
2008-01-15,6.93,7.25,6.73,6.77,402800,0
2008-01-16,6.77,7.27,6.6,7.07,976300,0
2008-01-17,7.14,7.22,6.85,6.89,463900,0
2008-01-18,6.87,7.28,6.85,6.95,344400,0
2008-01-22,6.75,7.15,6.62,6.78,325300,0
2008-01-23,6.78,7.54,6.73,7.45,859000,0
2008-01-24,7.45,7.68,7.45,7.6,471500,0
2008-01-25,7.83,8.26,7.83,8.01,651200,0
2008-01-28,8.01,8.01,7.67,7.89,455600,0
2008-01-29,7.94,7.94,7.63,7.77,386700,0
2008-01-30,7.8,8.17,7.69,7.94,368300,0
2008-01-31,7.85,8.4,7.82,8.28,329400,0
2008-02-01,8.33,8.67,8.25,8.65,309300,0
2008-02-04,8.68,8.69,8.25,8.58,372500,0
2008-02-05,8.48,8.48,8.04,8.04,439700,0
2008-02-06,8.09,8.32,7.83,7.87,396900,0
2008-02-07,7.82,8.4,7.51,8.34,367600,0
2008-02-08,8.23,8.56,7.95,8.02,295500,0
2008-02-11,8.04,8.42,7.95,8.39,224700,0
2008-02-12,8.45,8.61,8.35,8.51,356900,0
2008-02-13,8.58,8.84,8.58,8.76,241600,0
2008-02-14,8.76,8.78,8.33,8.33,306800,0
2008-02-15,8.3,8.45,8.15,8.17,244100,0
2008-02-19,8.24,8.46,7.97,8.15,253900,0
2008-02-20,8.03,8.32,7.86,8.28,300300,0
2008-02-21,8.22,8.22,7.48,7.5,736900,0
2008-02-22,7.35,7.4,6.9,7.05,895900,0
2008-02-25,7.02,7.66,7.02,7.54,493500,0
2008-02-26,7.47,7.72,7.47,7.68,211500,0
2008-02-27,7.62,7.9,7.53,7.6,286100,0
2008-02-28,7.6,7.71,7.22,7.22,218000,0
2008-02-29,7.15,7.36,6.99,7.01,449600,0
2008-03-03,7.03,7.14,6.93,7.05,244700,0
2008-03-04,7.0,7.16,6.95,7.04,431500,0
2008-03-05,7.18,7.3,7.07,7.2,229200,0
2008-03-06,7.15,7.15,6.87,6.92,449300,0
2008-03-07,6.92,7.01,6.65,6.67,629100,0
2008-03-10,6.71,6.87,6.7,6.72,373600,0
2008-03-11,6.88,7.0,6.52,6.75,311700,0
2008-03-12,6.73,6.76,6.51,6.56,414000,0
2008-03-13,6.5,6.86,6.41,6.6,362200,0
2008-03-14,6.64,6.71,6.44,6.59,589500,0
2008-03-17,6.46,6.88,6.29,6.32,382400,0
2008-03-18,6.42,6.53,6.22,6.33,841900,0
2008-03-19,6.38,6.51,6.22,6.27,803300,0
2008-03-20,6.33,6.96,6.27,6.9,647700,0
2008-03-24,6.97,7.3,6.91,7.15,596900,0
2008-03-25,7.16,7.27,7.13,7.21,219800,0
2008-03-26,7.15,7.2,6.92,6.98,172500,0
2008-03-27,7.0,7.03,6.83,6.9,174500,0
2008-03-28,6.94,7.0,6.66,6.67,164200,0
2008-03-31,6.7,7.07,6.7,6.91,314800,0
2008-04-01,7.1,7.28,6.94,7.24,521800,0
2008-04-02,7.33,7.33,7.11,7.2,192100,0
2008-04-03,7.16,7.21,7.02,7.2,135600,0
2008-04-04,7.22,7.3,6.93,7.1,196600,0
2008-04-07,7.14,7.31,7.09,7.17,241400,0
2008-04-08,7.12,7.16,7.01,7.06,117800,0
2008-04-09,7.04,7.09,6.76,6.95,256500,0
2008-04-10,6.86,7.24,6.82,7.03,219900,0
2008-04-11,6.97,7.04,6.77,6.82,156000,0
2008-04-14,6.8,6.88,6.7,6.71,135600,0
2008-04-15,6.77,6.77,6.6,6.63,192000,0
2008-04-16,6.7,6.98,6.63,6.93,262400,0
2008-04-17,6.94,7.0,6.79,6.81,139000,0
2008-04-18,7.0,7.16,6.91,7.08,223700,0
2008-04-21,7.06,7.15,6.92,7.03,221200,0
2008-04-22,6.94,7.0,6.7,6.81,216900,0
2008-04-23,6.85,6.93,6.64,6.71,163200,0
2008-04-24,6.7,7.0,6.6,6.91,141500,0
2008-04-25,6.85,7.27,6.82,7.18,332000,0
2008-04-28,7.21,7.43,7.17,7.37,146100,0
2008-04-29,7.39,7.41,7.04,7.39,246300,0
2008-04-30,7.44,7.69,7.23,7.35,208000,0
2008-05-01,7.37,7.72,7.31,7.56,302700,0
2008-05-02,7.68,8.3,7.64,8.27,706000,0
2008-05-05,8.15,8.29,7.85,8.05,483100,0
2008-05-06,8.0,8.19,7.8,7.99,352200,0
2008-05-07,7.86,8.19,7.67,7.72,228500,0
2008-05-08,7.68,7.83,7.37,7.51,270100,0
2008-05-09,7.48,7.52,7.31,7.5,326400,0
2008-05-12,7.49,7.69,7.47,7.6,240400,0
2008-05-13,7.6,7.65,7.46,7.59,138100,0
2008-05-14,7.6,7.69,7.45,7.49,189200,0
2008-05-15,7.51,7.51,7.13,7.28,229000,0
2008-05-16,7.27,7.34,7.0,7.06,280500,0
2008-05-19,7.04,7.17,6.98,7.1,346700,0
2008-05-20,7.04,7.16,6.89,7.02,187700,0
2008-05-21,7.01,7.06,6.8,6.89,150400,0
2008-05-22,6.88,7.08,6.8,6.96,148000,0
2008-05-23,6.9,6.9,6.66,6.7,259500,0
2008-05-27,6.7,6.89,6.66,6.86,119200,0
2008-05-28,6.85,6.98,6.71,6.98,166300,0
2008-05-29,6.93,7.17,6.87,7.07,162000,0
2008-05-30,7.07,7.08,6.92,7.06,717500,0
2008-06-02,7.05,7.07,6.74,6.89,168100,0
2008-06-03,6.95,6.97,6.78,6.95,156300,0
2008-06-04,6.94,6.94,6.69,6.69,204100,0
2008-06-05,6.67,6.92,6.67,6.87,80100,0
2008-06-06,6.84,6.84,6.58,6.58,156500,0
2008-06-09,6.59,6.69,6.5,6.5,102400,0
2008-06-10,6.47,6.78,6.42,6.51,138800,0
2008-06-11,6.5,6.56,6.45,6.5,221100,0
2008-06-12,6.52,6.69,6.39,6.39,92500,0
2008-06-13,6.45,6.54,6.32,6.44,73800,0
2008-06-16,6.4,6.61,6.4,6.51,73700,0
2008-06-17,6.53,6.67,6.48,6.53,123100,0
2008-06-18,6.51,6.59,6.3,6.31,126100,0
2008-06-19,6.3,6.43,6.0,6.07,1052700,0
2008-06-20,6.02,6.15,5.62,5.92,417900,0
2008-06-23,5.88,5.98,5.47,5.47,308100,0
2008-06-24,5.39,5.54,5.27,5.3,476100,0
2008-06-25,5.3,5.83,5.3,5.81,376400,0
2008-06-26,5.73,5.74,5.35,5.36,269400,0
2008-06-27,5.4,5.75,5.29,5.3,953200,0
2008-06-30,5.3,5.49,5.15,5.18,493600,0
2008-07-01,5.14,5.17,4.87,5.07,455300,0
2008-07-02,5.09,5.36,5.01,5.07,299500,0
2008-07-03,5.06,5.06,4.88,4.95,68900,0
2008-07-07,5.0,5.09,4.89,4.9,157000,0
2008-07-08,4.9,5.12,4.87,5.0,264900,0
2008-07-09,5.01,5.06,4.81,4.81,169300,0
2008-07-10,4.81,4.82,4.5,4.51,217600,0
2008-07-11,4.5,4.52,4.2,4.24,613100,0
2008-07-14,4.3,4.45,3.95,3.96,494800,0
2008-07-15,3.9,3.92,3.57,3.74,1015900,0
2008-07-16,3.76,3.78,3.55,3.56,1141800,0
2008-07-17,3.64,4.03,3.5,3.88,1683400,0
2008-07-18,3.88,3.95,3.8,3.85,383600,0
2008-07-21,3.84,3.84,3.76,3.79,395100,0
2008-07-22,3.76,4.78,3.69,4.74,620800,0
2008-07-23,4.76,4.95,4.39,4.52,582000,0
2008-07-24,4.55,4.67,4.35,4.41,321300,0
2008-07-25,4.55,4.93,4.5,4.7,391700,0
2008-07-28,4.91,4.91,4.5,4.58,205000,0
2008-07-29,4.58,4.87,4.58,4.7,196300,0
2008-07-30,4.81,4.85,4.64,4.68,410600,0
2008-07-31,4.62,4.93,4.53,4.77,377300,0
2008-08-01,4.75,4.92,4.63,4.86,357200,0
2008-08-04,4.88,4.98,4.66,4.74,306900,0
2008-08-05,4.8,5.27,4.73,5.18,443200,0
2008-08-06,4.96,4.96,4.16,4.4,1418100,0
2008-08-07,4.39,4.49,4.26,4.33,247500,0
2008-08-08,4.32,5.05,4.32,4.96,567000,0
2008-08-11,4.94,5.53,4.92,5.11,602100,0
2008-08-12,5.05,5.35,4.95,5.35,338500,0
2008-08-13,5.33,5.33,4.98,5.28,208800,0
2008-08-14,5.23,5.5,5.1,5.33,292500,0
2008-08-15,5.41,5.46,5.11,5.21,186800,0
2008-08-18,5.22,5.33,5.0,5.04,188600,0
2008-08-19,5.05,5.1,4.72,4.85,253400,0
2008-08-20,4.86,4.97,4.65,4.8,229900,0
2008-08-21,4.7,4.79,4.6,4.61,152200,0
2008-08-22,4.64,4.9,4.63,4.82,177700,0
2008-08-25,4.8,4.8,4.56,4.62,122500,0
2008-08-26,4.62,4.66,4.52,4.6,172000,0
2008-08-27,4.59,4.74,4.54,4.67,95600,0
2008-08-28,4.68,4.79,4.58,4.64,231300,0
2008-08-29,4.63,4.76,4.54,4.55,105300,0
2008-09-02,4.72,4.86,4.62,4.67,199200,0
2008-09-03,4.68,4.81,4.59,4.78,116300,0
2008-09-04,4.76,4.76,4.55,4.57,160300,0
2008-09-05,4.54,4.62,4.5,4.53,103200,0
2008-09-08,4.73,4.73,4.57,4.71,142900,0
2008-09-09,4.74,5.0,4.63,4.64,305200,0
2008-09-10,4.76,4.76,4.54,4.61,72500,0
2008-09-11,4.56,4.79,4.55,4.75,181600,0
2008-09-12,4.71,4.76,4.61,4.68,332300,0
2008-09-15,4.51,4.65,4.49,4.5,204500,0
2008-09-16,4.36,4.55,4.27,4.55,171400,0
2008-09-17,4.5,4.75,4.3,4.44,97600,0
2008-09-18,4.57,5.32,4.56,5.01,691700,0
