Date,Open,High,Low,Close,Volume,Dividend
2014-06-16,38.5,41.25,38.5,40.65,525000,0
2014-06-17,40.65,40.65,38.75,40.0,183900,0
2014-06-18,40.75,40.75,39.25,40.2,25600,0
2014-06-19,39.67,40.0,38.66,39.09,13200,0
2014-06-20,39.22,40.0,37.25,38.3,85300,0
2014-06-23,38.55,38.71,37.75,38.0,71700,0
2014-06-24,37.9,37.91,37.5,37.5,83900,0
2014-06-25,37.3,38.0,36.55,36.75,513200,0
2014-06-26,36.5,37.06,35.5,37.0,149900,0
2014-06-27,36.7,37.77,36.17,36.93,1731500,0
2014-06-30,36.44,40.2,36.44,38.75,2192000,0
2014-07-01,38.25,39.94,38.25,39.07,2169200,0
2014-07-02,39.43,40.5,39.36,40.06,2179000,0
2014-07-03,40.3,43.51,40.24,43.25,3517300,0
2014-07-07,42.31,42.78,42.16,42.38,2210400,0
2014-07-08,41.41,42.76,39.82,40.92,2952400,0
2014-07-09,40.77,42.19,40.59,41.74,1427000,0
2014-07-10,40.81,42.05,40.73,41.51,1159900,0
2014-07-11,41.02,41.73,40.91,41.62,699000,0
2014-07-14,42.05,44.13,41.99,42.55,898300,0
2014-07-15,42.56,44.13,42.12,43.49,1277400,0
2014-07-16,43.49,44.18,43.19,43.63,1122200,0
2014-07-17,43.2,43.63,43.0,43.23,514700,0
2014-07-18,42.71,42.98,41.0,41.99,1042400,0
2014-07-21,41.01,41.95,40.52,41.76,1128400,0
2014-07-22,41.75,41.75,40.9,41.04,674000,0
2014-07-23,40.84,40.9,39.85,40.05,785400,0
2014-07-24,39.92,40.16,38.97,39.94,918400,0
2014-07-25,38.55,39.9,38.55,39.12,1225700,0
2014-07-28,39.0,39.1,38.22,38.29,1122100,0
2014-07-29,37.8,37.95,36.82,37.12,2722300,0
2014-07-30,34.83,35.0,33.34,33.36,4337300,0
2014-07-31,32.52,32.81,31.06,32.46,2583800,0
2014-08-01,33.0,33.66,32.62,33.5,2298500,0
2014-08-04,33.1,33.95,33.1,33.64,1215300,0
2014-08-05,33.85,34.17,33.25,33.35,722900,0
2014-08-06,33.08,33.42,32.99,33.22,1084700,0
2014-08-07,33.2,33.35,32.23,32.41,789100,0
2014-08-08,32.25,32.86,32.25,32.44,745800,0
2014-08-11,32.69,33.59,32.69,33.28,616900,0
2014-08-12,33.4,33.88,33.32,33.44,616000,0
2014-08-13,33.7,34.13,33.62,34.06,842900,0
2014-08-14,34.0,34.58,33.34,33.45,818200,0
2014-08-15,33.48,33.62,32.24,32.29,1112300,0
2014-08-18,32.78,33.1,32.35,32.9,951100,0
2014-08-19,33.05,33.43,33.01,33.19,793300,0
2014-08-20,33.2,33.3,32.95,33.09,494200,0
2014-08-21,33.41,33.66,32.31,32.72,1057000,0
2014-08-22,32.72,32.88,32.32,32.67,534800,0
2014-08-25,32.87,32.97,32.6,32.92,358800,0
2014-08-26,32.8,33.25,32.8,32.97,385400,0
2014-08-27,33.25,33.36,32.8,32.96,579800,0
2014-08-28,32.96,33.22,32.8,32.97,436900,0
2014-08-29,33.18,33.39,32.96,33.21,402500,0
2014-09-02,33.3,33.65,32.64,32.85,633600,0
2014-09-03,32.86,33.57,32.8,33.15,720900,0
2014-09-04,32.83,33.3,32.56,32.71,773100,0
2014-09-05,32.75,33.19,32.7,32.8,667000,0
2014-09-08,32.64,33.23,32.63,33.01,603800,0
2014-09-09,33.0,33.69,33.0,33.14,985800,0
2014-09-10,33.1,33.24,31.8,32.47,939400,0
2014-09-11,32.49,32.61,32.25,32.45,801200,0
2014-09-12,32.4,32.7,31.95,31.99,834700,0
2014-09-15,32.0,32.15,30.75,31.03,1146600,0
2014-09-16,31.34,31.57,30.58,30.59,1244000,0
2014-09-17,31.0,31.27,29.76,29.82,1596400,0
2014-09-18,30.11,30.29,29.75,30.15,1211700,0
2014-09-19,30.39,30.75,30.32,30.66,1643900,0
2014-09-22,30.59,30.94,30.35,30.6,1380900,0
2014-09-23,30.42,30.56,29.8,29.8,1314100,0
2014-09-24,29.77,29.85,28.91,29.05,1684700,0
2014-09-25,29.01,30.7,28.65,30.5,1472100,0
2014-09-26,30.5,30.81,30.21,30.65,590400,0
2014-09-29,31.15,32.35,30.95,32.26,819200,0
2014-09-30,31.95,33.65,31.75,32.91,1493900,0
2014-10-01,33.08,33.5,32.8,33.1,1154000,0
2014-10-02,33.16,33.2,31.66,31.74,384800,0
2014-10-03,33.0,33.0,30.22,30.67,1082700,0
2014-10-06,30.81,32.0,30.45,31.73,668300,0
2014-10-07,31.94,33.07,31.43,31.95,758000,0
2014-10-08,31.83,33.44,31.22,32.86,557000,0
2014-10-09,32.36,32.44,29.96,30.05,1079500,0
2014-10-10,30.01,30.36,29.53,29.92,685700,0
2014-10-13,29.86,30.29,29.58,29.83,348200,0
2014-10-14,29.83,30.63,29.55,29.93,667900,0
2014-10-15,30.0,30.96,29.42,29.83,1151700,0
2014-10-16,29.63,29.99,29.19,29.7,851100,0
2014-10-17,29.69,30.0,28.8,29.24,1076800,0
2014-10-20,29.22,29.53,28.97,29.11,606200,0
2014-10-21,29.13,29.44,28.52,29.08,817700,0
2014-10-22,29.03,30.0,28.73,28.77,719900,0
2014-10-23,28.96,29.37,28.51,28.83,761100,0
2014-10-24,28.98,29.91,28.73,29.1,821100,0
2014-10-27,28.71,29.67,28.56,29.6,713700,0
