Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,35.42,36.22,34.5,35.53,4619100,0
2008-01-03,35.78,37.04,35.39,36.25,4387500,0
2008-01-04,35.55,35.81,34.21,34.67,4853700,0
2008-01-07,34.37,34.83,32.89,33.54,6426000,0
2008-01-08,34.27,34.67,33.3,33.31,6739500,0
2008-01-09,33.01,33.43,31.7,32.94,8697900,0
2008-01-10,32.84,33.32,32.22,32.76,6114900,0
2008-01-11,32.68,32.8,31.82,31.98,6511800,0
2008-01-14,32.5,33.17,32.06,33.09,5467500,0
2008-01-15,32.8,33.0,31.27,31.53,6072300,0
2008-01-16,30.59,30.67,28.37,29.34,11979900,0
2008-01-17,30.1,30.42,27.33,27.52,10229700,0
2008-01-18,27.98,29.06,27.13,27.97,7963800,0
2008-01-22,25.49,27.95,24.42,26.94,10152600,0
2008-01-23,25.5,27.09,24.58,26.72,10396800,0
2008-01-24,27.46,28.89,27.19,28.33,10428300,0
2008-01-25,29.5,30.33,28.54,29.09,7738500,0
2008-01-28,27.67,29.24,27.42,28.7,7561200,0
2008-01-29,29.33,30.12,29.17,29.73,5353200,0
2008-01-30,29.67,31.57,29.0,30.76,10260600,0
2008-01-31,30.41,31.62,29.83,31.34,8877300,0
2008-02-01,31.98,33.03,31.67,32.77,6919800,0
2008-02-04,33.33,33.33,32.04,32.81,6566100,0
2008-02-05,32.0,32.4,31.0,31.16,8541600,0
2008-02-06,31.42,31.82,30.17,30.4,5097600,0
2008-02-07,30.09,31.29,29.09,30.74,8093700,0
2008-02-08,30.43,32.28,30.28,31.84,7950900,0
2008-02-11,32.27,33.45,32.01,33.33,7659600,0
2008-02-12,33.83,34.33,33.13,33.42,10001700,0
2008-02-13,33.4,34.21,32.99,33.85,6375000,0
2008-02-14,34.31,34.31,33.12,33.54,5827800,0
2008-02-15,33.25,34.07,33.04,33.8,3500700,0
2008-02-19,34.83,36.91,34.52,36.3,9362700,0
2008-02-20,35.72,37.89,35.33,37.72,8743200,0
2008-02-21,38.34,39.0,37.53,38.16,11353500,0
2008-02-22,38.41,38.56,36.96,38.11,7003500,0
2008-02-25,37.83,38.26,37.0,38.13,6984000,0
2008-02-26,37.51,37.92,37.12,37.81,9465000,0
2008-02-27,37.59,39.37,37.47,38.65,7815000,0
2008-02-28,38.64,39.91,38.12,39.8,6474300,0
2008-02-29,39.56,39.56,37.78,38.04,5892600,0
2008-03-03,38.05,39.17,37.28,38.3,6960900,0
2008-03-04,37.54,37.92,34.68,35.7,12084000,0
2008-03-05,36.17,37.72,36.17,37.45,6681000,0
2008-03-06,37.04,38.17,37.04,37.67,6486600,0
2008-03-07,36.67,37.79,36.33,37.56,6529800,0
2008-03-10,36.67,37.25,35.38,35.46,6061500,0
2008-03-11,36.02,37.55,36.02,37.55,6642000,0
2008-03-12,37.8,38.44,37.2,37.36,4631400,0
2008-03-13,37.32,37.5,35.68,37.19,4725900,0
2008-03-14,37.66,37.76,35.54,36.29,5302200,0
2008-03-17,34.92,35.44,33.53,34.07,6883200,0
2008-03-18,35.33,35.67,34.34,35.67,4929600,0
2008-03-19,35.63,35.63,32.93,33.15,8602800,0
2008-03-20,32.75,33.54,31.37,33.23,8291700,0
2008-03-24,33.34,35.03,33.34,33.95,4083000,0
2008-03-25,34.91,35.6,34.46,34.67,6733200,0
2008-03-26,35.01,35.51,34.83,35.44,5095800,0
2008-03-27,35.92,36.33,35.28,35.49,4771200,0
2008-03-28,35.67,35.67,34.48,34.72,3978900,0
2008-03-31,34.58,35.29,34.08,34.61,4174200,0
2008-04-01,33.95,35.43,33.61,35.35,5259600,0
2008-04-02,35.61,36.8,34.92,36.59,5273700,0
2008-04-03,36.34,38.23,36.1,37.74,6440400,0
2008-04-04,37.75,39.62,37.75,39.14,6162000,0
2008-04-07,39.97,40.33,38.21,38.65,6189600,0
2008-04-08,37.83,39.58,37.54,39.2,5382900,0
2008-04-09,38.91,40.0,38.43,39.19,6233700,0
2008-04-10,39.0,39.28,38.19,39.0,4142700,0
2008-04-11,38.34,39.33,37.9,38.23,4038300,0
2008-04-14,37.86,38.52,37.69,38.14,3807900,0
2008-04-15,38.97,38.97,37.79,38.53,3789000,0
2008-04-16,39.37,40.6,39.19,40.36,7646100,0
2008-04-17,39.68,40.83,39.25,39.54,5139300,0
2008-04-18,39.22,40.09,38.67,39.77,4354200,0
2008-04-21,39.55,40.73,39.53,40.66,4493700,0
2008-04-22,41.0,41.93,40.84,41.34,7518600,0
2008-04-23,41.72,41.86,40.57,40.85,6289800,0
2008-04-24,40.83,40.83,39.1,39.25,5752800,0
2008-04-25,39.41,40.42,39.07,40.42,3989100,0
2008-04-28,39.53,39.77,38.51,38.85,7574100,0
2008-04-29,38.65,38.66,37.03,37.18,4738200,0
2008-04-30,37.23,38.65,37.23,38.25,5781900,0
2008-05-01,37.51,38.29,35.93,36.66,6748500,0
2008-05-02,37.1,38.61,36.68,38.33,6039900,0
2008-05-05,39.37,39.92,38.58,39.57,6463200,0
2008-05-06,38.67,39.45,38.27,39.45,5379000,0
2008-05-07,39.23,39.23,38.17,38.56,5939400,0
2008-05-08,38.59,39.15,38.41,38.73,4759200,0
2008-05-09,38.42,38.64,36.75,37.22,7908900,0
2008-05-12,36.7,36.87,35.8,36.72,4745100,0
2008-05-13,36.41,36.96,35.93,36.77,3347400,0
2008-05-14,36.91,37.22,35.87,35.97,4385700,0
2008-05-15,36.38,37.66,36.3,37.66,6137700,0
2008-05-16,38.22,38.87,38.01,38.78,5320200,0
2008-05-19,38.83,38.83,37.19,37.52,6599700,0
2008-05-20,37.15,37.67,36.5,36.97,7083000,0
2008-05-21,36.97,37.49,35.81,35.89,5580000,0
2008-05-22,36.14,36.93,36.0,36.41,7822200,0
2008-05-23,36.33,36.38,35.33,36.07,5762400,0
