Date,Open,High,Low,Close,Volume,Dividend
1993-11-16,6.0,6.5,6.0,6.33,2837100,0.0
1993-11-17,6.33,6.58,6.33,6.42,802500,0.0
1993-11-18,6.42,6.58,6.42,6.46,420300,0.0
1993-11-19,6.46,6.58,6.42,6.42,120000,0.0
1993-11-22,6.42,6.5,6.33,6.46,397800,0.0
1993-11-23,6.33,6.5,6.33,6.33,245700,0.0
1993-11-24,6.5,6.5,6.33,6.5,42900,0.0
1993-11-26,6.5,6.5,6.33,6.5,18600,0.0
1993-11-29,6.33,6.5,6.33,6.33,408000,0.0
1993-11-30,6.33,6.67,6.33,6.5,272400,0.0
1993-12-01,6.5,7.17,6.5,7.17,263100,0.0
1993-12-02,7.0,7.54,7.0,7.54,310500,0.0
1993-12-03,7.58,7.58,7.33,7.33,293400,0.0
1993-12-06,7.33,7.58,7.33,7.58,48900,0.0
1993-12-07,7.33,7.92,7.33,7.92,257100,0.0
1993-12-08,7.92,8.0,7.67,8.0,94500,0.0
1993-12-09,8.17,8.17,7.75,8.0,556200,0.0
1993-12-10,7.83,7.88,7.75,7.75,125100,0.0
1993-12-13,7.75,8.0,7.67,7.92,379500,0.0
1993-12-14,7.67,7.92,7.67,7.67,125100,0.0
1993-12-15,7.96,8.17,7.75,8.17,159300,0.0
1993-12-16,7.92,8.33,7.92,8.0,341400,0.0
1993-12-17,8.25,8.25,8.0,8.08,101400,0.0
1993-12-20,8.0,8.25,8.0,8.25,115500,0.0
1993-12-21,8.08,8.12,8.08,8.12,101400,0.0
1993-12-22,8.25,8.58,8.12,8.58,164400,0.0
1993-12-23,8.33,8.58,8.33,8.33,2700,0.0
1993-12-27,8.5,8.5,8.5,8.5,7500,0.0
1993-12-28,8.33,9.67,8.33,8.92,265800,0.0
1993-12-29,9.08,9.42,8.92,9.33,115200,0.0
1993-12-30,9.08,9.42,9.08,9.42,46800,0.0
1993-12-31,9.42,10.25,9.33,10.25,102300,0.0
1994-01-03,10.25,10.25,9.75,9.79,1169700,0.0
1994-01-04,9.75,10.0,9.25,9.42,1297800,0.0
1994-01-05,9.33,9.5,8.67,9.0,393900,0.0
1994-01-06,8.75,9.08,8.75,9.08,24300,0.0
1994-01-07,9.04,9.17,8.92,9.04,48000,0.0
1994-01-10,9.12,9.25,9.0,9.25,42300,0.0
1994-01-11,9.33,9.92,9.17,9.79,222900,0.0
1994-01-12,9.92,10.25,9.42,9.67,194400,0.0
1994-01-13,9.75,9.75,9.33,9.58,61800,0.0
1994-01-14,9.46,9.83,9.46,9.67,38400,0.0
1994-01-17,9.92,10.21,9.67,10.0,69900,0.0
1994-01-18,10.0,10.58,10.0,10.46,143700,0.0
1994-01-19,10.42,11.08,10.42,10.83,595500,0.0
1994-01-20,10.83,11.08,10.83,10.83,176700,0.0
1994-01-21,11.0,11.0,10.58,10.58,77100,0.0
1994-01-24,10.83,10.83,10.58,10.58,26400,0.0
1994-01-25,10.58,10.83,10.58,10.58,27300,0.0
1994-01-26,10.58,10.58,10.58,10.58,0,0.0
1994-01-27,10.83,10.83,10.42,10.58,84000,0.0
1994-01-28,10.67,10.67,10.33,10.5,17100,0.0
1994-01-31,10.33,10.58,10.17,10.33,171900,0.0
1994-02-01,10.33,10.33,9.92,9.92,128700,0.0
1994-02-02,9.92,10.17,9.5,9.5,68400,0.0
1994-02-03,9.5,9.58,9.5,9.54,162600,0.0
1994-02-04,9.5,9.58,9.5,9.5,98700,0.0501
1994-02-07,9.5,9.67,9.5,9.67,12300,0.0
1994-02-08,9.67,9.67,9.17,9.5,52800,0.0
1994-02-09,9.58,9.58,9.42,9.58,24900,0.0
1994-02-10,9.42,9.58,9.33,9.33,12300,0.0
1994-02-11,9.33,9.33,9.33,9.33,3000,0.0
1994-02-14,9.33,9.38,9.33,9.33,69300,0.0
1994-02-15,9.38,9.58,9.38,9.58,53400,0.0
1994-02-16,9.5,9.58,9.33,9.58,7200,0.0
1994-02-17,9.58,9.58,9.5,9.5,285300,0.0
1994-02-18,9.58,9.58,9.33,9.33,22500,0.0
1994-02-22,9.58,9.58,9.38,9.38,150300,0.0
1994-02-23,9.58,9.58,9.42,9.5,16800,0.0
1994-02-24,9.67,9.67,9.5,9.54,33000,0.0
1994-02-25,9.67,9.67,9.42,9.67,7500,0.0
1994-02-28,9.58,9.67,9.42,9.67,77700,0.0
1994-03-01,9.38,9.42,9.33,9.33,149700,0.0
1994-03-02,9.25,9.33,8.83,8.83,55800,0.0
1994-03-03,9.08,9.08,9.08,9.08,600,0.0
1994-03-04,8.83,9.5,8.83,9.5,54300,0.0
1994-03-07,9.58,9.58,9.33,9.33,51300,0.0
1994-03-08,9.33,9.33,9.08,9.08,12000,0.0
1994-03-09,8.92,9.17,8.92,9.17,51900,0.0
1994-03-10,8.92,9.0,8.83,9.0,26400,0.0
1994-03-11,8.75,8.75,8.75,8.75,600,0.0
1994-03-14,9.0,9.0,8.92,8.92,1500,0.0
1994-03-15,8.75,9.0,8.75,9.0,1500,0.0
1994-03-16,8.83,9.0,8.83,8.88,24900,0.0
