Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,33.18,33.69,32.77,32.85,1107900,0
2008-01-03,32.84,33.09,32.44,32.55,590600,0
2008-01-04,32.21,32.28,31.48,31.53,851800,0
2008-01-07,31.61,32.16,31.05,31.46,806200,0
2008-01-08,31.4,31.72,30.28,30.36,953200,0
2008-01-09,30.3,30.42,29.26,30.04,1573600,0
2008-01-10,29.76,31.0,29.51,30.65,1831100,0
2008-01-11,30.6,30.75,29.95,30.19,1323800,0
2008-01-14,30.46,31.03,30.28,30.56,969700,0
2008-01-15,30.35,30.42,28.15,28.15,1693200,0
2008-01-16,20.65,20.91,15.87,19.45,26538400,0
2008-01-17,19.0,19.25,18.2,18.26,4347000,0
2008-01-18,18.28,18.65,17.72,17.91,2555400,0
2008-01-22,17.21,17.99,17.0,17.27,3538600,0
2008-01-23,17.05,18.78,17.03,18.61,2496300,0
2008-01-24,18.6,19.55,18.38,19.4,2870600,0
2008-01-25,19.49,19.6,19.21,19.25,1898200,0
2008-01-28,19.16,20.01,19.14,20.01,1398300,0
2008-01-29,20.11,20.72,20.11,20.61,1562200,0
2008-01-30,20.93,22.5,20.85,22.24,4177500,0
2008-01-31,21.87,24.24,21.61,23.8,3554000,0
2008-02-01,23.94,24.9,23.4,23.93,2443600,0
2008-02-04,21.68,23.47,21.68,22.91,2307500,0
2008-02-05,23.03,23.29,22.05,22.05,1311500,0
2008-02-06,22.5,23.27,22.06,22.14,2136200,0
2008-02-07,22.05,22.97,22.05,22.51,1288800,0
2008-02-08,22.41,23.45,22.33,22.85,1046100,0
2008-02-11,22.92,23.25,22.61,23.07,1114700,0
2008-02-12,23.14,24.08,23.02,23.33,1181100,0
2008-02-13,23.48,23.62,23.12,23.45,675200,0
2008-02-14,23.53,23.59,22.29,22.38,994100,0
2008-02-15,22.25,22.28,21.53,21.99,940600,0
2008-02-19,22.26,22.31,21.51,21.64,1055800,0
2008-02-20,21.53,21.94,21.48,21.94,923900,0
2008-02-21,21.99,22.1,21.32,21.49,715900,0
2008-02-22,21.6,21.6,20.89,21.0,1187200,0
2008-02-25,21.14,21.55,20.99,21.41,2564000,0
2008-02-26,21.29,21.55,21.01,21.07,1481100,0
2008-02-27,20.98,21.28,20.35,20.49,2070300,0
2008-02-28,20.35,20.67,19.41,19.64,2544200,0
2008-02-29,20.5,21.56,20.16,20.67,4600400,0
2008-03-03,20.56,20.66,19.28,19.4,2434600,0
2008-03-04,19.32,19.79,18.56,18.74,2288200,0
2008-03-05,18.76,19.11,18.51,18.98,1608100,0
2008-03-06,18.84,19.02,17.81,17.84,1419500,0
2008-03-07,17.7,18.11,17.65,17.85,1537200,0
2008-03-10,17.84,18.01,17.28,17.3,1175500,0
2008-03-11,17.67,18.06,17.03,18.0,2188100,0
2008-03-12,18.02,18.79,17.83,18.28,2323600,0
2008-03-13,18.09,18.86,18.09,18.77,2183300,0
2008-03-14,18.94,18.94,17.87,18.05,2025800,0
2008-03-17,17.63,18.28,17.63,18.02,1595800,0
2008-03-18,18.23,19.12,17.99,19.04,1916900,0
2008-03-19,19.18,19.76,18.64,18.65,1733800,0
2008-03-20,18.61,19.83,18.61,19.78,1437700,0
2008-03-24,19.85,21.11,19.85,20.97,1342300,0
2008-03-25,21.06,22.14,21.06,21.98,1608700,0
2008-03-26,21.93,21.96,21.25,21.75,1222100,0
2008-03-27,21.77,21.9,20.89,20.97,1420700,0
2008-03-28,21.04,21.2,20.24,20.33,738800,0
2008-03-31,20.1,21.16,19.93,21.11,1333300,0
2008-04-01,21.44,23.67,21.28,23.5,2941300,0
2008-04-02,23.55,24.15,23.11,23.55,2350000,0
2008-04-03,23.34,23.85,22.99,23.67,933700,0
2008-04-04,23.91,24.24,23.62,23.97,1296100,0
2008-04-07,24.14,24.2,23.68,23.72,894700,0
2008-04-08,23.53,24.53,23.52,24.42,1168500,0
2008-04-09,24.5,24.87,24.32,24.77,1605200,0
