Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,11.94,12.14,11.25,11.39,171000,0
2008-01-03,11.36,11.55,11.27,11.47,126600,0
2008-01-04,11.29,11.55,11.22,11.25,89400,0
2008-01-07,11.3,11.6,11.09,11.4,112000,0
2008-01-08,11.43,11.65,10.51,10.55,134200,0
2008-01-09,10.5,11.22,10.35,11.22,101400,0
2008-01-10,11.06,11.35,10.84,11.18,109800,0
2008-01-11,11.11,11.11,10.36,10.37,97000,0
2008-01-14,10.46,10.63,10.17,10.36,102000,0
2008-01-15,10.25,10.44,10.25,10.34,212200,0
2008-01-16,10.28,10.6,10.22,10.25,141000,0
2008-01-17,10.31,10.31,9.74,9.74,81600,0
2008-01-18,9.72,9.85,9.1,9.27,171600,0
2008-01-22,8.85,9.84,8.82,9.57,121600,0
2008-01-23,9.31,10.2,9.0,10.12,118200,0
2008-01-24,10.14,10.14,8.07,8.75,247800,0
2008-01-25,8.89,9.25,8.74,8.76,139000,0
2008-01-28,8.75,9.14,8.75,8.98,113800,0
2008-01-29,9.05,9.09,8.81,9.03,82600,0
2008-01-30,8.98,9.27,8.76,8.77,69800,0
2008-01-31,8.62,9.22,8.26,9.14,132800,0
2008-02-01,9.19,9.72,8.94,9.06,110000,0
2008-02-04,9.06,9.77,8.89,9.08,123000,0
2008-02-05,8.88,8.98,8.82,8.85,82000,0
2008-02-06,8.94,8.94,8.65,8.65,104800,0
2008-02-07,8.62,9.27,8.44,8.7,263800,0
2008-02-08,9.33,9.82,8.31,8.36,188600,0
2008-02-11,8.35,8.48,8.25,8.27,109400,0
2008-02-12,8.3,8.52,8.3,8.45,68800,0
2008-02-13,8.52,8.8,8.5,8.8,93600,0
2008-02-14,8.84,8.84,8.35,8.35,74400,0
2008-02-15,8.31,8.52,7.93,8.1,92600,0
2008-02-19,8.21,8.47,8.09,8.1,84400,0
2008-02-20,8.06,8.16,7.95,8.02,104200,0
2008-02-21,8.1,8.12,7.59,7.61,97600,0
2008-02-22,7.6,7.6,7.22,7.37,141600,0
2008-02-25,7.38,7.57,7.34,7.57,186200,0
2008-02-26,7.41,7.81,7.22,7.51,157800,0
2008-02-27,7.51,7.7,7.26,7.51,157400,0
2008-02-28,7.41,7.57,7.14,7.47,152000,0
2008-02-29,7.37,7.58,7.16,7.45,193800,0
2008-03-03,7.43,7.49,7.22,7.28,142200,0
2008-03-04,7.23,7.6,7.09,7.54,300800,0
2008-03-05,7.59,7.74,7.35,7.51,90000,0
2008-03-06,7.43,7.53,6.95,6.95,139800,0
2008-03-07,6.89,7.22,6.89,6.95,122400,0
2008-03-10,6.99,7.24,6.76,6.76,88400,0
2008-03-11,6.96,7.42,6.9,7.26,204200,0
2008-03-12,7.28,7.53,7.09,7.11,89200,0
2008-03-13,7.01,7.46,7.0,7.43,81200,0
2008-03-14,7.49,7.6,6.86,7.09,87600,0
2008-03-17,6.91,7.49,6.82,7.16,105400,0
2008-03-18,7.35,7.98,7.2,7.97,141200,0
2008-03-19,8.02,8.1,7.36,7.36,124800,0
2008-03-20,7.47,7.68,7.26,7.51,584000,0
2008-03-24,7.53,8.25,7.53,8.14,124000,0
2008-03-25,8.1,8.1,7.91,8.02,57200,0
2008-03-26,7.97,8.5,7.97,8.4,78800,0
2008-03-27,8.45,8.45,7.36,7.84,161800,0
2008-03-28,7.8,7.98,7.35,7.36,93600,0
2008-03-31,7.44,7.65,7.32,7.42,96800,0
2008-04-01,7.59,8.19,7.41,7.98,128200,0
2008-04-02,7.99,8.02,7.54,7.59,86400,0
2008-04-03,7.53,8.0,7.36,7.76,64200,0
2008-04-04,7.8,7.84,7.45,7.62,55200,0
2008-04-07,7.69,8.27,7.62,7.93,123000,0
2008-04-08,7.88,7.88,7.49,7.74,36000,0
2008-04-09,7.77,7.77,7.45,7.51,53600,0
2008-04-10,7.5,7.72,7.39,7.71,33000,0
2008-04-11,7.61,7.72,7.14,7.18,72600,0
2008-04-14,7.16,7.34,7.16,7.18,49800,0
2008-04-15,7.22,7.53,7.22,7.47,47200,0
