Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,67.25,67.51,66.02,66.38,1241600,0
2008-01-03,66.02,67.19,65.81,66.58,889500,0
2008-01-04,65.97,66.1,65.18,65.57,875600,0
2008-01-07,66.1,66.42,64.97,65.43,1197600,0
2008-01-08,67.34,68.23,67.01,67.28,1332100,0
2008-01-09,68.81,69.66,68.6,69.35,1601700,0
2008-01-10,69.13,69.59,68.01,69.14,746400,0
2008-01-11,69.06,69.72,68.61,68.87,574200,0
2008-01-14,67.6,67.93,66.29,66.74,1093000,0
2008-01-15,66.41,66.42,64.66,65.03,969200,0
2008-01-16,64.33,65.15,62.4,64.89,990700,0
2008-01-17,65.47,65.63,63.61,63.76,616200,0
2008-01-18,63.77,63.98,62.41,62.86,1211900,0
2008-01-22,57.72,61.17,57.61,60.21,2275900,0
2008-01-23,57.77,59.39,56.11,58.56,2368900,0
2008-01-24,58.44,61.0,58.44,60.63,1494500,0
2008-01-25,60.15,60.33,57.48,57.74,1557900,0
2008-01-28,56.46,57.17,55.73,56.77,2810500,0
2008-01-29,55.97,56.7,54.8,54.83,2737300,0
2008-01-30,53.96,54.31,52.25,52.39,2197200,0
2008-01-31,52.36,54.15,51.95,53.85,1866100,0
2008-02-01,54.6,56.37,54.56,56.37,1572800,0
2008-02-04,55.3,56.32,55.25,56.08,1042200,0
2008-02-05,56.14,56.38,55.68,56.14,1226600,0
2008-02-06,56.45,56.69,55.85,55.88,948900,0
2008-02-07,55.88,56.48,55.57,56.36,648700,0
2008-02-08,55.13,55.25,53.1,53.73,2540200,0
2008-02-11,53.27,53.33,52.1,52.69,1502100,0
2008-02-12,53.01,54.0,53.01,53.56,1045800,0
2008-02-13,54.4,54.61,53.77,54.45,1294400,0
2008-02-14,53.86,54.26,52.72,52.91,1398300,0
2008-02-15,52.81,53.39,52.6,53.35,1537400,0
2008-02-19,56.0,56.0,54.8,55.33,2523700,0
2008-02-20,55.14,55.85,54.46,55.51,1855300,0
2008-02-21,57.63,57.7,56.2,56.85,2354400,0
2008-02-22,59.33,59.45,57.73,58.9,3133200,0
2008-02-25,58.96,59.49,58.4,59.1,881300,0
2008-02-26,59.13,61.02,59.12,60.41,833700,0
2008-02-27,60.59,61.65,60.32,60.45,1263800,0
2008-02-28,61.51,61.51,60.63,60.74,1587300,0
2008-02-29,59.84,59.92,58.22,58.44,861700,0
2008-03-03,58.52,58.73,57.9,58.07,1331200,0
2008-03-04,58.11,58.87,58.0,58.75,1313000,0
2008-03-05,58.91,59.62,58.58,59.35,838800,0
2008-03-06,60.48,60.68,58.63,58.99,1058300,0
2008-03-07,58.72,59.69,58.29,59.0,1012800,0
2008-03-10,58.69,58.83,56.76,56.79,1020200,0
2008-03-11,58.2,58.41,56.4,57.5,1146300,0
2008-03-12,57.98,58.49,57.54,57.69,848000,0
2008-03-13,56.57,57.86,56.37,57.32,943700,0
2008-03-14,59.9,61.77,58.01,58.96,5292300,0
2008-03-17,58.71,61.17,58.55,60.05,1559900,0
2008-03-18,63.94,64.47,62.6,63.49,2944000,0
2008-03-19,62.38,62.7,61.23,61.32,1161200,0
2008-03-20,62.08,62.74,61.6,62.53,1767700,0
2008-03-24,62.57,63.15,62.28,63.01,984700,0
2008-03-25,62.1,62.49,61.43,61.78,2371000,0
2008-03-26,60.18,60.41,59.49,59.83,1414300,0
2008-03-27,60.62,60.62,59.44,59.51,1064200,0
2008-03-28,60.12,60.12,58.35,58.51,1000500,0
2008-03-31,58.71,58.75,57.73,57.96,2073000,0
2008-04-01,58.33,58.54,57.81,58.22,2401200,0
2008-04-02,59.46,60.53,59.46,59.65,1167800,0
2008-04-03,59.27,60.05,59.03,59.35,1267400,0
2008-04-04,60.58,60.6,59.03,60.19,1705900,0
2008-04-07,60.0,60.18,59.55,59.89,1585800,0
2008-04-08,58.0,59.3,57.82,58.77,6536600,0
2008-04-09,59.01,59.06,56.68,57.47,2035100,0
2008-04-10,58.31,59.09,57.33,58.18,1203000,0
2008-04-11,57.82,57.88,56.46,56.82,898200,0
2008-04-14,56.47,56.6,55.42,55.71,527800,0
2008-04-15,55.28,55.4,54.44,55.1,978300,0
2008-04-16,55.58,55.69,54.88,55.63,502600,0
2008-04-17,55.33,55.61,54.83,55.31,511200,0
2008-04-18,56.57,57.34,56.55,56.85,588700,0
2008-04-21,57.06,57.16,56.22,56.72,418500,0
2008-04-22,55.86,55.9,54.51,55.07,1068800,0
2008-04-23,54.9,59.0,54.79,58.71,2616700,0
2008-04-24,57.8,58.72,56.77,57.75,1265700,0
2008-04-25,55.65,57.25,55.08,55.5,2189300,0
2008-04-28,53.71,54.68,53.53,54.33,2084500,0
2008-04-29,54.43,55.38,54.36,54.95,819500,0
2008-04-30,56.33,56.4,54.82,54.94,1136500,0
2008-05-01,54.47,55.28,54.39,55.28,547500,0
2008-05-02,55.22,55.22,53.9,53.99,770100,0
2008-05-05,53.99,53.99,53.1,53.46,839000,0
2008-05-06,51.87,52.46,51.6,52.31,1860000,0
2008-05-07,51.64,51.95,51.2,51.28,763300,0
2008-05-08,51.55,51.68,51.05,51.24,683500,0
2008-05-09,50.09,50.51,49.96,50.08,761000,0
2008-05-12,50.87,51.18,50.49,50.69,630200,0
2008-05-13,49.84,50.05,49.2,49.71,972800,0
2008-05-14,49.73,50.09,49.49,49.6,896500,0
2008-05-15,49.18,50.47,48.76,50.02,1180300,0
2008-05-16,48.88,50.88,48.85,50.8,1172900,0
2008-05-19,51.23,51.88,51.07,51.6,923400,0
2008-05-20,52.45,52.61,51.52,51.95,1302800,0
2008-05-21,51.6,52.42,51.13,51.2,1337900,0
2008-05-22,51.98,52.29,51.71,51.92,801100,0
2008-05-23,51.38,51.66,51.0,51.43,520800,0
2008-05-27,51.27,51.83,51.27,51.78,362800,0
2008-05-28,52.39,52.52,51.39,51.97,517700,0
2008-05-29,52.13,52.32,51.27,51.52,662600,0
2008-05-30,51.31,51.67,50.87,51.56,558400,0
2008-06-02,49.9,50.16,49.36,49.97,951700,0
2008-06-03,49.04,49.33,48.28,48.34,1201500,0
2008-06-04,48.37,48.7,48.05,48.3,691900,0
2008-06-05,47.69,48.18,47.54,48.14,506400,0
2008-06-06,48.11,48.35,47.77,48.0,359000,0
2008-06-09,47.86,47.89,46.81,47.25,568500,0
2008-06-10,45.31,46.17,45.24,45.83,1534300,0
2008-06-11,45.35,46.18,45.12,45.89,1713500,0
2008-06-12,46.81,47.21,46.67,46.92,666900,0
2008-06-13,46.89,47.25,46.76,47.11,489500,0
2008-06-16,47.34,48.69,47.24,48.34,688000,0
2008-06-17,48.23,48.27,47.59,47.91,614300,0
2008-06-18,47.3,47.91,47.25,47.42,539400,0
2008-06-19,47.35,47.65,46.88,47.49,515800,0
2008-06-20,47.36,47.79,46.95,47.33,638800,0
2008-06-23,49.46,49.72,48.95,49.66,1395900,0
2008-06-24,49.43,49.89,48.79,49.51,700300,0
2008-06-25,49.76,50.47,49.36,50.07,629800,0
2008-06-26,49.77,49.83,48.71,48.74,499500,0
2008-06-27,48.54,49.04,48.38,48.45,430600,0
2008-06-30,48.99,49.52,48.95,49.13,862300,0
2008-07-01,47.89,48.29,46.57,47.57,1127800,0
2008-07-02,48.57,48.69,47.22,47.3,555500,0
2008-07-03,48.19,48.27,47.33,47.75,467100,0
2008-07-07,47.27,47.4,45.59,46.12,635700,0
2008-07-08,46.5,47.46,46.19,47.36,1127100,0
2008-07-09,48.0,49.27,47.96,48.24,1030500,0
2008-07-10,47.92,48.37,47.69,48.13,579200,0
2008-07-11,47.36,47.75,46.41,47.29,604900,0
2008-07-14,46.49,46.69,46.13,46.33,663400,0
2008-07-15,45.63,46.26,45.23,45.6,709400,0
2008-07-16,44.65,45.28,43.63,44.8,1821400,0
2008-07-17,44.46,46.2,44.41,45.74,1735100,0
2008-07-18,45.54,46.2,45.37,45.75,1395200,0
2008-07-21,45.23,45.93,45.1,45.61,1451900,0
2008-07-22,45.36,47.24,45.36,47.13,871300,0
2008-07-23,46.65,47.34,46.65,47.23,1535300,0
2008-07-24,48.11,48.49,47.62,47.93,973100,0
2008-07-25,48.27,48.62,48.07,48.38,323200,0
2008-07-28,47.72,48.07,47.5,47.74,696500,0
2008-07-29,47.44,48.08,47.33,47.75,712800,0
2008-07-30,48.19,48.8,46.07,46.33,1057800,0
2008-07-31,49.5,50.56,48.95,50.34,2414500,0
2008-08-01,50.19,53.29,50.16,52.35,1953200,0
2008-08-04,51.06,51.13,50.3,50.95,773900,0
2008-08-05,52.7,53.66,52.35,53.48,890100,0
2008-08-06,51.57,52.12,51.08,52.1,950300,0
2008-08-07,52.1,52.86,51.05,51.4,862700,0
2008-08-08,51.18,52.53,51.18,52.11,836000,0
2008-08-11,52.44,53.26,52.37,53.18,705300,0
2008-08-12,53.0,55.5,52.78,53.19,1081600,0
2008-08-13,52.32,53.07,52.07,52.87,1234700,0
2008-08-14,52.21,53.27,52.16,53.05,681000,0
2008-08-15,53.73,54.03,53.43,53.6,493400,0
2008-08-18,53.42,53.5,52.55,52.84,470900,0
2008-08-19,52.48,52.63,52.16,52.62,437100,0
2008-08-20,51.59,52.22,51.52,52.16,839400,0
2008-08-21,52.04,52.37,51.86,52.19,408900,0
2008-08-22,52.39,53.14,52.33,53.01,372200,0
2008-08-25,52.72,53.64,52.6,53.32,576200,0
2008-08-26,53.03,53.46,53.03,53.43,528200,0
2008-08-27,52.58,53.17,52.54,52.87,351300,0
2008-08-28,52.82,53.55,52.82,53.41,414400,0
2008-08-29,53.02,53.18,52.78,53.08,210300,0
2008-09-02,52.38,53.45,52.28,53.09,909900,0
2008-09-03,52.09,53.4,52.05,53.21,1122900,0
2008-09-04,51.16,51.95,50.63,51.02,1773000,0
2008-09-05,50.64,51.01,49.79,50.74,680100,0
2008-09-08,50.83,51.15,50.29,50.46,493700,0
2008-09-09,49.03,49.8,48.98,49.45,929200,0
2008-09-10,49.8,49.85,48.58,48.92,1317000,0
2008-09-11,47.71,48.33,47.53,48.16,1101200,0
2008-09-12,47.73,49.42,47.5,49.21,1027400,0
2008-09-15,47.93,49.3,47.85,48.83,986400,0
2008-09-16,47.88,49.52,47.88,49.04,1450900,0
2008-09-17,47.99,49.14,47.9,48.5,2961800,0
2008-09-18,48.31,50.62,48.13,50.08,1490800,0
2008-09-19,50.33,51.64,49.91,51.53,1470300,0
2008-09-22,50.64,50.98,50.08,50.44,494100,0
2008-09-23,50.51,50.96,49.65,49.67,1299300,0
2008-09-24,50.37,50.4,49.78,49.78,887400,0
2008-09-25,50.39,50.91,50.02,50.48,1218300,0
2008-09-26,50.09,50.95,50.04,50.73,505500,0
2008-09-29,49.17,49.57,48.12,48.62,1506500,0
2008-09-30,47.47,47.93,47.1,47.75,1421700,0
2008-10-01,47.79,48.48,47.53,47.87,1171100,0
2008-10-02,48.07,48.27,47.15,47.2,784300,0
2008-10-03,47.13,48.45,47.0,47.0,852200,0
2008-10-06,45.7,46.0,42.86,45.55,1271200,0
2008-10-07,46.34,46.9,45.33,45.34,1360500,0
2008-10-08,43.53,44.39,41.26,43.19,2817000,0
2008-10-09,42.39,43.0,37.57,38.51,1598100,0
2008-10-10,38.43,39.75,33.8,37.47,3019100,0
2008-10-13,39.65,42.53,39.31,41.92,1396000,0
2008-10-14,43.07,43.25,40.62,41.53,1061300,0
2008-10-15,41.79,42.14,38.82,38.82,667700,0
