Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,17.63,17.66,16.92,17.26,423400,0
2008-01-03,17.28,17.47,17.08,17.16,250700,0
2008-01-04,17.05,17.18,16.02,16.02,966100,0
2008-01-07,16.23,16.23,15.0,15.26,1251500,0
2008-01-08,15.51,16.0,15.14,15.23,608100,0
2008-01-09,15.36,15.62,14.65,15.55,738400,0
2008-01-10,15.58,16.0,15.1,15.53,521500,0
2008-01-11,15.55,15.89,15.15,15.69,584800,0
2008-01-14,15.6,16.11,15.33,15.6,607100,0
2008-01-15,15.1,15.36,15.0,15.12,641200,0
2008-01-16,15.0,15.2,14.4,14.63,563300,0
2008-01-17,14.65,15.0,14.45,14.54,474900,0
2008-01-18,14.65,15.57,14.65,15.25,484900,0
2008-01-22,14.26,15.25,14.05,15.07,433600,0
2008-01-23,14.51,14.78,13.66,14.51,539400,0
2008-01-24,14.7,15.2,14.5,14.81,218600,0
2008-01-25,15.06,15.65,15.06,15.14,299600,0
2008-01-28,15.04,15.26,14.96,15.01,377400,0
2008-01-29,15.01,15.65,15.0,15.57,380200,0
2008-01-30,15.5,16.43,15.5,15.89,541500,0
2008-01-31,15.86,15.9,15.38,15.4,1184200,0
2008-02-01,17.55,17.62,15.4,16.06,2403100,0
2008-02-04,16.2,17.07,16.14,17.01,897000,0
2008-02-05,16.9,17.19,15.76,15.93,565500,0
2008-02-06,16.07,16.34,15.53,15.57,259300,0
2008-02-07,15.28,15.86,15.1,15.7,384800,0
2008-02-08,15.53,15.97,15.5,15.72,197600,0
2008-02-11,15.81,16.08,15.6,15.83,170800,0
2008-02-12,15.89,16.0,15.47,15.49,227800,0
2008-02-13,15.74,15.96,15.47,15.94,226000,0
2008-02-14,15.95,15.96,15.4,15.51,327700,0
2008-02-15,15.51,15.52,15.1,15.22,196100,0
2008-02-19,15.3,15.35,14.9,14.92,440000,0
2008-02-20,14.87,15.54,14.82,15.48,547800,0
2008-02-21,15.69,15.8,14.45,14.72,607100,0
2008-02-22,14.67,14.72,14.01,14.45,444900,0
2008-02-25,14.31,14.64,14.05,14.51,383300,0
2008-02-26,14.61,15.14,14.61,14.89,393500,0
2008-02-27,15.12,15.29,14.99,15.16,277600,0
2008-02-28,15.24,15.27,14.8,14.9,214000,0
2008-02-29,14.93,15.12,14.75,14.87,408300,0
2008-03-03,14.94,15.09,14.59,14.62,226600,0
2008-03-04,14.75,15.0,14.5,14.98,270400,0
2008-03-05,15.04,15.25,14.92,15.0,213500,0
2008-03-06,15.0,15.19,14.71,14.88,153900,0
2008-03-07,14.7,15.11,14.57,15.0,266900,0
2008-03-10,15.13,15.13,14.49,14.61,407800,0
2008-03-11,14.65,14.99,13.85,13.9,1323000,0
2008-03-12,14.5,14.55,13.66,13.69,800000,0
2008-03-13,13.65,13.69,13.05,13.19,636400,0
2008-03-14,13.25,13.78,12.9,13.28,868300,0
2008-03-17,12.85,12.93,12.4,12.4,551900,0
2008-03-18,12.55,13.61,12.5,13.58,681600,0
2008-03-19,13.55,13.6,12.89,13.04,472100,0
2008-03-20,13.2,13.28,12.93,13.09,237600,0
2008-03-24,13.27,14.09,13.18,14.06,317200,0
2008-03-25,14.12,14.79,14.11,14.76,374500,0
2008-03-26,14.76,14.76,14.31,14.63,189800,0
2008-03-27,14.56,14.72,14.16,14.19,134800,0
2008-03-28,14.31,14.52,14.0,14.22,129000,0
2008-03-31,14.09,14.37,13.8,14.12,251000,0
2008-04-01,14.19,15.29,14.19,15.27,465000,0
2008-04-02,15.37,15.6,15.11,15.46,312400,0
2008-04-03,15.35,15.77,15.31,15.63,263700,0
2008-04-04,15.8,15.8,15.36,15.54,220100,0
