Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,8.21,8.5,8.16,8.26,121000,0
2008-01-03,8.18,8.42,7.7,7.7,179200,0
2008-01-04,7.65,7.75,7.48,7.57,139700,0
2008-01-07,7.71,7.71,7.47,7.55,157100,0
2008-01-08,7.5,7.7,7.21,7.23,163300,0
2008-01-09,7.19,7.27,6.85,7.04,148600,0
2008-01-10,6.95,7.22,6.9,7.13,127900,0
2008-01-11,7.07,7.14,6.82,6.93,143500,0
2008-01-14,6.96,7.12,6.83,7.02,96500,0
2008-01-15,6.97,7.92,6.9,7.54,209600,0
2008-01-16,7.48,8.29,7.48,8.11,132300,0
2008-01-17,8.15,8.28,7.68,7.74,101800,0
2008-01-18,7.67,7.92,7.25,7.36,124800,0
2008-01-22,7.3,7.4,6.82,7.03,171200,0
2008-01-23,6.8,7.89,6.8,7.57,144200,0
2008-01-24,7.58,8.13,7.44,7.9,149200,0
2008-01-25,8.0,8.49,7.62,7.78,131800,0
2008-01-28,7.73,8.39,7.7,8.18,192600,0
2008-01-29,8.22,8.4,8.1,8.14,104700,0
2008-01-30,8.09,8.88,8.01,8.3,116300,0
2008-01-31,8.37,8.37,8.09,8.26,128000,0
2008-02-01,8.26,8.81,8.26,8.76,141800,0
2008-02-04,8.7,8.85,8.45,8.54,81500,0
2008-02-05,8.38,8.49,7.97,8.0,119100,0
2008-02-06,8.1,8.6,8.04,8.17,93100,0
2008-02-07,8.14,8.36,7.73,8.03,147100,0
2008-02-08,8.03,8.05,7.7,7.79,128900,0
2008-02-11,7.81,7.81,7.37,7.45,148700,0
2008-02-12,7.55,7.6,7.39,7.43,218400,0
2008-02-13,7.45,7.75,7.35,7.74,103400,0
2008-02-14,7.81,7.91,7.26,7.51,167900,0
2008-02-15,7.45,7.58,7.23,7.23,251700,0
2008-02-19,7.47,7.54,7.25,7.32,151800,0
2008-02-20,7.29,7.7,7.25,7.68,157000,0
2008-02-21,7.75,7.89,7.45,7.5,265300,0
2008-02-22,7.5,7.6,7.2,7.21,149600,0
2008-02-25,7.31,7.64,7.16,7.6,137400,0
2008-02-26,7.55,7.99,7.55,7.8,99700,0
2008-02-27,7.77,8.14,7.76,8.0,119400,0
2008-02-28,7.95,8.03,7.64,7.77,302400,0
2008-02-29,7.75,7.96,7.38,7.41,291000,0
2008-03-03,7.38,7.82,7.27,7.41,339800,0
2008-03-04,7.35,7.69,7.25,7.47,99400,0
2008-03-05,7.52,7.52,7.18,7.42,126100,0
2008-03-06,7.45,7.5,7.11,7.13,117000,0
2008-03-07,7.1,7.64,7.05,7.41,85400,0
2008-03-10,7.36,7.88,7.36,7.52,98100,0
2008-03-11,6.34,7.15,6.09,6.25,470400,0
2008-03-12,6.27,6.56,6.04,6.06,151300,0
2008-03-13,6.0,6.53,5.84,6.47,185100,0
2008-03-14,6.45,6.45,6.0,6.06,164700,0
2008-03-17,6.04,6.14,5.76,5.94,159700,0
2008-03-18,6.12,6.21,5.82,6.1,122100,0
2008-03-19,6.2,6.37,6.1,6.14,134700,0
2008-03-20,6.07,6.54,5.96,5.99,324500,0
2008-03-24,6.03,6.81,6.02,6.69,176800,0
2008-03-25,6.57,7.29,6.57,7.29,160400,0
2008-03-26,7.17,7.58,6.88,7.17,465100,0
2008-03-27,7.23,7.33,6.67,6.82,239500,0
2008-03-28,6.82,6.91,6.26,6.67,238000,0
2008-03-31,6.64,6.64,6.03,6.12,230200,0
2008-04-01,6.12,6.71,6.12,6.71,136700,0
2008-04-02,6.64,6.72,6.38,6.46,119800,0
2008-04-03,6.36,6.49,6.22,6.26,100600,0
2008-04-04,6.3,6.7,6.28,6.68,96100,0
2008-04-07,6.69,6.69,6.39,6.42,86100,0
2008-04-08,6.4,6.68,6.21,6.64,73800,0
2008-04-09,6.6,6.6,6.2,6.2,170100,0
2008-04-10,6.22,6.46,6.21,6.33,90000,0
2008-04-11,6.28,6.32,6.13,6.15,121900,0
2008-04-14,6.14,6.21,6.07,6.15,74800,0
2008-04-15,6.18,6.3,6.1,6.2,55700,0
2008-04-16,6.27,6.29,6.05,6.08,126600,0
2008-04-17,6.08,6.29,6.02,6.08,126600,0
2008-04-18,6.18,6.7,6.1,6.63,175400,0
2008-04-21,6.62,6.65,6.21,6.56,142100,0
2008-04-22,6.48,6.48,6.07,6.07,219500,0
2008-04-23,6.1,6.2,5.95,6.04,188700,0
2008-04-24,6.05,6.4,5.98,6.38,199200,0
2008-04-25,6.39,6.41,6.25,6.33,138900,0
2008-04-28,6.32,6.4,6.2,6.26,83000,0
