Date,Open,High,Low,Close,Volume,Dividend
2014-07-29,9.0,9.19,8.84,8.94,5296400,0
2014-07-30,8.86,8.9,8.65,8.65,371400,0
2014-07-31,8.57,8.74,8.4,8.56,179400,0
2014-08-01,8.73,8.73,8.45,8.6,122600,0
2014-08-04,8.88,8.9,8.57,8.75,117200,0
2014-08-05,8.68,8.71,8.52,8.61,46600,0
2014-08-06,8.75,8.85,8.65,8.85,74800,0
2014-08-07,8.88,8.88,8.75,8.81,39800,0
2014-08-08,8.68,8.85,8.68,8.82,40600,0
2014-08-11,8.95,8.95,8.75,8.87,36800,0
2014-08-12,8.8,8.82,8.7,8.77,45800,0
2014-08-13,8.7,8.85,8.57,8.6,51400,0
2014-08-14,8.73,8.88,8.73,8.83,19200,0
2014-08-15,8.8,8.88,8.75,8.75,51200,0
2014-08-18,8.86,8.88,8.76,8.87,15400,0
2014-08-19,8.72,8.93,8.72,8.82,26800,0
2014-08-20,8.93,8.95,8.75,8.76,46200,0
2014-08-21,8.8,8.95,8.77,8.84,35000,0
2014-08-22,8.84,8.98,8.6,8.94,47000,0
2014-08-25,8.94,8.95,8.63,8.72,124400,0
2014-08-26,8.77,8.9,8.75,8.88,35400,0
2014-08-27,8.76,8.9,8.76,8.85,48000,0
2014-08-28,8.72,8.88,8.72,8.84,45400,0
2014-08-29,8.75,8.87,8.7,8.77,54400,0
2014-09-02,8.88,8.88,8.76,8.82,67600,0
2014-09-03,8.73,8.87,8.64,8.73,69600,0
2014-09-04,8.65,8.75,8.63,8.73,51600,0
2014-09-05,8.68,8.74,8.62,8.7,29400,0
2014-09-08,8.6,8.72,8.55,8.69,32800,0
2014-09-09,8.73,8.73,8.64,8.71,37400,0
2014-09-10,8.6,8.66,8.5,8.6,49000,0
2014-09-11,8.56,8.73,8.5,8.55,48800,0
2014-09-12,8.72,8.72,8.39,8.5,48600,0
2014-09-15,8.44,8.5,8.25,8.34,99400,0
