Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,17.34,17.5,16.4,16.79,714700,0
2008-01-03,16.84,17.38,16.65,17.17,714700,0
2008-01-04,16.8,16.8,16.04,16.23,810300,0
2008-01-07,16.03,16.31,15.77,16.09,365600,0
2008-01-08,16.25,16.41,15.91,15.99,605900,0
2008-01-09,16.01,16.02,15.28,15.54,714700,0
2008-01-10,15.27,16.55,15.27,16.46,1147100,0
2008-01-11,16.55,16.93,16.24,16.48,1646200,0
2008-01-14,16.85,17.03,16.63,17.03,471300,0
2008-01-15,16.66,16.66,15.8,16.12,451800,0
2008-01-16,15.82,16.38,14.75,15.91,1356600,0
2008-01-17,15.97,16.1,14.88,14.91,1485000,0
2008-01-18,15.04,15.18,14.47,14.79,448700,0
2008-01-22,14.09,17.07,14.09,14.38,652100,0
2008-01-23,13.73,14.67,12.86,14.61,732200,0
2008-01-24,15.19,15.58,14.9,15.47,717800,0
2008-01-25,16.21,16.34,15.48,15.7,700400,0
2008-01-28,15.58,16.23,15.2,16.09,360400,0
2008-01-29,16.84,16.84,16.15,16.45,694200,0
2008-01-30,16.46,17.04,16.19,16.71,797900,0
2008-01-31,16.39,17.3,15.97,17.26,1009500,0
2008-02-01,17.23,17.59,17.09,17.23,923200,0
2008-02-04,17.28,17.35,16.81,17.28,306000,0
2008-02-05,17.18,17.18,16.21,16.39,399500,0
2008-02-06,16.67,16.86,16.02,16.1,275200,0
2008-02-07,16.07,16.21,15.19,15.75,916000,0
2008-02-08,15.8,16.36,15.68,15.94,242300,0
2008-02-11,16.08,16.48,15.88,16.31,381000,0
2008-02-12,16.63,17.06,16.32,16.92,651100,0
2008-02-13,17.11,18.28,16.57,17.27,610000,0
2008-02-14,17.27,17.27,16.52,16.52,464200,0
2008-02-15,16.77,16.77,16.26,16.5,592500,0
2008-02-19,16.75,17.04,16.55,16.88,890400,0
2008-02-20,16.82,17.32,16.55,17.27,413800,0
2008-02-21,17.33,17.51,16.93,17.07,470300,0
2008-02-22,17.27,17.35,17.0,17.2,347100,0
2008-02-25,17.43,18.5,17.27,18.45,832800,0
2008-02-26,18.26,19.07,17.96,18.99,780500,0
