Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,8.52,8.64,8.34,8.52,132100,0
2008-01-03,8.7,8.88,8.16,8.88,96800,0
2008-01-04,8.7,8.76,8.4,8.52,87900,0
2008-01-07,8.46,8.7,7.98,8.1,69200,0
2008-01-08,7.86,8.88,7.86,8.4,95900,0
2008-01-09,8.58,8.7,8.28,8.52,52800,0
2008-01-10,8.64,9.12,8.22,9.06,78200,0
2008-01-11,8.94,9.0,8.64,8.88,45200,0
2008-01-14,8.88,9.18,8.58,8.7,56100,0
2008-01-15,8.64,8.82,8.1,8.58,47400,0
2008-01-16,8.4,8.88,8.22,8.7,50600,0
2008-01-17,8.58,8.88,8.1,8.1,68200,0
2008-01-18,8.34,8.64,7.98,8.22,85300,0
2008-01-22,7.56,8.16,6.0,8.16,68700,0
2008-01-23,7.8,8.04,7.44,7.74,73000,0
2008-01-24,7.98,7.98,7.5,7.56,29900,0
2008-01-25,7.56,7.68,6.96,7.32,78200,0
2008-01-28,7.5,7.5,7.02,7.26,57700,0
2008-01-29,7.26,7.74,7.02,7.74,78900,0
2008-01-30,7.74,7.74,7.38,7.56,30300,0
2008-01-31,7.5,7.5,7.02,7.44,52700,0
2008-02-01,7.5,7.74,7.32,7.68,35300,0
2008-02-04,7.86,7.86,7.44,7.68,86300,0
2008-02-05,7.56,7.68,7.02,7.08,99000,0
2008-02-06,7.02,7.2,6.42,6.42,123000,0
2008-02-07,6.54,7.02,6.36,6.6,102100,0
2008-02-08,6.72,6.84,6.36,6.54,70600,0
2008-02-11,6.48,7.98,6.42,7.8,166600,0
2008-02-12,7.8,8.46,7.74,8.46,110900,0
2008-02-13,8.46,8.88,8.28,8.88,75800,0
2008-02-14,8.76,9.18,7.86,8.1,94500,0
2008-02-15,8.22,8.58,7.8,8.34,51100,0
2008-02-19,8.58,8.88,8.16,8.76,64500,0
2008-02-20,8.34,8.88,8.22,8.64,53300,0
2008-02-21,8.52,8.64,8.22,8.28,36700,0
2008-02-22,8.1,8.58,8.04,8.1,36500,0
2008-02-25,7.98,8.58,7.98,8.52,38100,0
2008-02-26,8.34,8.7,8.22,8.64,31200,0
2008-02-27,8.64,8.64,8.1,8.34,32900,0
2008-02-28,8.34,8.4,8.1,8.34,29700,0
2008-02-29,8.22,8.34,8.1,8.16,22600,0
2008-03-03,8.34,8.34,7.5,7.5,48200,0
2008-03-04,7.62,7.98,7.5,7.98,20700,0
2008-03-05,8.04,8.58,7.56,8.04,44000,0
2008-03-06,8.16,8.16,7.38,7.68,58900,0
2008-03-07,7.44,7.92,6.96,7.5,61900,0
2008-03-10,7.26,8.34,7.2,8.16,84700,0
2008-03-11,8.28,8.7,7.98,8.64,63000,0
2008-03-12,8.04,8.88,7.8,8.34,79600,0
2008-03-13,8.34,8.7,8.1,8.28,68600,0
2008-03-14,8.22,8.58,7.8,8.28,65800,0
2008-03-17,8.1,8.58,7.8,7.98,25900,0
2008-03-18,8.34,8.34,7.92,8.16,27000,0
2008-03-19,8.04,8.52,7.8,8.52,64400,0
2008-03-20,8.4,8.58,8.04,8.58,29900,0
2008-03-24,8.52,9.9,8.46,9.6,124500,0
2008-03-25,9.78,10.5,9.78,10.14,105200,0
2008-03-26,10.26,10.56,9.96,10.32,77800,0
2008-03-27,10.5,10.62,10.2,10.62,40500,0
2008-03-28,10.8,11.28,10.2,10.56,55000,0
2008-03-31,10.92,11.7,10.38,11.04,129100,0
2008-04-01,10.98,11.58,10.74,11.16,68900,0
2008-04-02,10.98,11.4,10.86,11.1,60100,0
2008-04-03,11.04,11.82,11.04,11.22,102200,0
2008-04-04,11.4,11.52,10.98,11.28,62700,0
2008-04-07,11.52,11.52,10.38,10.92,66900,0
2008-04-08,10.86,10.86,10.26,10.32,35600,0
2008-04-09,10.2,10.68,10.14,10.44,32400,0
2008-04-10,10.26,10.38,9.96,10.26,35000,0
2008-04-11,10.26,10.32,9.66,9.9,51600,0
2008-04-14,9.72,9.9,9.3,9.48,20500,0
2008-04-15,9.48,9.54,8.58,8.76,48200,0
2008-04-16,8.7,9.18,8.7,9.0,58100,0
2008-04-17,9.3,10.14,9.12,10.08,68000,0
2008-04-18,10.2,10.44,9.48,9.9,53200,0
2008-04-21,9.66,9.84,9.18,9.18,38000,0
2008-04-22,9.06,9.24,8.82,8.82,30300,0
2008-04-23,8.94,9.18,8.7,9.18,40000,0
2008-04-24,9.0,9.3,8.82,9.12,29500,0
2008-04-25,9.12,9.12,8.88,9.0,11800,0
2008-04-28,9.0,9.12,8.7,9.0,30200,0
2008-04-29,8.82,9.06,8.7,8.94,6600,0
2008-04-30,9.12,9.12,8.76,9.0,16700,0
2008-05-01,8.94,9.0,8.76,8.94,9600,0
2008-05-02,9.06,9.36,8.76,8.88,8800,0
2008-05-05,8.82,8.88,8.28,8.4,32000,0
2008-05-06,8.34,8.34,7.56,7.68,64600,0
2008-05-07,7.62,8.1,7.56,7.98,40300,0
2008-05-08,8.16,8.88,8.1,8.76,49300,0
2008-05-09,9.0,9.36,8.76,9.3,80200,0
2008-05-12,9.42,9.9,9.06,9.72,66300,0
2008-05-13,10.08,10.08,9.18,9.54,56200,0
2008-05-14,9.6,9.78,9.12,9.24,37700,0
2008-05-15,9.42,9.42,9.0,9.18,31500,0
2008-05-16,9.12,9.84,8.94,9.6,53800,0
2008-05-19,9.48,9.66,9.3,9.54,26700,0
2008-05-20,9.6,9.6,9.06,9.3,78600,0
2008-05-21,9.42,9.42,8.46,8.58,45000,0
2008-05-22,8.76,8.76,8.4,8.58,20500,0
2008-05-23,8.7,8.76,8.4,8.76,13200,0
2008-05-27,8.94,8.94,8.46,8.58,22300,0
2008-05-28,8.46,8.76,8.34,8.52,31300,0
2008-05-29,8.34,8.7,8.34,8.64,22800,0
2008-05-30,8.58,8.76,8.4,8.4,22000,0
2008-06-02,8.58,8.82,8.46,8.64,27200,0
2008-06-03,8.52,8.52,8.1,8.34,24600,0
2008-06-04,8.1,8.4,8.04,8.16,23100,0
2008-06-05,8.16,8.4,7.98,8.16,21900,0
2008-06-06,8.34,8.4,8.04,8.28,19600,0
2008-06-09,8.28,8.34,7.62,7.74,49000,0
2008-06-10,7.62,7.68,6.06,6.96,242500,0
2008-06-11,6.78,7.08,6.72,6.96,44500,0
2008-06-12,6.96,7.08,6.72,6.9,39600,0
2008-06-13,6.84,7.08,6.84,7.08,17900,0
2008-06-16,7.32,7.5,6.96,7.44,47500,0
2008-06-17,7.56,7.8,7.5,7.56,33000,0
2008-06-18,7.44,7.86,7.32,7.44,90900,0
2008-06-19,7.38,7.56,7.08,7.5,34300,0
2008-06-20,7.38,7.62,7.38,7.5,38500,0
2008-06-23,7.5,7.56,7.26,7.56,33000,0
2008-06-24,7.32,7.5,7.14,7.5,39600,0
2008-06-25,7.5,7.62,7.2,7.5,32600,0
2008-06-26,7.32,7.44,7.02,7.2,21700,0
2008-06-27,7.08,7.14,6.9,6.96,21500,0
2008-06-30,7.14,7.14,6.72,6.72,18100,0
2008-07-01,6.78,6.84,6.6,6.6,22900,0
2008-07-02,6.78,7.44,6.78,7.02,35900,0
2008-07-03,6.78,7.5,6.78,7.26,16100,0
2008-07-07,7.14,7.14,6.66,6.96,18200,0
2008-07-08,6.84,7.02,6.66,7.02,18900,0
2008-07-09,6.9,7.14,6.72,6.84,33200,0
2008-07-10,7.02,7.26,6.78,6.96,16700,0
2008-07-11,6.96,7.74,6.84,7.56,36000,0
2008-07-14,7.74,7.74,7.02,7.32,15900,0
2008-07-15,7.14,7.32,6.84,6.84,30400,0
2008-07-16,6.9,7.32,6.78,7.32,21100,0
2008-07-17,7.2,7.56,7.02,7.5,14600,0
2008-07-18,7.5,7.56,7.14,7.2,19800,0
2008-07-21,7.2,7.44,7.02,7.08,25100,0
2008-07-22,7.14,7.5,7.14,7.38,22100,0
2008-07-23,7.38,7.44,7.2,7.38,15700,0
2008-07-24,7.44,7.44,7.14,7.26,10300,0
2008-07-25,7.26,7.26,6.72,6.9,34800,0
2008-07-28,6.72,7.14,6.72,6.9,18900,0
2008-07-29,7.14,7.14,6.72,6.72,21500,0
2008-07-30,6.66,7.2,6.66,7.2,20000,0
2008-07-31,7.32,7.44,7.26,7.38,22200,0
2008-08-01,7.2,7.56,7.2,7.56,21500,0
2008-08-04,7.5,7.5,7.08,7.26,26500,0
2008-08-05,7.32,7.44,6.96,7.38,93500,0
2008-08-06,7.26,7.38,7.2,7.32,12000,0
2008-08-07,7.08,7.32,6.6,6.6,55400,0
2008-08-08,6.72,7.26,6.66,7.26,45300,0
2008-08-11,7.32,7.5,7.2,7.38,23800,0
2008-08-12,7.2,7.44,7.14,7.26,9100,0
2008-08-13,7.2,7.44,7.14,7.2,12400,0
2008-08-14,7.26,7.5,7.2,7.32,28800,0
2008-08-15,7.44,7.5,7.2,7.26,11900,0
2008-08-18,7.38,7.5,7.26,7.26,8200,0
2008-08-19,7.38,7.44,7.2,7.26,20300,0
2008-08-20,7.26,7.38,6.78,7.08,39100,0
2008-08-21,7.14,7.2,7.02,7.02,12800,0
2008-08-22,7.02,7.08,6.96,7.02,10300,0
2008-08-25,6.84,7.02,6.72,6.78,46400,0
2008-08-26,6.9,7.02,6.6,6.66,53700,0
2008-08-27,6.78,6.84,6.6,6.84,21400,0
2008-08-28,6.72,7.08,6.66,7.08,27700,0
2008-08-29,6.9,7.02,6.72,6.72,18700,0
2008-09-02,6.96,6.96,6.66,6.72,39100,0
2008-09-03,6.72,6.9,6.6,6.9,26200,0
2008-09-04,6.78,7.08,6.66,7.02,33800,0
2008-09-05,7.02,7.08,6.84,6.9,32500,0
2008-09-08,6.9,7.14,6.9,7.14,21500,0
2008-09-09,7.02,7.02,6.72,6.96,49000,0
2008-09-10,6.9,7.14,6.72,6.9,30000,0
2008-09-11,6.9,6.9,6.6,6.78,19800,0
2008-09-12,6.72,6.84,6.66,6.78,16100,0
2008-09-15,6.84,6.84,6.42,6.54,27300,0
2008-09-16,6.36,6.78,6.3,6.6,44800,0
2008-09-17,6.54,6.66,5.58,5.88,52500,0
2008-09-18,5.7,6.0,5.16,5.76,50200,0
2008-09-19,5.88,6.3,5.7,6.18,46400,0
2008-09-22,5.94,6.12,5.76,6.0,13900,0
2008-09-23,6.0,6.48,5.94,6.3,24300,0
2008-09-24,6.12,6.54,6.0,6.18,17400,0
2008-09-25,6.0,6.96,6.0,6.72,67100,0
2008-09-26,6.9,7.14,6.6,6.9,48700,0
2008-09-29,6.42,7.86,6.3,7.14,92600,0
2008-09-30,7.14,7.26,6.84,7.26,40200,0
2008-10-01,7.02,7.2,6.24,6.6,46400,0
2008-10-02,6.36,6.6,6.12,6.3,32900,0
2008-10-03,6.3,6.6,6.18,6.36,26500,0
2008-10-06,6.0,6.12,5.46,5.88,74300,0
2008-10-07,5.52,6.0,5.52,5.52,23600,0
2008-10-08,5.52,5.82,5.4,5.46,36500,0
2008-10-09,5.46,5.76,5.34,5.52,26900,0
2008-10-10,4.98,5.4,4.92,5.4,71100,0
2008-10-13,5.34,6.3,5.34,6.12,35600,0
2008-10-14,5.94,6.9,5.94,6.66,36500,0
2008-10-15,6.66,6.66,5.94,6.54,19000,0
2008-10-16,6.3,6.54,6.0,6.18,12700,0
2008-10-17,5.82,6.36,5.52,6.06,9300,0
2008-10-20,5.76,6.06,5.76,6.0,16600,0
2008-10-21,5.58,6.06,4.5,5.16,57400,0
2008-10-22,5.16,5.22,4.62,4.98,38500,0
2008-10-23,4.74,4.98,3.0,4.32,58300,0
2008-10-24,4.32,4.44,3.84,4.32,27800,0
2008-10-27,4.32,4.32,3.72,3.9,25500,0
2008-10-28,3.96,4.02,3.72,3.72,22100,0
2008-10-29,3.66,5.52,3.6,4.98,35400,0
2008-10-30,5.1,5.46,5.04,5.1,19400,0
2008-10-31,4.8,5.28,4.8,5.16,16200,0
2008-11-03,4.92,6.18,4.92,6.06,51300,0
2008-11-04,6.06,6.54,6.06,6.24,30400,0
2008-11-05,6.24,6.24,5.94,6.0,14300,0
2008-11-06,5.76,6.3,5.46,5.64,13300,0
2008-11-07,5.76,6.24,5.64,5.7,18500,0
2008-11-10,6.0,6.24,5.7,6.24,24100,0
2008-11-11,6.3,6.3,5.28,5.52,17900,0
2008-11-12,5.64,5.64,5.1,5.22,10500,0
2008-11-13,5.04,5.22,2.94,4.8,31200,0
2008-11-14,4.44,4.68,4.32,4.56,8800,0
2008-11-17,4.2,4.5,3.9,4.14,19900,0
2008-11-18,4.32,4.32,3.9,4.08,15500,0
2008-11-19,4.14,4.2,3.78,3.84,14800,0
2008-11-20,4.14,4.14,3.48,3.48,47000,0
2008-11-21,3.48,3.72,2.7,3.12,56400,0
2008-11-24,3.54,4.08,3.0,3.36,31600,0
2008-11-25,3.42,3.54,3.06,3.24,22800,0
2008-11-26,3.3,3.84,3.3,3.66,35800,0
2008-11-28,3.48,3.96,3.48,3.9,7700,0
2008-12-01,3.9,3.9,3.42,3.9,13200,0
2008-12-02,4.08,4.08,3.54,3.6,9300,0
2008-12-03,3.54,3.9,3.54,3.6,12200,0
