Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,119.07,119.79,115.42,115.47,255800,0
2008-01-03,115.69,115.85,114.04,114.84,261800,0
2008-01-04,114.44,115.37,114.2,114.22,352800,0
2008-01-07,114.7,116.73,114.7,115.29,222000,0
2008-01-08,115.63,115.77,112.12,112.28,317900,0
2008-01-09,112.33,112.33,110.15,111.93,498200,0
2008-01-10,110.92,112.15,109.96,111.72,243300,0
2008-01-11,110.92,111.46,109.91,110.34,293400,0
2008-01-14,110.71,112.33,110.58,112.01,519000,0
2008-01-15,111.0,112.07,110.82,111.4,500200,0
2008-01-16,111.27,112.09,109.94,110.6,450100,0
2008-01-17,110.92,111.4,106.85,107.44,635700,0
2008-01-18,107.83,108.26,103.5,105.47,709000,0
2008-01-22,101.05,104.19,98.78,103.58,845500,0
2008-01-23,98.76,105.01,98.76,104.03,985300,0
2008-01-24,104.16,105.94,103.55,105.63,669000,0
2008-01-25,106.4,106.4,103.04,104.11,465900,0
2008-01-28,104.16,106.69,103.63,106.69,344700,0
2008-01-29,107.81,108.79,107.54,108.39,399300,0
2008-01-30,107.97,110.04,107.89,109.14,409300,0
2008-01-31,98.76,108.9,94.79,108.39,854900,0
2008-02-01,108.42,110.95,108.42,110.71,396000,0
2008-02-04,110.9,111.61,110.23,111.4,362300,0
2008-02-05,109.94,111.43,109.62,110.47,431200,0
2008-02-06,110.79,112.2,110.71,111.14,455300,0
2008-02-07,111.11,112.23,110.68,111.56,477400,0
2008-02-08,111.27,112.25,110.74,112.01,325300,0
2008-02-11,111.8,112.87,110.82,112.07,353100,0
2008-02-12,112.07,112.76,111.48,112.04,210500,0
2008-02-13,112.31,114.78,112.31,113.48,361900,0
2008-02-14,113.69,114.17,112.04,112.63,300300,0
2008-02-15,112.65,113.8,110.98,113.69,184400,0
2008-02-19,114.57,114.78,113.0,113.61,228800,0
2008-02-20,113.16,115.21,112.63,115.16,205700,0
2008-02-21,115.16,115.77,113.08,113.45,335100,0
2008-02-22,113.93,114.25,110.74,113.05,326800,0
2008-02-25,113.37,114.57,112.47,114.41,180800,0
2008-02-26,114.65,116.59,114.06,116.17,292100,0
2008-02-27,115.21,115.58,114.46,115.39,305200,0
2008-02-28,114.65,116.62,114.06,114.46,407000,0
2008-02-29,113.45,113.88,111.03,111.19,319500,0
2008-03-03,110.74,112.76,110.28,112.55,327700,0
2008-03-04,111.72,113.0,111.3,112.92,423400,0
2008-03-05,113.64,114.94,113.05,114.46,425700,0
2008-03-06,113.69,114.41,111.35,111.35,346800,0
2008-03-07,110.92,111.22,110.07,110.52,314400,0
2008-03-10,110.44,111.16,108.55,108.82,292200,0
2008-03-11,110.95,110.95,107.99,109.78,458000,0
2008-03-12,110.71,112.71,109.57,111.91,450800,0
2008-03-13,111.14,111.75,109.96,111.43,633400,0
2008-03-14,111.72,112.28,109.43,111.11,468500,0
2008-03-17,109.46,111.11,108.95,109.94,410000,0
2008-03-18,111.46,114.36,111.08,114.25,344700,0
2008-03-19,115.29,116.01,112.79,112.92,371300,0
2008-03-20,111.64,112.92,111.27,112.07,391300,0
2008-03-24,112.52,114.04,112.33,113.9,401100,0
2008-03-25,113.77,114.81,113.29,114.46,254700,0
2008-03-26,114.09,114.2,111.54,112.28,330300,0
2008-03-27,112.28,113.45,111.61,111.61,157200,0
2008-03-28,112.04,112.84,109.38,109.75,224300,0
2008-03-31,110.44,111.91,108.93,111.83,375200,0
2008-04-01,112.36,114.22,112.01,113.13,491700,0
2008-04-02,113.35,114.65,112.44,114.04,286700,0
2008-04-03,113.96,114.49,112.71,114.2,245600,0
2008-04-04,114.38,114.73,113.29,114.2,214800,0
2008-04-07,114.76,114.76,113.72,114.09,168600,0
2008-04-08,113.69,113.72,112.41,112.81,199800,0
2008-04-09,112.39,113.03,111.14,111.32,146400,0
2008-04-10,111.75,112.33,111.38,111.99,213200,0
2008-04-11,111.35,111.54,110.1,110.26,240700,0
2008-04-14,110.02,110.68,109.75,110.23,225600,0
2008-04-15,110.98,111.24,108.9,109.67,196900,0
2008-04-16,110.15,112.95,110.15,112.92,229600,0
2008-04-17,113.05,114.49,113.05,113.93,290700,0
2008-04-18,114.78,118.4,114.78,117.23,416900,0
2008-04-21,116.75,117.44,115.98,117.28,154300,0
2008-04-22,117.26,117.34,114.68,115.26,277900,0
2008-04-23,115.58,117.36,115.16,116.57,457300,0
2008-04-24,116.11,119.63,114.33,118.54,578300,0
2008-04-25,118.86,118.86,117.05,118.32,268600,0
2008-04-28,118.16,119.28,118.16,118.67,220800,0
2008-04-29,118.67,120.24,118.56,120.0,349700,0
2008-04-30,120.75,121.28,119.47,119.55,455600,0
2008-05-01,119.79,123.14,119.07,123.14,386600,0
2008-05-02,124.1,124.1,120.8,122.1,244700,0
2008-05-05,122.16,122.18,120.13,120.98,340100,0
2008-05-06,120.8,123.03,119.92,123.01,286000,0
2008-05-07,122.87,123.89,121.46,121.94,269700,0
2008-05-08,122.34,124.58,121.78,124.5,351200,0
2008-05-09,124.79,124.79,122.29,123.41,375500,0
2008-05-12,123.41,125.86,123.11,125.78,332200,0
2008-05-13,126.36,126.36,125.3,126.04,170900,0
2008-05-14,125.99,126.44,125.32,125.67,329300,0
2008-05-15,125.78,127.03,124.61,126.89,202300,0
2008-05-16,126.65,126.65,125.08,126.23,229200,0
2008-05-19,126.04,126.92,125.4,126.28,180900,0
2008-05-20,126.28,126.28,124.95,125.14,259000,0
2008-05-21,125.7,126.04,124.13,124.58,306100,0
2008-05-22,127.48,129.29,125.7,128.31,633500,0
2008-05-23,131.13,131.13,128.68,129.16,554900,0
2008-05-27,128.76,130.06,127.77,129.58,298900,0
2008-05-28,129.61,130.04,126.07,126.97,650200,0
2008-05-29,126.36,127.91,124.84,125.38,756400,0
2008-05-30,126.2,126.2,125.06,125.38,633100,0
2008-06-02,125.06,126.6,124.37,125.24,583400,0
2008-06-03,124.71,125.11,122.93,124.63,604000,0
2008-06-04,123.11,124.5,121.84,123.27,894300,0
2008-06-05,123.62,124.37,122.95,123.86,347600,0
2008-06-06,122.21,124.18,121.6,122.98,700200,0
2008-06-09,122.98,124.21,121.84,123.89,597100,0
2008-06-10,122.85,125.48,122.45,125.06,506900,0
2008-06-11,124.45,124.45,122.1,122.1,307900,0
2008-06-12,121.81,123.43,121.01,122.74,453800,0
2008-06-13,123.03,124.34,122.64,123.75,197900,0
2008-06-16,123.43,123.99,122.74,123.65,180700,0
2008-06-17,124.15,124.53,122.85,123.14,289400,0
2008-06-18,123.11,123.3,120.13,120.19,615600,0
2008-06-19,120.19,120.91,118.64,119.07,486500,0
2008-06-20,118.51,119.07,117.1,117.76,454900,0
2008-06-23,119.02,119.02,117.52,117.79,254300,0
2008-06-24,117.13,117.79,116.19,116.43,285800,0
2008-06-25,117.1,118.27,116.59,116.67,767000,0
2008-06-26,115.79,116.01,113.8,113.9,459300,0
2008-06-27,113.8,114.46,111.32,111.54,521000,0
2008-06-30,111.54,111.99,110.2,110.58,1249600,0
2008-07-01,8.49,8.81,7.19,8.01,5246400,0
2008-07-02,7.85,8.31,7.51,7.88,3453700,0
2008-07-03,7.88,8.01,7.67,7.8,2625900,0
2008-07-07,7.93,8.44,7.69,8.2,3240900,0
2008-07-08,8.07,9.34,8.01,8.84,2968700,0
2008-07-09,8.84,9.45,8.65,8.65,1219400,0
2008-07-10,8.7,9.02,8.46,8.54,1379000,0
2008-07-11,8.25,8.68,7.53,8.54,1362100,0
2008-07-14,8.65,9.5,8.49,9.02,1684200,0
2008-07-15,9.0,9.1,8.46,8.52,372800,0
2008-07-16,7.77,8.44,7.56,8.26,3513300,0
2008-07-17,8.23,8.39,7.6,7.73,3855700,0
2008-07-18,7.76,7.84,7.68,7.81,1976500,0
2008-07-21,7.9,7.94,7.61,7.62,1390500,0
2008-07-22,7.67,7.89,7.57,7.85,1756700,0
2008-07-23,7.91,8.23,7.76,8.16,2121500,0
2008-07-24,8.45,8.45,7.42,7.55,2270200,0
2008-07-25,6.71,7.54,6.36,6.62,4148600,0
2008-07-28,6.72,7.22,6.46,6.51,2390000,0
2008-07-29,6.51,6.53,6.18,6.21,2222600,0
2008-07-30,6.21,6.38,6.06,6.18,1565900,0
2008-07-31,6.18,6.26,6.1,6.14,1386200,0
2008-08-01,6.03,6.17,5.85,5.85,2157200,0
2008-08-04,5.98,5.98,5.49,5.82,2306700,0
2008-08-05,5.73,6.12,5.73,6.09,1122300,0
2008-08-06,6.02,6.03,5.8,5.94,1504000,0
2008-08-07,5.92,6.06,5.79,5.88,862200,0
2008-08-08,5.86,6.12,5.79,6.1,788100,0
2008-08-11,6.06,6.26,6.06,6.11,1329300,0
2008-08-12,6.27,6.65,6.07,6.24,1130800,0
2008-08-13,6.18,6.45,6.15,6.2,1503000,0
2008-08-14,6.19,6.41,6.11,6.38,1528200,0
2008-08-15,6.43,6.54,6.35,6.43,658400,0
2008-08-18,6.47,6.5,6.26,6.32,1068600,0
2008-08-19,6.29,6.3,6.19,6.27,1643400,0
2008-08-20,6.25,6.33,6.14,6.18,1704100,0
2008-08-21,6.14,6.24,6.14,6.23,572600,0
2008-08-22,6.33,6.39,6.28,6.34,536600,0
2008-08-25,6.26,6.49,6.23,6.44,706600,0
2008-08-26,6.39,6.42,6.26,6.34,944100,0
2008-08-27,6.27,6.45,6.18,6.41,781600,0
2008-08-28,6.47,6.62,6.39,6.57,491000,0
2008-08-29,6.57,6.57,6.44,6.45,490000,0
2008-09-02,6.55,6.57,5.85,6.07,1799400,0
2008-09-03,6.01,6.16,5.94,6.01,3538300,0
2008-09-04,6.01,6.22,6.01,6.11,1061500,0
2008-09-05,6.18,6.41,5.96,6.11,1080600,0
2008-09-08,6.26,6.46,6.15,6.42,672700,0
2008-09-09,6.41,6.95,6.4,6.53,992800,0
2008-09-10,6.56,6.56,6.34,6.42,809700,0
2008-09-11,6.36,6.63,6.23,6.62,665800,0
2008-09-12,6.56,6.61,6.42,6.42,407500,0
2008-09-15,6.24,6.34,6.14,6.22,490900,0
2008-09-16,6.1,6.24,5.97,6.24,723100,0
2008-09-17,6.15,6.69,6.12,6.34,928600,0
2008-09-18,6.39,6.5,6.1,6.42,1026900,0
2008-09-19,6.55,7.09,6.34,6.46,1152200,0
2008-09-22,6.62,6.77,6.41,6.54,863300,0
2008-09-23,6.38,6.72,6.26,6.26,652400,0
2008-09-24,6.25,6.31,6.16,6.24,539200,0
2008-09-25,6.28,6.91,6.26,6.75,491600,0
2008-09-26,6.7,6.73,6.57,6.64,267800,0
2008-09-29,6.53,6.61,6.31,6.61,595800,0
2008-09-30,6.7,6.7,6.17,6.27,1072600,0
2008-10-01,6.2,6.33,6.1,6.29,571300,0
2008-10-02,6.29,6.65,6.18,6.42,1007100,0
2008-10-03,6.47,6.56,6.14,6.14,836200,0
2008-10-06,6.08,6.17,5.87,6.08,1003800,0
2008-10-07,6.03,6.2,5.2,5.4,1102000,0
2008-10-08,5.24,5.44,4.99,5.09,487800,0
2008-10-09,5.08,5.1,4.33,4.34,994600,0
2008-10-10,4.4,4.46,3.81,4.29,1562500,0
2008-10-13,4.46,4.51,4.04,4.36,213200,0
2008-10-14,4.69,4.76,4.32,4.37,744000,0
2008-10-15,4.11,4.52,4.01,4.39,1020000,0
2008-10-16,4.45,4.45,4.03,4.17,654800,0
2008-10-17,4.13,4.34,4.08,4.31,352300,0
2008-10-20,4.33,4.46,4.25,4.45,475700,0
2008-10-21,4.37,4.43,4.29,4.3,548100,0
2008-10-22,4.19,4.45,4.14,4.21,396000,0
2008-10-23,4.21,4.32,4.09,4.09,676500,0
2008-10-24,3.83,3.95,3.75,3.86,500800,0
2008-10-27,3.82,3.92,3.78,3.85,561400,0
2008-10-28,3.93,4.18,3.83,4.17,455800,0
2008-10-29,4.17,4.5,4.0,4.04,1197400,0
2008-10-30,4.13,4.17,3.9,3.98,925800,0
2008-10-31,4.01,4.18,3.98,4.13,1364500,0
2008-11-03,4.13,4.21,4.02,4.08,466800,0
2008-11-04,4.12,4.19,3.9,3.94,550300,0
2008-11-05,3.9,4.42,3.7,4.23,1998300,0
2008-11-06,4.28,4.28,3.66,3.66,378700,0
2008-11-07,3.45,3.55,3.27,3.38,901700,0
2008-11-10,3.47,3.5,3.12,3.19,587700,0
2008-11-11,3.22,3.22,2.91,3.03,396500,0
2008-11-12,3.03,3.28,2.78,2.94,1247300,0
2008-11-13,2.95,2.95,2.71,2.82,971500,0
2008-11-14,2.79,2.99,2.66,2.87,854200,0
2008-11-17,2.85,3.03,2.64,2.73,586500,0
2008-11-18,2.76,2.99,2.71,2.99,950800,0
2008-11-19,2.92,2.99,2.73,2.82,424800,0
2008-11-20,2.74,2.83,2.57,2.63,678900,0
2008-11-21,2.72,2.73,2.14,2.39,622800,0
2008-11-24,2.4,2.98,2.32,2.69,524400,0
2008-11-25,2.77,2.8,2.24,2.56,456100,0
2008-11-26,2.46,2.63,2.41,2.56,170300,0
2008-11-28,2.56,2.64,2.55,2.6,57900,0
2008-12-01,2.5,2.63,2.14,2.16,484200,0
2008-12-02,2.16,2.26,1.93,1.93,466700,0
2008-12-03,1.97,2.21,1.93,2.07,630700,0
2008-12-04,2.04,2.12,1.97,2.06,685400,0
2008-12-05,2.01,2.13,1.94,1.95,460400,0
2008-12-08,2.07,2.11,2.0,2.06,486200,0
2008-12-09,2.06,2.2,2.06,2.1,694700,0
2008-12-10,2.1,2.15,1.85,1.85,499100,0
2008-12-11,1.9,2.0,1.85,1.88,493300,0
2008-12-12,1.77,1.79,1.63,1.63,577200,0
2008-12-15,1.63,1.7,1.48,1.49,919700,0
2008-12-16,1.55,1.71,1.48,1.54,489500,0
2008-12-17,1.54,1.66,1.54,1.58,550500,0
2008-12-18,1.57,1.74,1.46,1.46,363700,0
2008-12-19,1.5,2.06,1.49,2.01,1781900,0
2008-12-22,2.0,2.02,1.65,1.67,484400,0
2008-12-23,1.64,1.67,1.6,1.61,301000,0
2008-12-24,1.61,1.79,1.61,1.7,97600,0
2008-12-26,1.74,1.8,1.65,1.72,149300,0
2008-12-29,1.77,1.81,1.49,1.54,405800,0
2008-12-30,1.56,1.8,1.54,1.8,359200,0
2008-12-31,1.78,1.96,1.75,1.96,463000,0
2009-01-02,1.99,2.15,1.83,2.08,528600,0
2009-01-05,2.01,2.09,1.82,1.86,587300,0
2009-01-06,1.91,2.02,1.86,2.02,497600,0
2009-01-07,1.99,2.05,1.86,1.93,287000,0
2009-01-08,1.92,1.96,1.85,1.89,358200,0
2009-01-09,1.92,1.92,1.81,1.81,156200,0
2009-01-12,1.85,1.85,1.67,1.68,363500,0
2009-01-13,1.66,1.78,1.66,1.76,553600,0
2009-01-14,1.77,1.79,1.7,1.77,297800,0
2009-01-15,1.77,1.81,1.71,1.77,281500,0
2009-01-16,1.77,1.92,1.73,1.78,607600,0
2009-01-20,1.77,1.87,1.76,1.78,982700,0
2009-01-21,1.8,1.83,1.77,1.77,298100,0
2009-01-22,1.78,1.78,1.59,1.59,130100,0
2009-01-23,1.57,1.64,1.5,1.54,309700,0
2009-01-26,1.54,1.77,1.54,1.76,202200,0
2009-01-27,1.73,1.75,1.42,1.6,332000,0
2009-01-28,1.56,1.64,1.54,1.6,308600,0
2009-01-29,1.55,1.6,1.41,1.57,300600,0
2009-01-30,1.57,1.59,1.38,1.43,291300,0
2009-02-02,1.36,1.55,1.33,1.38,380400,0
2009-02-03,1.39,1.54,1.37,1.53,404800,0
2009-02-04,1.58,1.58,1.38,1.39,278500,0
2009-02-05,1.38,1.41,1.32,1.32,390100,0
2009-02-06,1.38,1.44,1.36,1.44,322700,0
2009-02-09,1.45,1.61,1.44,1.54,208000,0
2009-02-10,1.52,1.59,1.46,1.52,318800,0
2009-02-11,1.51,1.53,1.32,1.41,265700,0
2009-02-12,1.35,1.48,1.35,1.48,198400,0
2009-02-13,1.46,1.48,1.39,1.39,109200,0
2009-02-17,1.38,1.43,1.38,1.39,143000,0
2009-02-18,1.41,1.41,1.32,1.33,181800,0
2009-02-19,1.24,1.38,1.24,1.25,326900,0
2009-02-20,1.28,1.28,1.21,1.24,248800,0
2009-02-23,1.25,1.28,1.17,1.18,383600,0
2009-02-24,1.17,1.2,1.04,1.05,627300,0
2009-02-25,1.06,1.06,1.0,1.05,333900,0
2009-02-26,1.04,1.11,0.94,0.98,480700,0
2009-02-27,0.98,1.05,0.93,1.01,370600,0
2009-03-02,1.0,1.0,0.87,0.88,323900,0
2009-03-03,0.94,0.97,0.87,0.91,452000,0
2009-03-04,0.9,0.95,0.83,0.83,199700,0
2009-03-05,0.8,0.83,0.76,0.76,170200,0
2009-03-06,0.77,0.83,0.67,0.7,231800,0
2009-03-09,0.67,0.69,0.64,0.64,93900,0
2009-03-10,0.62,0.76,0.59,0.75,299900,0
2009-03-11,0.75,0.81,0.74,0.74,145200,0
2009-03-12,0.75,1.06,0.75,1.06,709000,0
2009-03-13,1.14,1.21,1.09,1.21,2326500,0
2009-03-16,1.24,1.27,1.15,1.27,846200,0
2009-03-17,1.26,1.33,1.23,1.33,399500,0
2009-03-18,1.34,1.71,1.33,1.71,711600,0
2009-03-19,1.78,1.78,1.26,1.39,1492100,0
2009-03-20,1.42,1.5,1.19,1.5,968900,0
2009-03-23,1.51,1.61,1.46,1.61,553900,0
2009-03-24,1.66,1.7,1.54,1.56,239400,0
2009-03-25,1.61,1.67,1.41,1.43,632700,0
2009-03-26,1.43,1.54,1.38,1.5,353300,0
2009-03-27,1.49,1.49,1.39,1.48,318000,0
2009-03-30,1.47,1.47,1.05,1.06,558300,0
2009-03-31,1.06,1.3,1.06,1.2,803200,0
2009-04-01,1.18,1.54,1.18,1.52,378200,0
2009-04-02,1.55,1.66,1.54,1.66,401700,0
2009-04-03,1.69,1.69,1.52,1.55,337400,0
2009-04-06,1.55,1.67,1.5,1.56,423900,0
2009-04-07,1.6,1.64,1.57,1.64,351200,0
2009-04-08,1.53,1.53,1.33,1.42,814600,0
2009-04-09,1.47,2.01,1.46,1.85,956500,0
2009-04-13,1.85,1.85,1.64,1.64,244700,0
2009-04-14,1.59,1.75,1.59,1.68,301800,0
2009-04-15,1.64,1.7,1.54,1.7,227400,0
2009-04-16,1.77,1.77,1.66,1.76,178500,0
2009-04-17,1.74,1.81,1.7,1.71,311800,0
2009-04-20,1.7,1.7,1.44,1.45,258400,0
2009-04-21,1.42,1.62,1.42,1.57,323800,0
2009-04-22,1.55,1.69,1.55,1.68,324700,0
2009-04-23,1.69,1.69,1.53,1.54,373800,0
2009-04-24,1.52,1.67,1.52,1.52,169700,0
2009-04-27,1.49,1.58,1.45,1.45,132600,0
2009-04-28,1.38,1.45,1.35,1.42,204200,0
2009-04-29,1.42,1.85,1.42,1.81,328000,0
2009-04-30,1.81,1.85,1.73,1.75,429300,0
2009-05-01,1.79,1.88,1.61,1.88,294800,0
2009-05-04,1.74,1.79,1.64,1.68,457700,0
2009-05-05,1.68,1.73,1.51,1.55,927000,0
