Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,12.13,12.25,11.84,11.92,121800,0
2008-01-03,11.93,12.3,11.86,12.06,117900,0
2008-01-04,11.88,12.15,11.85,11.96,152500,0
2008-01-07,11.99,12.1,11.74,11.87,165700,0
2008-01-08,11.75,11.99,11.4,11.42,167100,0
2008-01-09,11.37,11.49,11.19,11.33,110000,0
2008-01-10,11.18,11.37,11.12,11.25,208700,0
2008-01-11,11.14,11.47,10.74,10.77,167900,0
2008-01-14,10.84,11.05,10.75,10.94,144900,0
2008-01-15,10.78,10.93,10.34,10.6,145500,0
2008-01-16,10.53,11.0,10.5,10.85,98300,0
2008-01-17,10.85,10.93,10.27,10.27,117300,0
2008-01-18,10.26,10.58,10.01,10.07,162500,0
2008-01-22,8.96,10.59,8.47,10.4,182000,0
2008-01-23,10.2,10.77,10.06,10.56,116000,0
2008-01-24,10.57,10.76,10.0,10.13,173900,0
2008-01-25,10.24,10.45,10.0,10.06,94300,0
2008-01-28,10.03,10.52,10.0,10.35,57800,0
2008-01-29,10.41,10.67,10.24,10.56,84000,0
2008-01-30,10.51,10.98,10.41,10.42,202000,0
2008-01-31,10.29,10.75,10.29,10.56,96400,0
2008-02-01,10.61,10.86,10.43,10.83,58800,0
2008-02-04,10.83,10.94,10.78,10.9,95700,0
2008-02-05,10.72,10.98,10.72,10.75,97600,0
2008-02-06,10.79,10.83,10.34,10.35,81000,0
2008-02-07,10.27,10.79,10.27,10.75,71500,0
2008-02-08,10.55,10.76,10.2,10.21,81400,0
2008-02-11,10.23,10.55,10.04,10.08,119400,0
2008-02-12,10.11,10.33,9.93,10.0,174000,0
2008-02-13,10.18,11.07,10.18,11.02,263200,0
2008-02-14,9.86,11.42,9.78,9.78,555100,0
2008-02-15,9.68,9.76,9.01,9.27,270200,0
2008-02-19,9.37,9.71,9.37,9.44,122400,0
2008-02-20,9.4,9.69,9.2,9.29,105100,0
2008-02-21,9.37,9.38,8.99,9.03,159500,0
2008-02-22,9.06,9.12,8.55,8.64,142800,0
2008-02-25,8.58,8.82,8.5,8.82,127000,0
2008-02-26,8.78,8.85,8.5,8.61,303900,0
2008-02-27,8.61,8.83,8.6,8.61,79400,0
2008-02-28,8.6,9.11,8.6,9.04,176700,0
2008-02-29,9.11,9.26,8.8,8.85,308700,0
2008-03-03,8.84,9.18,8.75,8.77,122400,0
2008-03-04,8.98,9.4,8.94,9.29,427700,0
2008-03-05,9.4,9.58,9.02,9.48,220200,0
2008-03-06,9.41,9.58,9.21,9.21,158600,0
2008-03-07,9.16,9.38,8.95,8.96,418600,0
2008-03-10,8.97,9.44,8.97,9.06,198900,0
2008-03-11,9.29,9.58,9.14,9.49,173600,0
2008-03-12,9.51,9.75,9.32,9.53,117300,0
2008-03-13,9.4,9.88,9.05,9.78,131100,0
2008-03-14,9.84,9.84,9.39,9.69,98400,0
2008-03-17,9.47,9.62,9.3,9.34,113100,0
2008-03-18,9.6,9.95,9.36,9.94,135600,0
2008-03-19,9.99,10.07,9.52,9.77,94600,0
2008-03-20,9.92,10.08,9.63,9.88,282400,0
2008-03-24,9.94,10.52,9.82,10.43,115300,0
2008-03-25,10.46,10.54,10.31,10.51,152800,0
2008-03-26,10.41,10.5,10.2,10.42,66000,0
2008-03-27,10.38,10.41,10.0,10.0,228100,0
2008-03-28,10.01,10.21,9.96,10.09,202300,0
2008-03-31,10.06,10.49,10.03,10.26,90000,0
2008-04-01,10.45,10.87,10.45,10.84,83900,0
2008-04-02,10.81,10.99,10.69,10.89,100700,0
2008-04-03,10.8,10.99,10.69,10.87,127800,0
2008-04-04,10.79,11.0,10.76,10.96,93700,0
2008-04-07,11.01,11.1,10.61,10.78,73700,0
2008-04-08,10.72,11.04,10.53,11.02,76900,0
2008-04-09,11.01,11.13,10.76,10.85,76600,0
2008-04-10,10.8,11.01,10.8,10.94,57800,0
2008-04-11,10.79,10.94,10.5,10.52,110900,0
2008-04-14,10.53,10.62,10.35,10.37,63500,0
2008-04-15,10.46,10.57,10.35,10.48,110200,0
2008-04-16,10.58,10.63,10.45,10.62,118400,0
2008-04-17,10.56,10.9,10.46,10.84,50100,0
2008-04-18,10.98,10.98,10.55,10.8,162100,0
2008-04-21,10.69,10.92,10.5,10.8,73000,0
2008-04-22,10.74,10.87,10.54,10.62,97500,0
2008-04-23,10.65,10.95,10.55,10.88,119300,0
2008-04-24,12.04,12.97,11.98,12.76,453800,0
2008-04-25,11.95,13.3,11.95,13.22,172100,0
2008-04-28,13.26,13.67,13.0,13.5,158400,0
2008-04-29,13.52,13.72,13.42,13.65,131000,0
2008-04-30,13.64,13.98,13.54,13.71,186000,0
2008-05-01,13.72,14.38,13.67,13.95,169900,0
2008-05-02,14.13,14.28,13.93,13.94,153100,0
2008-05-05,13.85,14.16,13.67,13.8,123700,0
2008-05-06,13.74,13.89,13.6,13.6,147000,0
2008-05-07,13.7,14.11,13.3,13.35,103900,0
2008-05-08,13.34,13.52,13.12,13.33,107200,0
2008-05-09,13.17,13.59,13.17,13.46,122300,0
2008-05-12,13.51,13.89,13.48,13.7,137600,0
2008-05-13,13.75,14.0,13.54,13.81,125300,0
2008-05-14,13.86,14.08,13.6,13.6,105300,0
2008-05-15,13.62,13.98,13.37,13.91,122100,0
2008-05-16,14.0,14.0,13.4,13.91,151100,0
2008-05-19,13.88,14.03,13.65,13.82,99900,0
2008-05-20,13.79,13.86,13.63,13.85,96300,0
2008-05-21,13.85,13.85,13.19,13.38,128700,0
2008-05-22,13.39,13.69,13.31,13.48,115800,0
2008-05-23,13.39,13.69,13.36,13.49,67000,0
2008-05-27,13.53,15.0,13.45,14.64,350200,0
2008-05-28,14.64,14.7,14.04,14.37,212800,0
2008-05-29,14.34,14.54,14.07,14.37,215600,0
2008-05-30,14.43,14.65,14.32,14.6,253900,0
2008-06-02,14.54,14.83,13.7,14.3,250300,0
2008-06-03,14.32,14.66,14.06,14.34,177500,0
2008-06-04,14.31,15.23,14.28,15.22,154700,0
2008-06-05,15.23,15.82,15.17,15.72,174500,0
2008-06-06,15.62,15.62,14.79,14.79,164200,0
2008-06-09,14.8,15.02,14.6,14.7,124000,0
2008-06-10,14.48,14.48,14.11,14.32,170800,0
2008-06-11,14.24,14.44,13.9,13.99,168200,0
2008-06-12,14.17,14.29,13.7,13.73,83400,0
2008-06-13,13.9,14.07,13.53,13.77,117800,0
2008-06-16,13.74,14.13,13.41,14.13,93600,0
2008-06-17,14.17,14.17,13.77,13.95,71600,0
2008-06-18,13.89,14.22,13.74,13.8,115900,0
2008-06-19,13.79,13.79,13.38,13.61,75100,0
2008-06-20,13.57,13.87,13.49,13.84,228300,0
2008-06-23,13.86,13.86,13.34,13.39,88600,0
2008-06-24,13.33,13.33,12.8,12.84,82600,0
2008-06-25,12.78,13.27,12.78,13.09,113900,0
2008-06-26,12.81,12.91,12.59,12.67,198500,0
2008-06-27,12.68,13.18,12.68,12.86,364000,0
2008-06-30,12.81,13.17,12.48,12.48,155400,0
2008-07-01,12.36,12.66,12.23,12.39,136400,0
2008-07-02,12.35,12.56,12.0,12.05,186300,0
2008-07-03,12.13,12.56,12.07,12.32,46600,0
2008-07-07,12.39,12.68,11.94,11.95,130200,0
2008-07-08,12.0,12.89,11.93,12.63,320700,0
2008-07-09,12.66,13.61,12.66,12.96,198000,0
2008-07-10,12.98,13.29,12.8,13.08,200400,0
2008-07-11,12.94,13.32,12.42,12.7,256700,0
2008-07-14,12.83,12.98,12.23,12.48,172000,0
2008-07-15,12.29,12.7,11.88,11.99,289500,0
2008-07-16,12.13,13.18,12.13,13.14,209200,0
2008-07-17,13.1,13.3,12.65,13.02,108100,0
2008-07-18,12.96,13.32,12.65,12.9,107300,0
2008-07-21,12.9,13.38,12.73,13.31,125400,0
2008-07-22,12.86,13.69,12.8,13.43,127800,0
2008-07-23,13.16,13.87,13.16,13.86,302700,0
2008-07-24,13.94,14.01,13.56,13.71,367100,0
2008-07-25,13.89,13.89,13.1,13.42,222000,0
2008-07-28,13.31,14.12,13.26,13.49,183600,0
2008-07-29,13.52,13.81,13.4,13.43,145100,0
2008-07-30,13.53,13.83,13.23,13.47,141900,0
2008-07-31,13.36,13.97,13.36,13.61,166400,0
2008-08-01,13.66,13.91,13.1,13.51,99700,0
2008-08-04,13.46,13.7,13.16,13.47,92600,0
2008-08-05,13.68,13.97,13.58,13.84,109500,0
2008-08-06,13.78,14.01,13.6,13.89,132900,0
2008-08-07,13.81,14.03,13.71,13.72,138400,0
2008-08-08,13.68,14.05,13.27,13.79,156800,0
2008-08-11,13.8,14.08,13.73,14.06,118900,0
2008-08-12,13.96,13.96,13.28,13.86,164900,0
2008-08-13,13.87,14.15,13.48,14.04,81200,0
2008-08-14,13.97,14.28,13.79,13.8,81000,0
2008-08-15,13.95,14.0,13.57,13.71,95100,0
2008-08-18,13.7,13.96,13.23,13.64,59300,0
2008-08-19,13.54,13.94,13.54,13.73,86800,0
2008-08-20,13.78,13.98,13.28,13.75,78400,0
2008-08-21,13.63,13.69,13.3,13.51,56200,0
2008-08-22,13.58,14.15,13.49,13.75,62900,0
2008-08-25,13.64,13.74,13.28,13.48,61500,0
2008-08-26,13.46,13.48,13.1,13.24,76200,0
2008-08-27,13.2,13.33,13.13,13.18,122300,0
2008-08-28,13.2,13.68,13.02,13.63,164800,0
2008-08-29,13.57,13.94,13.01,13.73,136100,0
2008-09-02,13.89,13.96,13.08,13.7,128000,0
2008-09-03,13.62,14.43,13.23,13.99,145000,0
2008-09-04,13.83,14.12,13.72,13.72,114000,0
2008-09-05,13.63,14.03,13.52,13.97,103300,0
2008-09-08,14.34,14.51,14.15,14.3,133600,0
2008-09-09,14.27,14.75,13.65,13.65,185200,0
2008-09-10,13.85,14.49,13.61,13.78,162200,0
2008-09-11,13.59,14.36,13.5,13.97,179300,0
2008-09-12,13.82,14.09,13.7,13.74,125100,0
2008-09-15,13.94,14.78,13.32,13.52,209900,0
2008-09-16,13.22,14.47,13.22,14.22,196400,0
2008-09-17,13.99,14.25,12.77,12.77,193100,0
2008-09-18,13.0,13.91,12.37,13.81,247000,0
2008-09-19,15.22,15.22,14.11,14.29,436100,0
2008-09-22,14.05,14.1,12.64,12.95,404500,0
2008-09-23,12.89,13.05,12.03,12.18,188500,0
2008-09-24,12.17,13.19,11.75,11.79,246000,0
2008-09-25,11.76,11.97,11.69,11.85,184500,0
2008-09-26,11.79,12.37,11.71,11.71,151200,0
2008-09-29,11.62,11.89,11.38,11.72,221800,0
2008-09-30,11.85,12.0,11.3,11.67,245700,0
2008-10-01,11.5,11.57,10.82,11.26,255000,0
2008-10-02,11.06,11.42,11.06,11.24,203300,0
2008-10-03,11.42,11.51,11.05,11.13,158000,0
2008-10-06,10.87,11.21,10.59,11.16,318700,0
2008-10-07,11.17,11.28,10.84,11.24,198100,0
2008-10-08,10.98,11.37,10.81,10.98,386900,0
2008-10-09,11.08,11.3,10.5,10.55,364700,0
2008-10-10,10.07,11.37,9.96,11.2,719000,0
2008-10-13,11.43,12.2,11.14,12.18,153600,0
2008-10-14,12.46,12.46,11.49,11.64,149000,0
2008-10-15,11.52,11.74,10.6,10.65,156200,0
2008-10-16,10.73,11.12,10.61,11.02,284400,0
2008-10-17,10.87,10.99,10.34,10.67,325600,0
2008-10-20,10.81,11.02,10.53,10.75,130700,0
2008-10-21,10.55,10.78,10.53,10.75,125300,0
2008-10-22,10.63,10.77,10.26,10.56,157000,0
2008-10-23,10.26,10.75,9.59,9.68,285500,0
2008-10-24,9.5,10.87,9.38,10.32,433000,0
2008-10-27,10.28,10.74,10.21,10.23,254300,0
2008-10-28,10.45,10.55,9.65,10.43,225500,0
2008-10-29,10.39,10.39,9.62,9.65,253300,0
2008-10-30,9.96,9.96,9.38,9.43,214400,0
2008-10-31,9.4,9.95,9.14,9.76,204100,0
2008-11-03,9.8,10.12,9.71,9.71,120900,0
2008-11-04,9.78,9.96,9.64,9.83,102100,0
2008-11-05,9.69,9.78,9.41,9.46,160400,0
2008-11-06,9.4,10.12,9.4,9.55,161500,0
2008-11-07,9.61,9.83,9.47,9.82,134000,0
2008-11-10,9.92,9.92,9.43,9.64,108000,0
2008-11-11,9.5,9.73,9.34,9.35,151300,0
2008-11-12,9.3,9.46,8.93,8.97,132400,0
2008-11-13,8.99,9.23,8.34,9.14,202500,0
2008-11-14,8.99,9.41,8.46,8.54,134300,0
2008-11-17,8.48,8.5,8.14,8.2,183300,0
2008-11-18,8.26,8.47,7.86,8.3,167100,0
2008-11-19,8.27,8.52,7.97,8.03,167000,0
2008-11-20,7.97,8.01,7.56,7.62,134100,0
2008-11-21,7.78,7.84,7.14,7.83,185700,0
2008-11-24,7.96,9.06,7.54,8.77,313900,0
2008-11-25,8.9,8.9,8.32,8.58,168600,0
