Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,261.1,262.22,241.5,241.92,592400,0
2008-01-03,243.11,244.3,237.58,237.65,424900,0
2008-01-04,236.95,241.43,232.54,238.63,444300,0
2008-01-07,241.71,243.88,235.62,240.03,407800,0
2008-01-08,232.75,232.75,197.26,200.27,1795900,0
2008-01-09,200.2,201.74,186.2,191.17,898500,0
2008-01-10,190.33,193.2,182.07,186.55,1073800,0
2008-01-11,185.22,198.31,184.1,193.83,735400,0
2008-01-14,195.44,196.28,187.95,195.79,537100,0
2008-01-15,193.76,198.1,191.52,191.8,412900,0
2008-01-16,191.31,201.04,191.31,195.79,459300,0
2008-01-17,196.77,198.94,195.16,196.0,458300,0
2008-01-18,197.19,200.55,192.29,193.55,423400,0
2008-01-22,185.57,199.92,185.57,194.25,484600,0
2008-01-23,188.93,209.16,188.58,207.9,618200,0
2008-01-24,209.23,209.3,201.88,206.5,564500,0
2008-01-25,208.04,208.04,203.28,204.54,413200,0
2008-01-28,205.17,206.22,200.27,204.12,382400,0
2008-01-29,204.68,209.93,200.76,209.37,568500,0
2008-01-30,208.11,210.0,204.33,205.31,399400,0
2008-01-31,204.54,213.29,201.25,210.21,458100,0
2008-02-01,209.86,216.37,209.86,214.55,285300,0
2008-02-04,215.25,216.02,211.4,212.87,218600,0
2008-02-05,211.12,211.12,203.07,204.54,277400,0
2008-02-06,205.52,206.5,200.97,201.67,275600,0
2008-02-07,202.02,204.82,200.13,204.61,189100,0
2008-02-08,204.26,205.8,201.39,203.42,255600,0
2008-02-11,203.42,205.52,200.2,202.93,170100,0
2008-02-12,203.84,205.8,196.63,198.03,299600,0
2008-02-13,198.73,207.55,198.73,206.08,316700,0
2008-02-14,206.22,206.22,199.99,200.48,317200,0
2008-02-15,200.27,201.88,197.96,200.48,184200,0
2008-02-19,201.18,203.0,197.96,199.36,139500,0
2008-02-20,198.17,202.58,197.4,199.99,377400,0
2008-02-21,199.29,203.63,197.4,198.52,533400,0
2008-02-22,198.94,199.71,193.62,195.58,514700,0
2008-02-25,196.07,196.07,191.03,195.09,308800,0
2008-02-26,193.76,197.89,193.76,197.33,245000,0
2008-02-27,195.79,197.96,190.96,193.62,261900,0
2008-02-28,190.54,192.57,189.28,190.96,376900,0
2008-02-29,189.21,190.82,182.63,183.75,397200,0
2008-03-03,190.61,201.25,189.98,196.63,904100,0
2008-03-04,195.23,203.49,194.25,202.65,566700,0
2008-03-05,201.74,203.35,193.83,197.82,394000,0
2008-03-06,197.26,197.82,193.97,194.81,246900,0
2008-03-07,193.62,199.15,193.62,196.35,334600,0
2008-03-10,197.54,199.15,194.32,194.67,326600,0
2008-03-11,198.73,199.71,192.29,197.33,355400,0
2008-03-12,198.8,199.43,196.28,196.91,229400,0
2008-03-13,194.74,199.08,190.54,196.42,371600,0
2008-03-14,198.24,200.76,191.87,195.58,308700,0
2008-03-17,191.31,196.07,191.31,194.46,227700,0
2008-03-18,196.07,200.41,195.3,197.26,377000,0
2008-03-19,196.49,199.78,194.74,195.44,249300,0
2008-03-20,197.26,201.25,195.65,199.57,296000,0
2008-03-24,200.06,201.11,199.08,200.55,234500,0
2008-03-25,201.04,202.79,197.89,201.81,320800,0
2008-03-26,200.06,203.91,198.52,201.95,205100,0
2008-03-27,203.21,205.31,199.36,201.74,296600,0
2008-03-28,203.21,205.87,202.3,203.21,280600,0
