Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,10.35,10.43,9.99,10.06,3181100,0
2008-01-03,10.11,10.13,9.86,9.9,2875500,0
2008-01-04,9.9,9.9,9.34,9.45,2991100,0
2008-01-07,9.5,9.56,9.27,9.43,3234300,0
2008-01-08,9.41,9.58,8.98,9.01,4819700,0
2008-01-09,9.01,9.1,8.75,9.03,3685500,0
2008-01-10,8.88,9.24,8.83,9.18,3416000,0
2008-01-11,9.07,9.11,8.86,8.94,3049200,0
2008-01-14,9.03,9.41,9.01,9.41,3071500,0
2008-01-15,9.39,9.39,8.96,9.03,3026500,0
2008-01-16,9.01,9.81,8.9,9.6,4671000,0
2008-01-17,9.61,9.78,9.04,9.08,5212200,0
2008-01-18,9.35,9.55,8.8,9.49,4418600,0
2008-01-22,9.02,9.39,9.02,9.18,4168300,0
2008-01-23,8.8,9.27,8.75,9.17,4429100,0
2008-01-24,9.35,11.0,9.35,10.18,8778600,0
2008-01-25,10.3,10.63,10.22,10.49,6674400,0
2008-01-28,10.55,10.56,10.12,10.4,5028100,0
2008-01-29,10.54,10.78,10.27,10.74,3384100,0
2008-01-30,10.72,11.02,10.61,10.86,3834200,0
2008-01-31,10.73,11.07,10.68,10.99,3687900,0
2008-02-01,10.99,11.37,10.89,11.37,2740900,0
2008-02-04,11.31,11.39,11.15,11.22,3620100,0
2008-02-05,11.05,11.06,10.49,10.53,3512900,0
2008-02-06,10.62,10.95,10.41,10.64,4068600,0
2008-02-07,10.52,10.82,10.4,10.64,3426600,0
2008-02-08,10.56,10.7,10.36,10.53,2476100,0
2008-02-11,10.62,10.89,10.44,10.83,2485600,0
2008-02-12,10.92,11.15,10.69,10.76,2719400,0
2008-02-13,10.94,11.02,10.68,11.0,2222500,0
2008-02-14,11.02,11.06,10.69,10.75,2205200,0
2008-02-15,10.69,10.82,10.52,10.72,2095900,0
2008-02-19,10.82,10.98,10.62,10.69,2068200,0
2008-02-20,10.61,11.04,10.53,10.98,2416600,0
2008-02-21,11.09,11.16,10.74,10.81,3251300,0
2008-02-22,10.88,11.0,10.67,10.93,2730900,0
2008-02-25,10.97,11.27,10.84,11.24,3346300,0
2008-02-26,11.74,12.4,11.5,12.22,8184600,0
2008-02-27,12.21,12.73,12.09,12.5,8332600,0
2008-02-28,12.4,12.55,12.21,12.26,5193200,0
2008-02-29,12.1,12.22,11.95,11.99,4072200,0
2008-03-03,11.99,12.07,11.7,12.0,4092100,0
2008-03-04,11.87,12.23,11.7,12.2,4915300,0
2008-03-05,12.3,12.49,12.19,12.39,4954900,0
2008-03-06,12.35,12.41,11.9,11.9,3005200,0
2008-03-07,11.78,12.32,11.65,11.9,3792000,0
2008-03-10,11.9,11.98,11.64,11.67,3441900,0
2008-03-11,11.92,12.19,11.68,12.19,3058000,0
2008-03-12,12.14,12.45,12.04,12.15,3496900,0
2008-03-13,11.96,12.32,11.79,12.16,3543900,0
