Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,66.24,66.24,62.02,62.66,1435500,0
2008-01-03,62.75,63.75,61.28,61.89,1723200,0
2008-01-04,61.43,61.43,58.04,58.44,1610400,0
2008-01-07,58.75,59.08,53.5,54.79,2884700,0
2008-01-08,55.02,55.98,52.09,52.24,2352100,0
2008-01-09,52.18,52.2,48.95,51.84,2806200,0
2008-01-10,51.55,54.55,50.41,53.85,3096300,0
2008-01-11,53.89,55.8,52.46,52.93,3222700,0
2008-01-14,57.24,57.5,54.5,56.74,4412200,0
2008-01-15,56.14,56.75,54.75,55.24,2498700,0
2008-01-16,54.7,55.35,51.1,54.27,3628100,0
2008-01-17,54.5,55.17,48.89,49.19,3770400,0
2008-01-18,51.02,52.46,49.31,50.92,2881400,0
2008-01-22,46.51,52.8,46.5,52.12,3686400,0
2008-01-23,50.5,52.5,47.53,52.2,3581700,0
2008-01-24,52.5,54.8,52.32,53.43,2463300,0
2008-01-25,55.95,56.7,54.1,54.76,2296100,0
2008-01-28,55.99,55.99,53.19,55.41,1624400,0
2008-01-29,56.43,57.97,55.5,57.14,2253400,0
2008-01-30,57.73,57.73,55.03,55.64,2850400,0
2008-01-31,55.24,59.08,53.5,58.6,2605600,0
2008-02-01,58.89,61.34,58.57,60.56,2825200,0
2008-02-04,61.16,61.99,58.66,59.52,2216100,0
2008-02-05,58.58,58.58,55.82,56.12,1909900,0
2008-02-06,56.39,57.3,54.6,54.94,2256800,0
2008-02-07,54.74,55.76,53.66,54.89,2671400,0
2008-02-08,54.49,56.36,54.2,54.86,1724100,0
2008-02-11,55.78,56.26,54.33,56.1,1175900,0
2008-02-12,56.5,59.31,56.5,57.38,2350000,0
2008-02-13,57.83,58.93,57.49,58.44,1703000,0
2008-02-14,58.58,60.79,58.58,60.17,2751500,0
2008-02-15,60.06,60.48,58.56,59.8,1972100,0
2008-02-19,60.62,61.9,60.15,61.17,2104800,0
2008-02-20,60.56,62.99,60.0,62.21,2337900,0
2008-02-21,66.75,68.49,65.31,66.73,5649000,0
2008-02-22,66.89,67.93,65.6,67.64,3418200,0
2008-02-25,67.93,69.42,66.2,69.1,2764200,0
2008-02-26,68.2,71.9,67.78,70.88,3217100,0
2008-02-27,70.34,72.15,69.0,70.27,2152000,0
2008-02-28,69.89,70.48,69.0,69.98,1571200,0
2008-02-29,69.05,69.05,66.79,67.45,1990000,0
2008-03-03,67.22,68.91,66.75,67.84,2215300,0
2008-03-04,66.21,66.46,64.27,66.0,2295000,0
2008-03-05,66.35,67.88,65.96,66.92,1936700,0
2008-03-06,66.35,67.11,65.1,65.69,1895000,0
2008-03-07,64.41,66.42,63.09,64.45,2455200,0
2008-03-10,64.18,64.45,60.36,60.57,2547700,0
2008-03-11,62.72,64.97,62.06,64.97,1696700,0
2008-03-12,65.0,68.2,65.0,66.83,2704900,0
2008-03-13,65.5,69.19,64.41,68.19,2236700,0
2008-03-14,69.65,69.65,65.01,66.58,1731300,0
2008-03-17,63.8,65.48,61.64,63.55,2856500,0
2008-03-18,65.99,65.99,60.59,64.82,3706100,0
2008-03-19,64.61,65.74,59.71,59.9,3000300,0
2008-03-20,60.2,60.2,56.17,58.89,3568300,0
2008-03-24,59.09,63.2,58.89,62.6,1715200,0
2008-03-25,61.69,65.63,61.57,65.01,1915500,0
2008-03-26,65.74,65.74,63.05,64.09,1309200,0
2008-03-27,64.17,64.17,61.48,61.76,1663300,0
2008-03-28,62.45,63.34,61.5,61.72,1263100,0
2008-03-31,61.61,63.24,61.61,62.5,1113300,0
2008-04-01,62.34,66.44,62.34,66.16,1879800,0
