Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,21.52,22.0,21.0,21.4,91700,0
2008-01-03,21.85,21.85,20.75,20.78,113000,0
2008-01-04,20.5,20.75,18.15,19.16,775500,0
2008-01-07,19.25,19.29,17.21,18.83,808400,0
2008-01-08,18.83,19.14,17.51,17.75,180000,0
2008-01-09,17.43,17.72,15.5,17.1,729600,0
2008-01-10,16.68,17.37,16.25,17.16,204400,0
2008-01-11,16.28,17.49,16.28,17.25,47400,0
2008-01-14,17.34,17.34,16.32,16.6,139300,0
2008-01-15,16.3,16.46,15.55,16.03,323400,0
2008-01-16,16.0,16.0,14.7,15.28,381500,0
2008-01-17,15.13,15.29,14.51,14.86,270000,0
2008-01-18,15.0,15.28,14.91,15.12,113000,0
2008-01-22,13.57,15.3,13.57,15.21,142400,0
2008-01-23,14.88,15.62,14.45,15.05,298300,0
2008-01-24,15.2,16.13,15.16,16.0,229600,0
2008-01-25,16.16,16.83,15.75,16.3,251200,0
2008-01-28,16.5,17.19,16.36,17.05,245600,0
2008-01-29,17.16,18.88,17.15,18.06,531300,0
2008-01-30,18.14,19.21,18.14,18.75,356700,0
2008-01-31,18.43,19.32,18.02,19.0,118400,0
2008-02-01,19.1,19.8,19.1,19.5,359100,0
2008-02-04,19.69,19.69,18.68,18.98,94900,0
2008-02-05,18.89,19.03,18.48,18.5,139200,0
2008-02-06,18.59,18.88,17.35,17.35,146000,0
2008-02-07,18.02,18.19,17.51,17.75,224300,0
2008-02-08,17.75,18.0,17.47,17.67,91600,0
2008-02-11,17.5,17.97,17.4,17.57,364300,0
2008-02-12,17.61,17.9,17.5,17.5,224700,0
2008-02-13,17.25,17.7,17.0,17.14,201800,0
2008-02-14,17.29,18.19,17.25,17.61,91000,0
2008-02-15,17.5,17.89,17.49,17.7,69200,0
2008-02-19,17.75,18.15,17.65,17.94,112400,0
2008-02-20,18.0,18.0,17.36,17.74,41500,0
2008-02-21,17.98,18.11,17.4,17.4,174000,0
2008-02-22,17.57,17.72,17.15,17.15,133100,0
2008-02-25,17.02,18.13,17.02,17.94,168800,0
2008-02-26,18.01,18.01,17.25,17.65,104300,0
2008-02-27,17.32,18.42,17.25,18.23,69400,0
2008-02-28,18.4,18.46,17.16,17.52,111200,0
2008-02-29,17.4,17.46,16.74,16.9,205900,0
2008-03-03,16.56,16.85,16.34,16.67,135300,0
2008-03-04,16.7,16.98,16.4,16.58,182000,0
2008-03-05,16.34,16.64,16.3,16.55,55400,0
2008-03-06,16.86,16.86,16.3,16.4,47000,0
2008-03-07,16.4,16.6,15.26,15.68,153900,0
2008-03-10,15.75,15.82,15.05,15.23,60200,0
2008-03-11,15.7,15.9,15.45,15.74,41700,0
2008-03-12,16.19,16.27,15.68,15.79,23500,0
2008-03-13,15.7,15.73,15.4,15.59,31900,0
2008-03-14,15.4,15.4,14.74,14.86,63500,0
2008-03-17,13.52,14.74,13.52,14.41,79600,0
2008-03-18,14.5,15.53,14.49,15.45,75100,0
2008-03-19,15.48,15.91,15.35,15.8,64800,0
2008-03-20,15.85,16.57,15.6,16.31,48900,0
2008-03-24,15.43,16.84,15.43,16.7,50000,0
2008-03-25,17.38,17.52,17.02,17.5,38200,0
2008-03-26,17.9,18.1,17.57,17.8,91200,0
2008-03-27,17.52,18.0,16.8,17.08,77100,0
2008-03-28,17.95,17.95,17.26,17.49,202100,0
2008-03-31,17.4,18.25,17.0,17.12,1044400,0
2008-04-01,17.12,17.85,16.48,16.82,482300,0
2008-04-02,16.81,17.0,16.41,16.73,286500,0
2008-04-03,16.62,17.0,16.56,16.73,347100,0
2008-04-04,16.75,17.1,16.52,17.07,356300,0
2008-04-07,17.26,18.6,16.74,18.09,271300,0
2008-04-08,18.09,18.67,17.78,18.36,102200,0
2008-04-09,18.2,18.39,17.96,18.18,96400,0
2008-04-10,18.36,18.67,18.11,18.66,63500,0
2008-04-11,18.38,18.63,17.43,17.55,58800,0
2008-04-14,17.7,18.03,17.7,17.8,60100,0
2008-04-15,18.0,18.45,17.92,18.0,76600,0
2008-04-16,18.1,19.1,17.9,18.01,202900,0
2008-04-17,18.0,18.25,17.25,18.0,112500,0
2008-04-18,18.2,18.69,18.08,18.43,168800,0
2008-04-21,18.43,19.19,18.28,18.81,100600,0
2008-04-22,19.0,19.65,18.93,19.58,139000,0
2008-04-23,19.69,20.0,19.5,19.61,148400,0
2008-04-24,19.65,20.0,19.1,19.81,105500,0
2008-04-25,20.04,20.2,19.89,20.0,118400,0
2008-04-28,20.0,20.95,19.79,20.86,170500,0
2008-04-29,20.77,20.77,19.53,20.02,89700,0
2008-04-30,20.1,20.89,19.81,20.18,67100,0
2008-05-01,20.04,20.51,19.32,19.95,80100,0
2008-05-02,20.34,21.35,19.89,19.95,72200,0
2008-05-05,20.15,20.4,19.85,20.32,78400,0
2008-05-06,20.1,21.05,20.02,20.33,92900,0
2008-05-07,20.45,20.76,19.9,19.94,78400,0
2008-05-08,19.78,20.06,19.78,20.0,54200,0
2008-05-09,20.0,21.5,19.96,21.4,202400,0
2008-05-12,21.4,22.68,21.18,21.39,240000,0
2008-05-13,21.41,22.98,21.41,22.86,241800,0
2008-05-14,23.3,23.94,22.87,23.26,296600,0
2008-05-15,25.14,25.14,23.5,23.81,192500,0
2008-05-16,24.02,24.43,23.5,24.3,163900,0
2008-05-19,26.14,26.14,23.5,23.56,347600,0
2008-05-20,23.57,24.39,23.09,23.37,301000,0
2008-05-21,22.9,24.0,22.67,23.86,179000,0
2008-05-22,23.96,24.05,21.45,22.1,304200,0
2008-05-23,22.51,22.51,20.63,21.09,237700,0
2008-05-27,21.2,21.65,20.14,21.65,306400,0
2008-05-28,21.5,21.84,21.01,21.84,104500,0
2008-05-29,21.9,22.45,21.36,21.99,117900,0
2008-05-30,22.28,22.28,21.75,21.9,81800,0
2008-06-02,21.9,22.23,21.22,22.0,184900,0
2008-06-03,22.6,23.47,21.68,21.96,224400,0
2008-06-04,21.96,22.27,21.13,21.34,172100,0
2008-06-05,21.19,21.87,21.1,21.7,191400,0
2008-06-06,22.63,22.63,21.27,21.31,144500,0
2008-06-09,21.04,21.4,20.55,20.57,195900,0
2008-06-10,20.49,21.02,20.34,20.74,321200,0
2008-06-11,20.72,21.6,20.72,21.47,288100,0
2008-06-12,21.71,23.36,20.5,20.53,297900,0
2008-06-13,20.86,21.84,20.8,21.84,178200,0
2008-06-16,21.91,23.75,21.91,23.66,229900,0
2008-06-17,23.61,23.88,23.02,23.36,102500,0
2008-06-18,23.28,23.31,22.75,23.16,92200,0
2008-06-19,23.45,23.45,22.68,23.04,94200,0
2008-06-20,22.9,23.41,22.56,23.21,136000,0
2008-06-23,23.26,23.74,22.43,22.45,153400,0
2008-06-24,22.35,22.43,21.51,21.68,114900,0
2008-06-25,21.77,22.13,21.48,21.67,143700,0
2008-06-26,21.63,21.7,20.75,21.25,272200,0
2008-06-27,21.12,23.04,20.86,23.04,491200,0
2008-06-30,23.05,23.64,22.68,23.21,258200,0
2008-07-01,23.4,23.4,21.67,22.28,169000,0
2008-07-02,23.61,23.61,20.42,20.94,217800,0
2008-07-03,20.78,20.78,19.44,20.41,91400,0
2008-07-07,20.4,20.7,19.5,20.56,152100,0
2008-07-08,20.62,22.33,20.32,22.14,216000,0
2008-07-09,22.33,22.33,21.15,21.4,99100,0
2008-07-10,21.63,22.26,20.89,22.21,94000,0
2008-07-11,22.0,23.13,21.9,23.13,117700,0
2008-07-14,25.01,25.01,22.32,22.51,75000,0
2008-07-15,22.38,22.68,22.05,22.36,151300,0
2008-07-16,22.53,22.68,22.18,22.5,97900,0
2008-07-17,22.34,22.5,22.01,22.14,103000,0
2008-07-18,22.48,23.23,22.1,22.2,112200,0
2008-07-21,22.01,22.32,21.55,21.98,121500,0
2008-07-22,21.77,21.93,21.65,21.85,205200,0
2008-07-23,21.86,22.47,21.72,21.86,159000,0
2008-07-24,21.86,22.5,20.5,20.9,187900,0
2008-07-25,21.49,21.65,21.2,21.49,88500,0
2008-07-28,21.5,21.76,21.17,21.28,83800,0
2008-07-29,21.19,22.41,21.09,22.0,184600,0
2008-07-30,21.91,22.63,21.61,22.31,91900,0
2008-07-31,22.0,23.22,21.91,22.66,101400,0
2008-08-01,22.75,22.88,21.96,22.16,116100,0
2008-08-04,22.25,22.87,21.16,21.19,83800,0
2008-08-05,21.2,21.32,19.77,20.38,166400,0
2008-08-06,20.9,21.46,20.5,21.21,150600,0
2008-08-07,21.3,21.41,20.09,20.72,160400,0
2008-08-08,20.75,21.1,20.06,20.27,246400,0
2008-08-11,20.55,20.71,20.36,20.51,171900,0
2008-08-12,20.5,20.65,20.35,20.6,130300,0
2008-08-13,20.02,20.02,19.46,19.63,138800,0
2008-08-14,19.35,19.94,19.35,19.8,102000,0
2008-08-15,19.98,19.99,18.43,18.82,144100,0
2008-08-18,18.82,19.5,18.52,18.74,88500,0
2008-08-19,18.78,19.49,18.61,19.06,61800,0
2008-08-20,19.36,19.5,19.17,19.5,55300,0
2008-08-21,19.5,19.5,19.22,19.38,106800,0
2008-08-22,19.4,19.59,19.13,19.5,143100,0
2008-08-25,19.51,19.9,19.4,19.5,173900,0
2008-08-26,19.75,19.75,19.21,19.55,75300,0
2008-08-27,19.61,20.35,19.48,20.2,198200,0
2008-08-28,20.48,20.48,19.95,20.18,130400,0
2008-08-29,20.29,20.29,19.99,20.15,51600,0
2008-09-02,19.92,20.29,19.78,19.95,151100,0
2008-09-03,20.19,20.2,19.82,20.08,120800,0
2008-09-04,19.8,20.08,18.88,19.44,158500,0
2008-09-05,19.43,19.43,17.53,17.63,227500,0
2008-09-08,18.0,18.47,17.73,17.99,155300,0
2008-09-09,18.07,18.12,17.14,17.14,333100,0
2008-09-10,17.39,18.48,17.19,18.32,128000,0
2008-09-11,18.39,18.45,17.83,18.19,77700,0
2008-09-12,17.99,18.37,17.76,18.02,46800,0
2008-09-15,18.0,18.36,17.49,17.63,91700,0
2008-09-16,17.36,17.85,17.05,17.85,154300,0
2008-09-17,18.09,18.09,16.4,16.41,87000,0
2008-09-18,16.87,18.3,16.55,18.08,156600,0
2008-09-19,18.16,21.0,18.16,19.25,240500,0
2008-09-22,19.06,19.25,18.86,18.97,90700,0
2008-09-23,18.76,18.81,17.35,17.64,95200,0
2008-09-24,17.64,18.59,17.54,17.91,40700,0
2008-09-25,18.0,18.99,17.89,18.15,72700,0
2008-09-26,17.87,17.9,17.48,17.58,66700,0
2008-09-29,17.48,17.49,16.59,16.85,118100,0
2008-09-30,16.85,17.17,16.61,16.93,145400,0
2008-10-01,16.86,16.89,16.35,16.62,90700,0
2008-10-02,16.45,16.86,15.07,15.07,120100,0
2008-10-03,16.0,16.56,15.45,15.51,140200,0
2008-10-06,15.13,15.2,11.66,13.51,279500,0
2008-10-07,13.51,13.96,11.88,11.94,223200,0
2008-10-08,11.51,11.51,9.72,10.89,269200,0
2008-10-09,10.85,11.07,9.7,9.7,165000,0
2008-10-10,9.34,10.6,7.22,10.58,457900,0
2008-10-13,11.1,13.15,10.75,13.15,60900,0
2008-10-14,13.5,14.0,12.19,12.49,213800,0
2008-10-15,12.43,12.43,10.31,10.31,166300,0
2008-10-16,10.31,12.06,9.01,10.7,207000,0
2008-10-17,10.9,11.35,10.4,10.66,143800,0
2008-10-20,11.05,12.0,11.05,11.94,124000,0
2008-10-21,11.79,12.2,11.32,11.68,122400,0
2008-10-22,11.44,11.6,10.56,10.87,115400,0
2008-10-23,10.91,11.35,10.01,10.77,140700,0
2008-10-24,9.89,10.45,9.55,9.77,140100,0
2008-10-27,9.69,9.75,9.0,9.11,120100,0
2008-10-28,9.75,9.75,8.41,9.11,152700,0
2008-10-29,9.21,10.46,9.21,10.46,102600,0
2008-10-30,10.95,11.0,10.14,10.98,97500,0
2008-10-31,10.97,12.36,10.62,12.15,102900,0
2008-11-03,11.91,13.69,11.79,12.35,225400,0
2008-11-04,13.32,13.32,11.22,11.75,218000,0
2008-11-05,11.59,11.74,10.63,10.76,139300,0
2008-11-06,10.86,10.86,8.53,8.67,243100,0
2008-11-07,9.48,10.86,8.94,10.71,229200,0
2008-11-10,11.0,12.99,10.63,11.36,205800,0
2008-11-11,10.68,11.15,9.4,9.74,241100,0
2008-11-12,9.63,9.63,8.95,9.11,171600,0
2008-11-13,9.14,10.3,8.45,10.3,191700,0
2008-11-14,9.8,10.12,8.65,8.65,115400,0
2008-11-17,8.75,8.91,8.27,8.64,197000,0
2008-11-18,8.64,8.9,8.5,8.63,131300,0
2008-11-19,8.6,8.74,7.88,7.88,129100,0
2008-11-20,7.8,7.87,6.25,6.38,164200,0
2008-11-21,6.51,6.69,4.82,6.22,571300,0
2008-11-24,6.24,7.74,6.24,7.5,108100,0
2008-11-25,9.23,9.23,7.51,7.99,366300,0
2008-11-26,8.05,8.98,8.05,8.76,465000,0
2008-11-28,9.24,10.92,8.77,10.92,336300,0
2008-12-01,9.35,9.35,7.75,8.03,250500,0
2008-12-02,8.27,8.75,7.8,8.52,182400,0
2008-12-03,8.09,8.32,7.65,7.99,164800,0
2008-12-04,7.73,8.27,7.6,8.18,273900,0
2008-12-05,8.07,8.73,7.51,8.73,141600,0
2008-12-08,8.98,9.49,8.75,9.12,236700,0
2008-12-09,9.12,10.35,9.12,9.51,228100,0
2008-12-10,9.66,10.53,9.66,10.45,220400,0
2008-12-11,10.07,10.48,9.41,10.04,247700,0
2008-12-12,9.89,10.45,9.59,10.41,277400,0
2008-12-15,10.44,11.1,10.0,10.09,176600,0
2008-12-16,10.7,11.75,10.41,11.7,201400,0
2008-12-17,11.5,12.78,11.05,12.78,229500,0
2008-12-18,12.72,12.77,11.21,11.3,162400,0
2008-12-19,12.14,12.43,10.65,11.16,322800,0
2008-12-22,11.13,11.13,8.88,10.39,539700,0
2008-12-23,10.39,10.75,10.02,10.16,137500,0
2008-12-24,10.25,10.25,9.52,10.04,76900,0
2008-12-26,10.22,11.17,10.2,11.11,91500,0
2008-12-29,11.28,11.29,10.45,11.1,89400,0
2008-12-30,11.16,12.11,10.74,12.11,160100,0
2008-12-31,12.0,12.88,11.65,12.7,246400,0
2009-01-02,12.65,13.36,12.0,12.8,139500,0
2009-01-05,12.9,13.99,12.72,13.97,141900,0
2009-01-06,14.1,14.55,13.89,14.31,258200,0
2009-01-07,14.26,14.26,12.8,13.03,316100,0
2009-01-08,13.0,13.33,12.31,13.31,225000,0
2009-01-09,13.5,13.75,13.22,13.41,129300,0
2009-01-12,13.41,13.41,11.86,11.92,196200,0
2009-01-13,12.0,12.93,11.95,12.67,97200,0
2009-01-14,12.74,12.74,11.81,11.92,81900,0
2009-01-15,11.87,11.98,11.14,11.76,151000,0
2009-01-16,11.84,12.05,11.22,12.0,65200,0
2009-01-20,12.15,12.15,10.55,10.76,220900,0
2009-01-21,10.86,11.67,10.83,11.5,127200,0
2009-01-22,11.49,11.49,10.94,11.05,84200,0
2009-01-23,10.84,11.49,10.76,11.0,117700,0
2009-01-26,10.91,11.45,10.9,11.15,100200,0
2009-01-27,11.27,11.42,11.15,11.27,83800,0
2009-01-28,11.47,12.15,11.39,12.07,129100,0
2009-01-29,12.05,12.07,11.5,11.63,68800,0
2009-01-30,11.75,12.04,11.38,11.73,102200,0
2009-02-02,11.67,11.74,11.13,11.58,129500,0
2009-02-03,11.69,11.94,11.32,11.89,107800,0
2009-02-04,11.99,12.42,11.76,11.82,73400,0
2009-02-05,11.93,12.49,11.67,12.29,87100,0
