Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,20.02,20.19,19.44,19.55,2686500,0
2008-01-03,19.55,19.64,18.3,18.35,4282800,0
2008-01-04,18.1,18.19,16.95,17.17,7825700,0
2008-01-07,17.22,17.53,16.56,16.83,5331000,0
2008-01-08,16.85,17.34,15.98,16.04,6627300,0
2008-01-09,16.09,16.53,15.49,16.51,6093100,0
2008-01-10,16.42,17.47,16.07,16.82,7462800,0
2008-01-11,16.65,16.94,15.85,16.27,4613900,0
2008-01-14,16.36,16.87,15.79,16.74,3403600,0
2008-01-15,16.31,16.57,16.08,16.15,3716300,0
2008-01-16,16.05,17.51,15.99,16.83,5145600,0
2008-01-17,16.72,17.56,16.51,17.13,5950500,0
2008-01-18,17.23,17.82,16.86,17.29,4652200,0
2008-01-22,16.54,19.15,16.48,18.09,6875100,0
2008-01-23,17.99,20.86,17.54,20.56,10353900,0
2008-01-24,20.93,22.08,20.27,21.72,10472200,0
2008-01-25,22.47,23.93,21.08,21.46,11519000,0
2008-01-28,21.34,22.58,20.25,22.37,7026500,0
2008-01-29,22.37,22.86,21.38,22.57,6567100,0
2008-01-30,22.19,23.5,21.57,21.98,7470400,0
2008-01-31,21.61,23.85,21.37,23.28,7904000,0
2008-02-01,23.24,23.84,22.17,23.72,8003300,0
2008-02-04,23.66,23.67,22.02,22.35,4573800,0
2008-02-05,21.98,23.65,21.85,21.87,6622600,0
2008-02-06,21.95,22.15,20.85,21.13,4856000,0
2008-02-07,20.7,22.15,20.62,21.18,5944800,0
2008-02-08,20.87,21.55,20.67,21.11,4376100,0
2008-02-11,21.11,22.25,20.55,21.76,4944200,0
2008-02-12,21.92,22.36,21.22,21.58,3563500,0
2008-02-13,21.8,22.25,21.38,22.19,4088800,0
2008-02-14,22.23,22.24,21.5,21.59,2990900,0
2008-02-15,21.46,21.8,20.32,20.75,3666100,0
2008-02-19,20.96,21.09,20.5,20.69,2996500,0
2008-02-20,20.24,21.65,20.19,21.51,3218700,0
2008-02-21,21.68,22.23,20.93,21.02,3656800,0
2008-02-22,21.12,21.42,20.5,21.32,2790500,0
2008-02-25,21.3,22.02,20.79,21.92,3208600,0
2008-02-26,21.79,23.77,21.63,23.12,6247600,0
2008-02-27,22.6,24.5,22.6,23.83,8989100,0
2008-02-28,23.61,23.78,22.35,22.49,5126200,0
2008-02-29,22.23,22.23,21.08,21.21,4243400,0
2008-03-03,21.16,21.16,20.3,20.59,3940400,0
2008-03-04,20.34,21.55,20.11,21.32,4876800,0
2008-03-05,21.69,21.78,20.76,21.26,3419400,0
2008-03-06,21.1,21.1,19.75,19.9,4970600,0
2008-03-07,19.55,20.17,18.93,19.51,4721400,0
2008-03-10,19.5,19.94,18.66,18.93,4173800,0
2008-03-11,19.5,20.31,18.66,20.2,5102500,0
2008-03-12,20.28,20.44,19.39,19.45,3069100,0
2008-03-13,19.16,20.54,18.69,20.34,4526700,0
2008-03-14,20.7,20.7,19.05,19.47,4521300,0
2008-03-17,18.65,19.8,18.31,19.24,5204800,0
2008-03-18,19.97,21.52,19.97,21.2,6116600,0
2008-03-19,21.22,22.44,21.22,21.5,5725500,0
2008-03-20,21.56,23.52,21.31,23.1,6691100,0
2008-03-24,23.1,25.16,23.1,24.18,9030700,0
2008-03-25,23.81,24.26,23.28,23.95,4877500,0
2008-03-26,23.39,23.95,22.43,22.58,4624800,0
2008-03-27,22.67,23.94,22.54,22.78,5307100,0
2008-03-28,22.8,23.08,22.25,22.46,3372300,0
2008-03-31,22.45,23.65,22.05,23.48,7374100,0
2008-04-01,23.86,25.2,23.71,25.12,6682200,0
2008-04-02,25.01,26.13,23.97,24.25,8351500,0
2008-04-03,24.03,25.16,23.37,25.01,5956200,0
2008-04-04,24.6,25.16,24.1,24.47,4716700,0
2008-04-07,24.67,25.11,24.14,24.24,3709200,0
2008-04-08,24.06,24.2,23.12,23.68,5050000,0
2008-04-09,23.65,23.85,22.71,22.75,4711500,0
2008-04-10,22.81,23.64,22.76,23.01,2531200,0
2008-04-11,22.74,22.95,22.27,22.47,2277400,0
2008-04-14,22.42,22.57,21.56,21.77,3089200,0
2008-04-15,22.2,22.5,21.45,22.26,2526700,0
2008-04-16,22.39,23.64,22.15,23.59,3322600,0
2008-04-17,23.44,23.75,22.96,23.63,2681500,0
2008-04-18,24.02,24.32,23.38,23.76,3214700,0
2008-04-21,23.54,23.95,23.24,23.76,2387200,0
2008-04-22,23.61,24.04,23.11,23.45,2778200,0
2008-04-23,23.62,23.67,21.84,22.01,4348300,0
2008-04-24,22.0,23.3,21.52,23.14,5475000,0
2008-04-25,23.17,23.71,22.78,23.48,2399800,0
2008-04-28,23.4,24.17,22.83,23.84,2150500,0
2008-04-29,23.55,23.85,23.01,23.46,1671500,0
2008-04-30,23.73,23.75,22.62,22.64,2547800,0
2008-05-01,22.59,24.23,22.35,23.97,3674400,0
2008-05-02,24.25,24.67,23.72,23.9,1998900,0
2008-05-05,23.7,25.02,23.58,24.83,4877800,0
2008-05-06,24.37,25.17,23.55,25.02,5549600,0
2008-05-07,24.97,25.28,23.8,23.86,3796900,0
2008-05-08,24.0,24.11,23.18,23.4,3157300,0
2008-05-09,23.26,23.74,22.61,22.88,3416400,0
2008-05-12,23.13,23.4,22.65,23.37,1773900,0
2008-05-13,23.25,23.67,22.66,23.27,3765400,0
2008-05-14,23.3,24.22,23.3,23.74,4836200,0
2008-05-15,23.8,24.9,23.77,24.8,6528700,0
2008-05-16,25.42,25.5,24.16,24.92,4620200,0
2008-05-19,24.87,25.04,24.17,24.4,3011200,0
2008-05-20,24.04,24.21,22.9,23.15,4765200,0
2008-05-21,23.16,23.18,21.99,22.05,3981300,0
2008-05-22,22.13,22.47,21.6,21.83,3376600,0
2008-05-23,21.72,21.79,20.7,21.07,4978700,0
2008-05-27,20.94,21.6,20.11,21.4,4972500,0
2008-05-28,21.5,22.07,21.3,21.82,4173100,0
2008-05-29,21.82,21.82,20.86,21.03,4839500,0
2008-05-30,21.22,21.41,20.72,21.07,3008200,0
2008-06-02,21.01,21.17,20.47,20.96,5105900,0
2008-06-03,21.39,21.98,21.1,21.6,7347500,0
2008-06-04,21.51,22.0,21.02,21.02,5273600,0
2008-06-05,21.2,21.21,19.79,20.43,7882700,0
2008-06-06,20.23,20.29,19.19,19.3,5516200,0
2008-06-09,19.48,19.99,18.66,19.31,4952000,0
2008-06-10,18.92,20.39,18.8,20.22,5553000,0
2008-06-11,20.22,20.34,19.09,19.13,4041800,0
2008-06-12,19.26,19.96,19.24,19.33,2904600,0
2008-06-13,19.43,19.95,19.43,19.91,2807000,0
2008-06-16,19.8,20.45,19.62,20.41,2869900,0
2008-06-17,20.65,20.71,19.84,20.28,3376400,0
2008-06-18,20.13,20.46,19.85,20.31,2985100,0
2008-06-19,20.07,20.85,19.88,20.83,2825300,0
2008-06-20,20.41,20.82,20.05,20.11,2635800,0
2008-06-23,20.25,20.34,18.91,19.05,4242600,0
2008-06-24,18.98,20.38,18.62,19.73,7940600,0
2008-06-25,19.84,20.88,19.75,20.21,3976300,0
2008-06-26,19.8,20.05,19.05,19.11,3871300,0
2008-06-27,19.01,19.39,18.62,19.16,3209700,0
2008-06-30,19.16,19.41,18.69,18.73,2545800,0
2008-07-01,18.4,19.81,18.4,19.81,5720800,0
2008-07-02,19.85,19.95,18.84,18.86,3131100,0
2008-07-03,18.94,19.32,18.29,18.85,2830700,0
2008-07-07,18.88,19.3,17.5,18.45,4927900,0
2008-07-08,18.41,19.46,18.06,19.31,5909800,0
2008-07-09,19.77,19.9,18.05,18.24,3250200,0
2008-07-10,17.98,18.32,17.33,17.52,4553300,0
2008-07-11,17.08,18.09,16.76,17.24,6902200,0
2008-07-14,17.95,18.21,17.24,17.5,5414000,0
2008-07-15,17.1,17.82,16.25,17.48,4399500,0
2008-07-16,17.51,18.84,17.04,18.51,4205500,0
2008-07-17,18.83,20.06,18.53,19.09,8335800,0
2008-07-18,19.61,19.77,18.51,18.92,3622500,0
2008-07-21,19.02,19.59,18.8,19.25,3715500,0
2008-07-22,19.07,20.49,18.55,20.38,4062300,0
2008-07-23,20.37,21.98,20.02,21.08,5776100,0
2008-07-24,20.92,21.02,19.11,19.28,5435800,0
2008-07-25,19.34,20.28,18.94,19.42,3396300,0
2008-07-28,19.38,20.1,18.69,18.75,2468200,0
2008-07-29,18.77,20.18,18.77,19.97,3362300,0
2008-07-30,20.16,20.8,19.31,19.83,4435900,0
2008-07-31,19.56,20.54,19.27,20.09,3161400,0
2008-08-01,20.31,20.31,19.26,19.84,3179300,0
2008-08-04,19.81,20.02,18.91,19.33,4039500,0
2008-08-05,19.61,19.95,19.03,19.79,2932400,0
2008-08-06,19.66,20.1,19.06,19.73,3076000,0
2008-08-07,19.31,20.61,19.3,19.95,3861100,0
2008-08-08,19.75,21.39,19.67,21.09,3583500,0
2008-08-11,21.0,22.67,20.92,21.4,5222900,0
2008-08-12,21.33,21.64,20.46,20.64,4757700,0
2008-08-13,21.04,21.15,20.15,20.84,4014800,0
2008-08-14,20.68,22.59,20.59,22.23,7222800,0
2008-08-15,22.85,24.09,22.85,23.32,8047400,0
2008-08-18,23.5,23.5,21.91,22.21,4235400,0
2008-08-19,21.8,22.13,21.25,21.34,3599100,0
2008-08-20,21.36,21.87,21.02,21.76,3266100,0
2008-08-21,21.5,23.11,21.35,22.85,4485900,0
2008-08-22,23.13,23.38,22.27,23.3,3275600,0
2008-08-25,22.84,23.21,22.28,22.4,3565700,0
2008-08-26,22.43,23.1,21.91,22.33,3249000,0
2008-08-27,22.42,23.57,22.33,23.41,4954700,0
2008-08-28,23.58,24.56,23.37,24.51,4903100,0
2008-08-29,23.92,25.12,23.92,24.88,4101500,0
2008-09-02,25.45,26.34,24.62,24.81,5366300,0
2008-09-03,24.94,25.46,24.08,24.8,5820000,0
2008-09-04,24.3,25.36,23.56,25.07,8532200,0
2008-09-05,24.28,24.56,23.16,24.2,8442100,0
2008-09-08,25.97,27.19,25.09,26.47,13723300,0
2008-09-09,25.83,26.44,23.64,24.26,9783000,0
2008-09-10,24.58,25.35,23.86,24.71,5609200,0
2008-09-11,24.09,25.6,23.92,25.04,8766200,0
2008-09-12,24.74,26.01,24.65,25.43,5343300,0
2008-09-15,24.09,25.22,23.75,23.82,6598500,0
2008-09-16,22.93,25.13,22.93,24.64,7777000,0
2008-09-17,24.14,24.71,23.24,23.95,7863500,0
2008-09-18,24.48,25.2,22.02,24.95,11015000,0
2008-09-19,27.26,28.0,25.18,26.84,12688300,0
2008-09-22,26.61,26.89,24.42,24.62,7052400,0
2008-09-23,24.56,25.0,23.16,23.52,5838700,0
2008-09-24,23.75,24.95,23.12,24.57,4896900,0
2008-09-25,24.78,26.09,24.17,25.88,5676800,0
2008-09-26,24.93,26.32,24.66,26.24,4097600,0
2008-09-29,26.04,26.04,23.5,24.38,6873000,0
2008-09-30,24.63,25.42,23.7,25.23,4678100,0
2008-10-01,24.93,25.72,24.5,25.65,3961000,0
2008-10-02,25.42,25.9,23.69,23.77,4158700,0
2008-10-03,23.95,24.4,21.75,21.9,8786100,0
2008-10-06,21.0,21.41,19.48,21.19,8306700,0
2008-10-07,21.7,21.82,19.51,19.65,5108100,0
2008-10-08,19.27,21.35,19.02,20.25,8124400,0
2008-10-09,20.93,20.93,18.65,18.87,5043900,0
2008-10-10,18.07,20.59,17.31,20.36,8696600,0
2008-10-13,20.96,21.25,19.57,20.6,5407200,0
2008-10-14,20.87,21.64,19.61,20.03,5921600,0
2008-10-15,19.56,19.77,18.4,18.62,5748400,0
2008-10-16,18.68,19.51,17.32,19.33,7535700,0
2008-10-17,18.46,20.28,18.26,19.71,6181700,0
2008-10-20,20.15,21.58,19.46,21.5,5104500,0
2008-10-21,20.9,21.75,20.44,20.57,3466400,0
2008-10-22,19.9,20.95,19.18,19.92,4160300,0
2008-10-23,19.73,19.86,17.06,18.45,6591300,0
2008-10-24,16.0,18.75,16.0,17.91,5198000,0
2008-10-27,17.44,18.84,17.3,17.43,3559700,0
2008-10-28,18.04,18.93,16.53,18.92,4796200,0
2008-10-29,18.92,21.13,17.84,20.15,5667300,0
2008-10-30,20.92,21.41,20.51,21.18,4336300,0
2008-10-31,20.87,23.4,20.27,23.12,6862000,0
2008-11-03,23.09,23.82,21.94,22.54,3916600,0
2008-11-04,23.06,23.8,22.49,23.0,4189700,0
2008-11-05,22.65,23.42,20.67,20.73,4954000,0
2008-11-06,20.59,20.76,19.77,20.46,3676200,0
2008-11-07,20.66,20.85,18.73,19.43,3553300,0
2008-11-10,19.89,19.97,18.75,18.95,3286000,0
2008-11-11,17.87,19.73,17.86,18.93,5229000,0
2008-11-12,18.91,18.93,17.8,17.88,4330500,0
2008-11-13,17.65,18.05,15.61,18.05,7463400,0
2008-11-14,17.51,19.0,17.38,17.42,4436800,0
2008-11-17,17.19,17.81,16.61,17.34,3193300,0
2008-11-18,17.26,17.93,16.55,17.34,3661900,0
2008-11-19,17.18,17.2,15.83,15.83,4344900,0
2008-11-20,15.5,16.45,14.83,14.9,5190800,0
2008-11-21,16.0,16.41,13.55,14.99,7719400,0
2008-11-24,15.18,17.67,15.1,17.12,6563900,0
2008-11-25,17.69,19.29,17.12,18.54,6680100,0
2008-11-26,17.77,20.54,17.77,20.17,5902700,0
2008-11-28,19.95,20.21,19.23,19.93,1036200,0
2008-12-01,19.1,19.7,17.13,17.19,5569900,0
2008-12-02,17.98,18.6,17.02,18.24,4273700,0
2008-12-03,17.8,19.99,17.55,19.23,7180500,0
2008-12-04,18.59,21.6,18.59,20.55,8991300,0
2008-12-05,20.01,22.33,19.33,22.03,6872300,0
2008-12-08,22.2,22.5,20.85,22.27,5727500,0
2008-12-09,21.81,22.59,20.35,20.6,5081200,0
2008-12-10,20.47,21.5,19.8,21.47,4310500,0
