Date,Open,High,Low,Close,Volume,Dividend
2013-01-07,48.9,49.55,48.5,49.5,171400,0
2013-01-08,48.75,49.75,48.75,49.1,783500,0
2013-01-09,49.45,49.55,49.1,49.1,629000,0
2013-01-10,49.35,49.5,49.2,49.3,316100,0
2013-01-11,49.55,49.55,49.2,49.25,227200,0
2013-01-14,49.1,49.25,49.1,49.2,129300,0
2013-01-15,49.3,49.4,49.2,49.4,369700,0
2013-01-16,49.3,49.75,49.3,49.75,139700,0
2013-01-17,50.0,51.1,49.95,51.1,422200,0
2013-01-18,51.0,51.25,50.7,50.85,594400,0
2013-01-22,51.0,51.2,50.95,51.05,1091600,0
2013-01-23,51.15,51.25,51.1,51.16,757000,0
2013-01-24,51.2,52.35,51.2,52.3,1074500,0
2013-01-25,52.25,54.75,52.25,54.75,1009300,0
2013-01-28,55.0,55.0,54.0,54.1,351100,0
2013-01-29,54.0,54.0,52.25,53.5,111900,0
2013-01-30,52.75,53.75,51.5,52.0,719100,0
2013-01-31,52.0,52.0,52.0,52.0,40400,0
2013-02-01,52.0,52.0,51.95,52.0,190800,0
2013-02-04,52.0,52.0,51.75,51.95,570600,0
2013-02-05,51.95,52.0,51.4,51.5,504000,0
2013-02-06,51.5,52.0,51.5,52.0,252400,0
2013-02-07,52.0,52.0,51.85,52.0,223900,0
2013-02-08,52.0,52.0,51.9,52.0,68200,0
2013-02-11,52.0,52.5,51.97,52.0,307900,0
2013-02-12,52.0,52.25,51.9,52.2,1053900,0
2013-02-13,52.2,52.5,52.05,52.49,647700,0
2013-02-14,52.65,53.75,52.55,53.75,646800,0
2013-02-15,54.0,54.3,53.9,54.11,518400,0
2013-02-19,54.2,54.25,54.15,54.15,294900,0
2013-02-20,54.2,54.2,53.89,54.0,581100,0
2013-02-21,54.0,54.0,52.5,53.45,82800,0
2013-02-22,53.45,53.5,53.0,53.5,14000,0
2013-02-25,53.5,53.5,52.2,52.8,536400,0
2013-02-26,52.9,54.7,52.5,53.5,821900,0
2013-02-27,53.5,53.5,53.0,53.25,46000,0
2013-02-28,53.1,53.2,52.95,53.0,277400,0
2013-03-01,53.0,53.05,52.96,53.05,490400,0
2013-03-04,53.05,53.05,52.95,52.98,482300,0
2013-03-05,52.97,53.65,52.95,53.65,828700,0
2013-03-06,53.65,53.67,53.44,53.44,730800,0
2013-03-07,53.6,53.6,53.22,53.25,300100,0
2013-03-08,53.3,53.65,53.3,53.65,162100,0
2013-03-11,53.75,54.35,53.75,54.0,469800,0
2013-03-12,54.05,54.35,54.05,54.35,713900,0
2013-03-13,54.55,56.5,54.15,55.95,1260000,0
2013-03-14,55.99,56.55,55.99,56.5,797400,0
2013-03-15,56.55,56.71,56.4,56.7,600900,0
2013-03-18,56.65,56.8,56.5,56.75,468000,0
2013-03-19,56.79,57.0,56.66,56.84,291700,0
2013-03-20,56.84,57.09,56.84,57.0,596800,0
2013-03-21,57.0,57.09,56.38,56.99,344700,0
2013-03-22,57.0,57.35,56.85,57.27,280100,0
2013-03-25,57.4,57.4,56.85,57.0,221700,0
2013-03-26,57.0,57.05,56.9,56.98,273200,0
2013-03-27,56.97,56.97,56.83,56.85,99700,0
2013-03-28,57.0,57.0,56.85,56.85,148400,0
2013-04-01,56.85,56.89,56.05,56.05,83800,0
2013-04-02,56.1,56.1,55.25,55.5,153300,0
2013-04-03,55.5,57.0,55.5,56.2,302800,0
2013-04-04,56.1,56.2,55.3,55.7,284000,0
2013-04-05,55.7,55.7,55.01,55.5,131400,0
2013-04-08,55.5,55.5,54.9,55.5,101700,0
2013-04-09,55.5,56.4,55.3,56.3,801200,0
2013-04-10,56.2,56.4,56.05,56.3,244700,0
2013-04-11,56.3,57.15,56.3,57.1,364600,0
2013-04-12,57.15,58.0,57.1,57.9,230900,0
2013-04-15,57.9,57.9,57.65,57.72,125400,0
2013-04-16,57.6,57.72,57.5,57.5,67600,0
2013-04-17,57.65,57.65,56.5,56.5,92700,0
