Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,13.97,14.22,13.7,13.8,1991200,0
2008-01-03,13.85,14.06,13.8,13.9,2506000,0
2008-01-04,13.69,13.69,13.06,13.18,3262200,0
2008-01-07,13.22,13.27,12.55,12.98,4900600,0
2008-01-08,13.06,13.11,12.38,12.41,3802000,0
2008-01-09,12.43,12.7,12.26,12.66,4303000,0
2008-01-10,12.55,12.98,12.49,12.74,2750200,0
2008-01-11,12.61,12.72,12.31,12.35,2231200,0
2008-01-14,12.47,12.53,12.31,12.38,2186200,0
2008-01-15,12.28,12.33,11.84,11.99,3523600,0
2008-01-16,11.93,12.15,11.61,11.75,2903600,0
2008-01-17,11.81,11.91,11.1,11.17,3931800,0
2008-01-18,11.34,11.6,11.09,11.56,3017600,0
2008-01-22,10.98,11.78,10.95,11.63,3476000,0
2008-01-23,11.5,11.98,11.14,11.91,3832200,0
2008-01-24,11.99,12.16,11.76,11.85,2576400,0
2008-01-25,12.22,13.18,12.14,12.69,5643200,0
2008-01-28,12.61,13.63,12.61,13.63,4913000,0
2008-01-29,13.57,13.84,13.33,13.56,1989600,0
2008-01-30,13.59,13.94,13.34,13.61,2504600,0
2008-01-31,13.38,14.2,13.22,14.16,3076800,0
2008-02-01,14.26,14.9,14.19,14.9,4201200,0
2008-02-04,14.9,14.9,14.17,14.23,3573600,0
2008-02-05,13.99,14.28,13.77,13.81,2205200,0
2008-02-06,14.1,14.52,13.85,14.3,3178800,0
2008-02-07,14.25,14.93,14.06,14.81,3093200,0
2008-02-08,14.74,15.53,14.57,14.77,1885200,0
2008-02-11,14.97,14.97,14.43,14.74,1806200,0
2008-02-12,14.85,14.91,14.23,14.41,2511600,0
2008-02-13,14.56,15.05,14.52,15.02,2517600,0
2008-02-14,15.02,15.02,14.37,14.56,1913000,0
2008-02-15,14.47,14.77,14.44,14.61,2239400,0
2008-02-19,14.79,15.48,14.79,15.06,3427200,0
2008-02-20,15.06,15.15,14.75,15.02,2900800,0
2008-02-21,15.62,16.15,15.27,15.55,5390800,0
2008-02-22,15.65,15.65,14.79,15.15,3366600,0
2008-02-25,15.11,15.35,14.81,15.23,3267400,0
2008-02-26,15.15,15.98,15.15,15.34,3833800,0
2008-02-27,15.32,15.59,14.75,15.09,3538600,0
2008-02-28,14.97,15.14,14.7,14.93,2351600,0
2008-02-29,14.74,14.89,13.98,14.09,2165800,0
2008-03-03,14.0,14.38,13.9,14.25,2128400,0
2008-03-04,14.07,14.16,13.7,14.1,3626200,0
2008-03-05,14.1,14.39,13.9,14.13,1726000,0
2008-03-06,14.07,14.12,13.57,13.63,1762000,0
2008-03-07,13.46,13.9,13.31,13.6,2014800,0
