Date,Open,High,Low,Close,Volume,Dividend
2014-07-24,23.12,26.9,22.25,25.5,2765200,0
2014-07-25,25.2,25.2,24.42,24.5,663400,0
2014-07-28,24.25,24.25,23.25,23.4,95400,0
2014-07-29,22.86,23.39,22.62,22.8,1426000,0
2014-07-30,22.98,22.98,21.72,21.75,424800,0
2014-07-31,21.45,21.49,19.73,21.03,462800,0
2014-08-01,21.0,22.12,21.0,22.0,305000,0
2014-08-04,22.04,22.5,21.75,22.12,1186400,0
2014-08-05,21.75,22.4,21.1,21.15,821300,0
2014-08-06,21.0,21.25,20.87,20.9,1531600,0
2014-08-07,21.0,21.4,20.75,20.95,300200,0
2014-08-08,21.07,21.55,20.79,21.0,657600,0
2014-08-11,20.91,20.99,20.42,20.52,377900,0
2014-08-12,20.32,20.76,19.0,19.55,627300,0
2014-08-13,19.55,19.57,18.84,19.5,717400,0
2014-08-14,19.35,19.8,19.19,19.64,721800,0
2014-08-15,19.5,19.87,19.45,19.51,331400,0
2014-08-18,19.29,19.81,19.29,19.37,148200,0
2014-08-19,19.4,20.65,19.4,19.77,442800,0
2014-08-20,19.56,20.12,19.47,19.55,272200,0
2014-08-21,19.49,20.25,19.49,19.82,442200,0
2014-08-22,19.72,20.02,19.6,19.68,82900,0
2014-08-25,19.66,19.91,19.5,19.68,219000,0
2014-08-26,19.82,19.82,19.25,19.57,283300,0
2014-08-27,19.61,19.65,19.09,19.25,153100,0
2014-08-28,19.22,19.27,19.06,19.17,77900,0
2014-08-29,19.28,19.49,19.14,19.2,122600,0
2014-09-02,19.33,19.33,18.8,18.92,554500,0
2014-09-03,18.93,19.15,18.03,18.53,682200,0
2014-09-04,18.62,19.18,18.53,18.98,71600,0
2014-09-05,19.0,19.62,18.87,19.4,256300,0
2014-09-08,19.47,20.89,19.47,20.5,572800,0
2014-09-09,20.65,21.83,20.57,21.52,545800,0
2014-09-10,21.34,22.95,21.34,21.99,303700,0
2014-09-11,22.0,22.5,21.67,22.0,513500,0
2014-09-12,21.98,22.12,21.94,22.02,157300,0
2014-09-15,22.02,22.02,21.61,21.85,219900,0
2014-09-16,21.9,21.93,20.9,21.07,182000,0
2014-09-17,20.9,21.36,20.04,20.21,232900,0
2014-09-18,20.25,20.36,19.5,19.82,479300,0
2014-09-19,19.69,20.89,19.66,20.74,959600,0
2014-09-22,20.74,21.1,20.22,20.64,205700,0
2014-09-23,20.68,20.68,20.1,20.52,215700,0
2014-09-24,20.56,21.28,20.45,21.02,471200,0
2014-09-25,21.0,21.0,20.59,20.77,243200,0
2014-09-26,21.03,21.03,20.04,20.58,166200,0
2014-09-29,20.33,20.41,19.95,20.08,222400,0
2014-09-30,20.17,20.43,19.61,20.18,255600,0
2014-10-01,20.1,20.57,19.78,19.96,420300,0
2014-10-02,19.92,19.96,19.61,19.94,117100,0
2014-10-03,19.94,19.97,19.75,19.91,135600,0
2014-10-06,20.04,20.11,19.75,19.96,107500,0
2014-10-07,19.92,19.96,19.49,19.69,96300,0
2014-10-08,19.95,19.95,19.09,19.37,86200,0
2014-10-09,19.5,19.5,18.69,18.75,158500,0
2014-10-10,18.84,18.84,17.87,17.98,254300,0
2014-10-13,18.03,18.2,17.38,17.74,150900,0
2014-10-14,17.54,18.08,17.35,17.84,185300,0
2014-10-15,17.76,18.08,17.5,17.82,54200,0
2014-10-16,17.76,17.89,17.54,17.7,200800,0
2014-10-17,17.97,18.28,17.91,18.16,172600,0
2014-10-20,18.12,18.47,18.08,18.22,75000,0
2014-10-21,18.45,19.36,17.92,19.09,423700,0
2014-10-22,18.8,19.48,18.71,19.24,239600,0
2014-10-23,19.45,19.67,19.09,19.51,181800,0
2014-10-24,19.71,19.95,19.15,19.42,104100,0
2014-10-27,19.46,19.48,18.89,19.07,80500,0
2014-10-28,19.03,19.27,18.97,19.15,171100,0
2014-10-29,19.14,19.34,19.0,19.21,73500,0
2014-10-30,19.26,19.26,18.61,18.98,195800,0
2014-10-31,19.17,19.17,18.85,19.06,105800,0
2014-11-03,19.2,19.78,18.83,19.74,97900,0
2014-11-04,19.63,19.82,19.22,19.37,113700,0
2014-11-05,19.36,19.36,15.0,16.39,1494900,0
2014-11-06,16.33,16.48,15.3,15.74,546200,0
2014-11-07,15.76,16.15,15.26,16.01,471400,0
2014-11-10,16.0,16.49,15.79,16.35,386200,0
2014-11-11,16.32,17.25,16.3,16.93,444100,0
2014-11-12,17.13,18.19,16.9,17.97,542100,0
2014-11-13,18.22,18.38,17.57,17.65,282700,0
2014-11-14,17.74,17.74,17.35,17.64,280800,0
2014-11-17,17.37,18.82,17.37,18.5,317500,0
2014-11-18,18.6,19.38,18.5,19.3,323400,0
2014-11-19,19.42,19.55,18.93,19.52,158900,0
2014-11-20,19.28,19.88,19.21,19.87,182300,0
2014-11-21,19.92,20.46,19.92,20.3,141500,0
2014-11-24,20.33,20.66,19.89,20.5,155400,0
2014-11-25,20.46,20.98,20.17,20.54,159000,0
2014-11-26,20.6,20.72,20.19,20.66,156200,0
2014-11-28,20.71,21.1,20.49,21.09,53300,0
2014-12-01,21.2,21.5,20.95,21.37,200900,0
2014-12-02,21.44,21.56,21.23,21.37,99500,0
2014-12-03,21.47,21.66,21.23,21.54,78700,0
2014-12-04,21.48,22.4,21.44,22.0,124900,0
2014-12-05,21.95,22.25,21.94,22.06,316700,0
2014-12-08,22.23,22.8,22.23,22.76,182200,0
2014-12-09,22.78,23.0,22.45,22.97,131300,0
2014-12-10,23.09,23.12,22.66,22.78,120200,0
2014-12-11,23.0,23.67,22.98,23.33,168200,0
2014-12-12,23.41,23.62,22.56,22.78,146000,0
2014-12-15,22.86,22.9,22.3,22.55,228000,0
2014-12-16,22.53,23.19,22.35,22.9,108900,0
2014-12-17,22.86,23.45,22.62,23.23,114100,0
2014-12-18,23.3,23.73,22.9,23.0,185800,0
2014-12-19,23.14,23.5,22.68,23.04,192600,0
2014-12-22,23.0,23.49,22.5,22.79,98300,0
2014-12-23,22.76,23.33,22.76,23.18,177400,0
2014-12-24,23.21,23.61,23.21,23.48,43100,0
2014-12-26,23.5,23.68,23.4,23.49,25200,0
2014-12-29,23.52,23.52,22.83,23.02,40500,0
2014-12-30,22.86,23.25,22.71,22.89,40400,0
2014-12-31,22.92,23.34,22.71,22.9,81900,0
2015-01-02,22.93,23.02,22.31,22.82,127300,0
2015-01-05,22.65,22.99,22.61,22.75,57300,0
2015-01-06,22.58,22.77,21.22,21.34,71800,0
2015-01-07,21.18,21.82,20.94,21.76,43500,0
2015-01-08,22.01,22.82,21.86,22.76,79700,0
2015-01-09,22.67,22.82,22.04,22.29,53300,0
2015-01-12,22.26,22.48,21.65,22.44,50700,0
2015-01-13,22.36,22.78,21.56,21.91,79000,0
2015-01-14,21.8,22.19,21.6,22.0,70900,0
2015-01-15,21.88,21.97,21.24,21.78,78400,0
2015-01-16,21.66,22.18,21.59,21.77,14300,0
2015-01-20,21.33,21.33,19.58,20.38,171400,0
2015-01-21,20.27,20.57,19.31,20.26,142100,0
2015-01-22,20.28,20.76,19.78,20.45,76400,0
2015-01-23,20.47,21.2,20.25,21.08,54400,0
2015-01-26,21.03,21.57,20.76,21.57,30800,0
2015-01-27,21.35,21.75,20.6,21.15,66500,0
2015-01-28,21.36,21.36,20.38,20.5,58800,0
2015-01-29,20.61,21.12,20.1,20.77,115200,0
2015-01-30,20.43,21.68,20.43,21.0,68300,0
2015-02-02,21.14,21.5,20.79,21.0,95700,0
2015-02-03,21.1,21.35,20.7,20.97,46500,0
2015-02-04,20.71,21.5,20.71,21.18,66000,0
2015-02-05,21.02,21.77,21.02,21.46,38600,0
2015-02-06,21.36,21.5,20.02,20.24,178500,0
2015-02-09,20.41,20.41,19.76,20.21,62000,0
2015-02-10,19.75,20.07,19.54,19.76,94200,0
2015-02-11,19.56,20.13,19.47,19.74,65700,0
