Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,58.29,60.22,58.13,59.42,331600,0
2008-01-03,59.66,60.07,58.58,58.89,406500,0
2008-01-04,58.54,59.17,57.52,58.47,562800,0
2008-01-07,60.33,65.24,60.31,64.5,2134400,0
2008-01-08,65.95,71.22,65.64,67.21,1934500,0
2008-01-09,66.79,67.81,66.35,67.66,641900,0
2008-01-10,67.67,70.09,67.2,69.34,756100,0
2008-01-11,68.68,68.78,67.29,68.06,500200,0
2008-01-14,68.39,69.01,67.47,67.77,550100,0
2008-01-15,67.2,68.05,66.25,67.73,573400,0
2008-01-16,67.69,69.8,66.52,68.67,577600,0
2008-01-17,68.8,69.08,67.02,67.5,670900,0
2008-01-18,67.08,67.99,66.19,67.27,671600,0
2008-01-22,66.45,67.66,64.75,67.0,636500,0
2008-01-23,65.54,67.2,64.0,66.97,594000,0
2008-01-24,67.49,68.25,64.19,65.14,733600,0
2008-01-25,65.69,65.95,63.29,63.76,585600,0
2008-01-28,64.58,66.75,64.31,66.59,646800,0
2008-01-29,66.77,66.77,64.92,66.37,459500,0
2008-01-30,56.19,56.99,53.35,55.85,6559600,0
2008-01-31,55.03,56.87,54.42,56.3,1621500,0
2008-02-01,56.64,57.44,55.0,55.56,706100,0
2008-02-04,55.52,55.92,54.17,54.64,742500,0
2008-02-05,54.43,56.43,54.0,54.85,794500,0
2008-02-06,55.63,55.89,54.28,54.46,525700,0
2008-02-07,54.26,55.18,53.5,54.93,383500,0
2008-02-08,54.69,54.69,52.36,52.96,1058500,0
2008-02-11,52.72,53.4,51.59,51.59,1048800,0
2008-02-12,51.71,51.71,45.89,46.64,4179500,0
2008-02-13,46.91,47.59,44.0,47.52,2000900,0
2008-02-14,47.43,47.99,46.09,46.45,890200,0
2008-02-15,46.18,46.51,45.41,46.34,848100,0
2008-02-19,46.24,46.67,44.35,44.44,982500,0
2008-02-20,44.31,45.09,43.78,44.96,589700,0
2008-02-21,45.34,45.38,44.32,44.42,491100,0
2008-02-22,44.8,45.42,44.48,44.94,639400,0
2008-02-25,44.86,45.96,44.5,45.35,593200,0
2008-02-26,31.54,32.44,28.43,31.93,11416900,0
2008-02-27,32.47,33.45,31.87,32.7,2809900,0
2008-02-28,32.57,34.0,32.5,33.56,1641800,0
2008-02-29,33.64,35.74,33.25,34.35,2445600,0
2008-03-03,34.24,34.78,33.28,33.65,1237200,0
2008-03-04,33.35,33.75,32.81,33.43,890300,0
2008-03-05,33.63,35.47,32.97,35.42,1827400,0
2008-03-06,35.42,37.55,35.05,35.12,1407100,0
2008-03-07,35.21,35.4,34.36,34.55,675100,0
2008-03-10,34.63,35.02,33.78,34.27,813300,0
2008-03-11,34.92,34.96,31.39,33.17,1873100,0
2008-03-12,33.04,34.35,32.78,33.23,1086000,0
2008-03-13,32.83,33.1,31.57,32.42,1252000,0
2008-03-14,32.5,33.36,32.38,32.86,981500,0
2008-03-17,31.87,31.94,30.57,30.73,856500,0
2008-03-18,30.72,34.3,30.55,32.0,1590000,0
2008-03-19,31.51,34.5,31.28,32.87,1801400,0
2008-03-20,33.36,34.15,32.11,33.61,1361100,0
2008-03-24,34.37,34.75,33.85,34.04,978800,0
2008-03-25,34.09,34.38,33.8,34.34,544400,0
2008-03-26,33.95,34.42,33.63,34.31,600900,0
2008-03-27,34.32,37.12,34.3,35.36,1146600,0
2008-03-28,35.34,36.73,35.07,36.13,750000,0
2008-03-31,36.0,36.52,35.24,35.34,715100,0
2008-04-01,35.66,37.18,35.35,37.04,570000,0
2008-04-02,37.15,37.65,36.96,37.27,694900,0
2008-04-03,37.04,37.35,35.73,36.03,649800,0
2008-04-04,36.41,36.41,33.95,35.62,1125300,0
2008-04-07,35.82,35.87,34.87,34.92,657100,0
2008-04-08,34.78,35.62,34.58,35.35,679900,0
2008-04-09,35.47,36.0,34.98,34.99,613100,0
2008-04-10,35.12,36.1,34.94,35.74,526700,0
2008-04-11,35.56,35.86,35.26,35.4,431900,0
2008-04-14,35.44,35.47,34.78,35.14,320800,0
2008-04-15,35.31,35.35,34.68,34.71,502200,0
2008-04-16,35.12,36.55,34.75,36.53,599700,0
2008-04-17,36.44,37.0,35.87,36.09,550000,0
2008-04-18,36.42,37.17,36.26,36.64,503400,0
2008-04-21,36.66,37.02,36.32,36.66,349300,0
2008-04-22,36.5,36.84,35.72,35.96,244600,0
2008-04-23,36.04,36.87,35.55,36.8,316200,0
2008-04-24,36.89,37.42,36.25,36.85,297600,0
2008-04-25,37.04,37.79,36.44,37.03,287100,0
2008-04-28,36.94,37.03,36.2,36.52,406500,0
2008-04-29,36.62,36.77,35.93,36.32,228900,0
2008-04-30,36.35,37.18,36.1,36.53,272400,0
2008-05-01,36.61,37.23,36.03,36.14,463800,0
2008-05-02,36.6,36.72,33.33,33.33,1302100,0
2008-05-05,33.2,34.51,32.68,32.74,1202700,0
2008-05-06,32.69,33.25,30.71,31.19,1365400,0
2008-05-07,32.6,34.87,32.35,32.52,1674000,0
2008-05-08,32.4,32.61,31.72,31.91,592700,0
2008-05-09,31.77,32.36,31.72,31.91,328700,0
2008-05-12,32.0,32.0,30.69,31.24,421400,0
2008-05-13,31.31,31.31,29.76,30.0,556500,0
2008-05-14,29.97,31.7,29.68,31.63,1045800,0
2008-05-15,31.56,31.71,30.6,30.97,402900,0
2008-05-16,31.06,31.06,29.8,30.04,429000,0
