Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,25.62,25.68,25.18,25.25,591800,0
2008-01-03,25.22,25.43,25.08,25.12,492000,0
2008-01-04,24.84,25.36,24.84,24.99,950000,0
2008-01-07,25.05,25.48,24.98,25.4,742400,0
2008-01-08,25.38,25.53,25.07,25.1,604000,0
2008-01-09,25.07,25.25,24.93,25.01,1113600,0
2008-01-10,24.88,25.42,24.6,24.64,1981800,0
2008-01-11,24.43,24.62,24.04,24.08,1512000,0
2008-01-14,24.2,24.45,24.0,24.09,969400,0
2008-01-15,23.92,24.37,23.86,24.24,1250000,0
2008-01-16,24.19,24.29,23.99,24.12,908800,0
2008-01-17,24.26,24.74,24.1,24.17,782800,0
2008-01-18,24.25,24.28,23.93,24.18,1361600,0
2008-01-22,23.26,24.28,23.26,23.74,1238200,0
2008-01-23,23.36,23.5,23.1,23.36,1187800,0
2008-01-24,23.45,23.58,23.18,23.5,1032400,0
2008-01-25,23.58,23.65,23.33,23.4,1197600,0
2008-01-28,23.39,23.76,23.39,23.75,735000,0
2008-01-29,23.81,24.33,23.81,24.2,804600,0
2008-01-30,24.05,24.3,23.67,23.72,1005400,0
2008-01-31,23.42,23.82,23.42,23.57,1276000,0
2008-02-01,23.77,24.68,23.53,24.62,1182400,0
2008-02-04,24.7,25.05,24.43,25.0,990600,0
2008-02-05,24.6,25.48,24.52,25.18,1423800,0
2008-02-06,25.21,25.43,24.67,24.68,1006400,0
2008-02-07,24.59,24.89,24.33,24.53,908400,0
2008-02-08,24.44,24.7,23.85,24.23,1106600,0
2008-02-11,24.2,24.43,23.97,24.19,600200,0
2008-02-12,24.27,24.47,24.14,24.43,730000,0
2008-02-13,24.6,24.7,23.99,24.31,1617800,0
2008-02-14,24.34,24.76,24.33,24.68,1046800,0
2008-02-15,24.59,25.08,24.56,24.99,847200,0
2008-02-19,25.2,25.25,24.85,24.86,759200,0
2008-02-20,24.8,25.29,24.75,25.15,406200,0
2008-02-21,25.24,25.41,24.49,24.61,849600,0
2008-02-22,24.6,25.2,24.23,25.12,2016000,0
2008-02-25,25.16,25.58,25.01,25.42,871000,0
2008-02-26,25.38,25.76,25.38,25.6,969200,0
2008-02-27,25.39,25.81,25.34,25.61,873400,0
2008-02-28,25.45,25.75,25.25,25.52,1197400,0
2008-02-29,26.16,27.46,25.6,26.71,3034400,0
2008-03-03,26.55,27.16,26.55,27.12,1610600,0
2008-03-04,26.89,27.44,26.73,27.23,1302000,0
2008-03-05,27.41,27.41,26.93,27.11,963200,0
2008-03-06,27.02,27.1,26.78,26.9,1062000,0
2008-03-07,26.72,27.38,26.41,26.53,1287600,0
2008-03-10,26.59,26.74,26.28,26.59,708600,0
2008-03-11,27.15,27.15,25.64,25.91,1806400,0
2008-03-12,25.69,26.62,25.64,26.28,745600,0
2008-03-13,25.8,26.27,25.57,26.11,767800,0
2008-03-14,26.27,26.61,25.7,26.47,1127200,0
2008-03-17,25.96,26.21,25.45,25.67,886000,0
2008-03-18,26.16,26.43,24.92,25.54,1327600,0
2008-03-19,25.61,26.33,25.5,25.64,990400,0
2008-03-20,25.61,25.98,25.24,25.87,1650600,0
2008-03-24,25.9,25.91,25.53,25.8,1038800,0
2008-03-25,25.95,26.18,25.65,26.13,654600,0
2008-03-26,26.1,26.16,25.65,25.75,902200,0
2008-03-27,25.99,26.77,25.77,26.72,1007600,0
2008-03-28,26.71,27.15,26.5,26.97,1348200,0
2008-03-31,26.84,27.11,26.51,26.84,982000,0
2008-04-01,26.94,27.61,26.93,27.56,927800,0
2008-04-02,27.69,27.69,27.08,27.47,1034200,0
2008-04-03,27.34,27.98,27.15,27.9,866000,0
2008-04-04,28.05,28.05,27.33,27.42,949400,0
2008-04-07,27.66,28.29,27.5,28.14,1376600,0
2008-04-08,28.0,28.61,28.0,28.54,1336800,0
2008-04-09,28.51,28.61,28.28,28.43,671800,0
2008-04-10,28.44,28.44,28.17,28.37,704200,0
2008-04-11,28.14,28.25,27.57,27.71,989200,0
2008-04-14,27.76,28.42,27.72,28.37,931200,0
2008-04-15,28.48,28.52,27.91,27.99,1310800,0
2008-04-16,28.17,28.58,27.89,28.48,966400,0
2008-04-17,28.48,28.5,28.0,28.25,638000,0
2008-04-18,28.5,30.0,28.2,28.24,664000,0
2008-04-21,28.05,28.56,28.05,28.48,1652600,0
2008-04-22,28.24,28.42,27.89,27.92,1493200,0
2008-04-23,27.98,28.77,27.81,28.54,1432400,0
2008-04-24,28.49,28.97,28.11,28.76,916800,0
2008-04-25,31.32,31.75,30.68,31.19,3913600,0
2008-04-28,31.1,31.57,30.66,31.45,1442600,0
2008-04-29,30.94,31.33,30.03,31.19,2466400,0
2008-04-30,31.19,31.5,30.94,31.32,2306200,0
2008-05-01,31.02,31.42,30.63,30.77,1505400,0
2008-05-02,30.92,31.07,30.42,30.53,1749400,0
2008-05-05,30.5,31.73,30.5,31.44,1833400,0
2008-05-06,31.27,31.74,30.88,31.05,998400,0
2008-05-07,31.12,31.44,30.85,30.91,1498000,0
2008-05-08,31.0,31.33,30.94,31.0,900000,0
2008-05-09,30.87,31.63,30.67,31.5,728400,0
2008-05-12,31.61,31.64,31.31,31.57,722000,0
2008-05-13,31.62,31.62,31.17,31.4,659200,0
2008-05-14,31.42,31.61,30.83,30.91,1544200,0
2008-05-15,31.02,31.46,30.58,31.4,861000,0
2008-05-16,31.7,31.7,31.08,31.24,426800,0
2008-05-19,31.38,32.01,31.38,31.81,938200,0
2008-05-20,31.85,32.1,31.53,31.66,757600,0
2008-05-21,31.85,32.71,31.66,31.7,1653800,0
2008-05-22,31.59,32.13,31.39,31.97,789600,0
2008-05-23,31.7,32.2,31.43,31.62,644200,0
2008-05-27,31.58,32.44,31.58,31.94,894600,0
2008-05-28,32.15,32.26,31.52,31.93,534400,0
2008-05-29,32.15,32.56,31.91,32.44,924000,0
2008-05-30,32.55,32.94,32.24,32.5,892600,0
2008-06-02,32.51,32.51,31.28,31.86,1552800,0
2008-06-03,31.74,32.15,31.67,32.12,1963600,0
2008-06-04,31.94,32.07,31.55,31.84,1129800,0
2008-06-05,32.04,32.42,31.88,32.12,1075600,0
2008-06-06,31.95,31.96,31.24,31.34,934000,0
2008-06-09,31.25,31.76,30.96,31.58,1487800,0
2008-06-10,31.44,31.75,31.09,31.49,1283800,0
2008-06-11,31.42,31.42,30.08,30.22,1554600,0
2008-06-12,30.35,31.25,30.25,30.9,1173600,0
2008-06-13,30.09,30.84,30.01,30.83,1123000,0
2008-06-16,30.75,30.95,30.4,30.81,611200,0
2008-06-17,30.83,31.0,30.65,30.81,662200,0
2008-06-18,30.72,31.0,30.42,30.75,640000,0
2008-06-19,30.71,31.12,30.35,30.99,1211600,0
2008-06-20,30.75,31.17,30.75,30.94,1364000,0
2008-06-23,31.11,31.11,30.57,30.67,1046000,0
2008-06-24,30.64,31.68,30.64,31.44,1826800,0
2008-06-25,31.49,31.86,31.41,31.63,1054000,0
2008-06-26,31.58,32.0,31.26,31.6,1021800,0
2008-06-27,31.52,31.92,31.2,31.69,1569800,0
2008-06-30,31.6,32.15,31.55,31.61,842200,0
2008-07-01,31.34,31.72,31.05,31.55,971200,0
2008-07-02,31.83,32.5,31.58,32.0,1909200,0
2008-07-03,32.03,32.27,31.64,32.17,1055800,0
2008-07-07,32.2,32.62,31.32,31.73,1613000,0
2008-07-08,31.7,31.83,31.02,31.42,1363400,0
2008-07-09,31.43,32.19,31.35,31.8,1124200,0
2008-07-10,31.75,32.01,31.48,31.86,824200,0
2008-07-11,30.12,31.03,29.88,30.5,3881000,0
2008-07-14,30.68,30.9,30.08,30.27,1031200,0
2008-07-15,30.25,30.84,30.02,30.69,1077200,0
2008-07-16,30.75,31.38,30.75,31.28,1457800,0
2008-07-17,31.22,31.33,30.37,30.99,1940000,0
2008-07-18,31.03,31.35,30.6,30.7,924600,0
2008-07-21,30.7,30.7,29.95,29.99,1595800,0
2008-07-22,29.81,30.58,29.59,30.51,1442000,0
2008-07-23,30.31,30.42,29.44,29.74,2163800,0
2008-07-24,29.69,29.82,29.5,29.59,872600,0
2008-07-25,29.77,30.02,29.47,29.56,1635000,0
2008-07-28,29.76,30.14,29.4,30.02,2037000,0
2008-07-29,31.59,31.59,30.11,30.25,4105800,0
2008-07-30,30.53,33.0,30.08,30.5,2365400,0
2008-07-31,29.4,30.86,29.15,30.31,1486800,0
2008-08-01,30.15,30.77,29.74,30.6,1146600,0
2008-08-04,30.67,31.14,30.58,31.05,1464200,0
2008-08-05,31.05,31.05,30.05,30.6,1875400,0
2008-08-06,30.65,30.65,29.81,30.3,1572600,0
2008-08-07,30.05,30.22,29.75,29.88,1642600,0
2008-08-08,29.73,30.17,29.59,30.02,1196200,0
2008-08-11,30.02,30.31,29.92,30.22,1321600,0
2008-08-12,30.22,30.22,29.75,30.0,951600,0
2008-08-13,29.95,31.0,29.77,30.82,1293800,0
2008-08-14,30.7,31.8,30.7,31.58,1502200,0
2008-08-15,28.5,32.38,28.5,32.33,1434800,0
2008-08-18,32.17,32.5,31.38,31.54,911600,0
2008-08-19,31.39,31.96,31.39,31.7,650200,0
2008-08-20,31.74,31.8,31.13,31.32,473800,0
2008-08-21,31.2,31.68,31.02,31.5,714400,0
2008-08-22,31.62,31.76,31.33,31.5,999800,0
2008-08-25,31.49,31.49,30.55,31.03,668600,0
2008-08-26,31.11,31.11,30.5,30.94,760800,0
2008-08-27,31.06,31.72,30.78,31.37,997600,0
2008-08-28,31.35,31.48,31.17,31.34,779000,0
2008-08-29,31.17,31.39,30.84,30.89,934000,0
2008-09-02,31.12,31.5,30.64,31.03,1017000,0
2008-09-03,31.07,31.26,31.0,31.09,517800,0
2008-09-04,31.0,31.09,30.82,30.94,1309800,0
2008-09-05,30.92,31.25,30.72,31.18,1145600,0
2008-09-08,31.68,31.73,31.11,31.34,1115600,0
2008-09-09,31.29,31.9,31.12,31.7,1510800,0
2008-09-10,31.93,31.99,31.39,31.57,1910600,0
2008-09-11,31.48,32.47,31.09,32.47,2155000,0
2008-09-12,32.33,32.81,32.05,32.54,1210200,0
