Date,Open,High,Low,Close,Volume,Dividend
2014-10-01,17.01,18.71,16.01,16.01,24800200,0
2014-10-02,16.25,16.38,14.5,14.7,6265700,0
2014-10-03,15.3,15.3,13.52,13.75,3092300,0
2014-10-06,13.75,14.0,12.0,13.05,3151400,0
2014-10-07,12.95,14.65,12.77,13.93,2101800,0
2014-10-08,14.34,14.74,13.6,13.77,1169300,0
2014-10-09,13.65,14.0,12.24,12.37,1482000,0
2014-10-10,12.37,12.82,11.56,11.83,1124100,0
2014-10-13,11.62,12.5,11.0,11.09,851400,0
2014-10-14,11.1,11.45,10.56,10.78,1047700,0
2014-10-15,10.7,10.7,9.66,10.47,1348700,0
2014-10-16,10.0,11.99,9.94,11.88,770700,0
2014-10-17,12.32,13.68,12.26,12.61,1008700,0
2014-10-20,12.48,12.94,12.12,12.53,482000,0
2014-10-21,12.81,13.68,12.56,13.66,537800,0
2014-10-22,13.97,13.97,13.1,13.16,554800,0
2014-10-23,13.49,13.55,12.88,13.07,325200,0
2014-10-24,13.01,13.83,13.01,13.64,343900,0
2014-10-27,14.1,14.7,13.6,13.74,906800,0
2014-10-28,13.66,14.14,13.65,14.03,375200,0
2014-10-29,14.21,14.21,13.57,13.72,233700,0
2014-10-30,14.04,14.19,13.61,13.75,351900,0
2014-10-31,13.99,14.35,13.71,14.08,645800,0
2014-11-03,14.05,15.45,13.99,14.96,1023500,0
2014-11-04,14.88,15.3,14.54,14.96,629300,0
2014-11-05,15.1,15.14,13.64,14.12,906400,0
2014-11-06,14.09,14.48,13.74,14.18,466400,0
2014-11-07,14.0,14.26,13.86,14.24,430400,0
2014-11-10,14.21,15.0,14.2,14.74,927000,0
2014-11-11,13.0,13.0,11.18,11.42,4273500,0
2014-11-12,11.67,12.4,11.56,12.33,1522000,0
2014-11-13,12.48,12.57,11.6,11.7,828600,0
2014-11-14,11.91,12.19,11.78,11.93,650800,0
2014-11-17,11.9,12.0,11.31,11.37,693700,0
2014-11-18,11.3,11.76,11.22,11.25,621200,0
2014-11-19,11.18,11.34,10.65,10.71,748600,0
2014-11-20,10.6,11.13,10.52,10.75,616900,0
2014-11-21,10.99,11.04,10.75,10.87,527200,0
2014-11-24,10.94,10.95,10.57,10.66,548100,0
2014-11-25,10.67,10.84,10.58,10.67,779000,0
2014-11-26,10.7,10.7,10.15,10.19,838600,0
2014-11-28,10.01,10.1,9.76,10.1,492800,0
2014-12-01,10.02,10.09,9.02,9.03,1061200,0
2014-12-02,9.16,9.35,8.01,8.48,1838800,0
2014-12-03,8.75,9.56,8.64,9.45,1108800,0
2014-12-04,9.25,9.47,9.0,9.27,433600,0
2014-12-05,9.27,10.15,9.27,10.03,889600,0
2014-12-08,10.0,10.02,9.03,9.12,776600,0
2014-12-09,8.85,9.2,8.5,9.14,594800,0
2014-12-10,9.04,9.05,8.5,8.6,717500,0
2014-12-11,8.7,8.73,7.97,8.0,1279100,0
2014-12-12,7.93,8.39,7.42,8.08,1530900,0
2014-12-15,8.59,8.9,8.16,8.19,1265400,0
2014-12-16,8.1,8.85,8.04,8.15,1345400,0
2014-12-17,8.2,8.83,7.9,8.82,1422400,0
2014-12-18,9.02,9.48,8.77,9.45,1993800,0
2014-12-19,9.45,9.5,9.1,9.31,3955600,0
2014-12-22,9.33,9.5,8.86,8.96,776300,0
2014-12-23,8.98,9.03,8.51,8.79,684300,0
2014-12-24,8.84,9.0,8.78,8.97,200600,0
2014-12-26,9.09,9.48,8.98,9.45,825900,0
2014-12-29,9.35,9.68,9.31,9.52,827200,0
2014-12-30,9.48,9.57,9.4,9.48,1186900,0
2014-12-31,9.42,9.45,9.09,9.22,679400,0
2015-01-02,9.22,9.32,8.81,9.24,619000,0
2015-01-05,9.05,9.12,8.72,8.75,901700,0
2015-01-06,8.75,8.88,8.23,8.49,750100,0
2015-01-07,8.57,8.59,8.03,8.16,848000,0
2015-01-08,8.24,8.32,8.09,8.3,527900,0
2015-01-09,8.32,8.59,8.26,8.51,326100,0
2015-01-12,8.49,8.55,8.02,8.34,603900,0
2015-01-13,8.5,9.35,8.38,9.24,1129100,0
2015-01-14,9.03,9.48,8.98,9.37,756600,0
2015-01-15,9.38,9.48,8.51,8.54,563300,0
2015-01-16,8.54,8.66,8.3,8.48,498300,0
2015-01-20,8.5,8.5,8.13,8.25,484400,0
2015-01-21,8.19,8.25,8.05,8.18,543500,0
2015-01-22,8.18,8.21,8.07,8.2,427500,0
2015-01-23,8.21,8.21,8.05,8.1,359400,0
2015-01-26,8.13,8.38,8.05,8.36,791000,0
2015-01-27,8.22,8.34,8.12,8.18,495500,0
2015-01-28,8.25,8.31,8.09,8.11,369800,0
2015-01-29,8.13,8.2,7.7,8.18,536500,0
2015-01-30,8.17,8.21,7.89,7.94,414600,0
2015-02-02,7.99,8.37,7.96,8.26,587500,0
2015-02-03,8.35,9.08,8.35,8.96,920200,0
2015-02-04,8.9,9.0,8.29,8.31,762000,0
2015-02-05,8.39,8.49,8.22,8.25,497400,0
2015-02-06,8.3,8.45,8.15,8.19,556400,0
2015-02-09,8.2,8.4,8.2,8.3,428700,0
2015-02-10,8.42,8.47,8.14,8.2,388200,0
2015-02-11,8.23,8.25,8.01,8.04,744400,0
2015-02-12,8.14,8.4,8.1,8.33,689700,0
2015-02-13,8.39,8.45,8.15,8.39,461000,0
2015-02-17,8.5,8.5,8.17,8.25,546500,0
2015-02-18,8.25,8.4,8.25,8.4,441600,0
2015-02-19,8.3,8.3,8.13,8.27,718200,0
2015-02-20,8.32,8.32,8.01,8.14,638500,0
2015-02-23,8.19,8.24,8.01,8.08,499300,0
2015-02-24,8.27,8.29,8.04,8.06,697500,0
2015-02-25,8.13,8.19,8.02,8.08,374300,0
2015-02-26,8.2,8.2,8.05,8.17,364800,0
2015-02-27,8.19,8.28,8.05,8.07,592800,0
2015-03-02,8.07,8.24,8.03,8.13,754800,0
2015-03-03,8.19,8.21,8.05,8.14,716600,0
2015-03-04,8.22,8.67,8.19,8.53,2106100,0
2015-03-05,9.39,11.8,9.25,11.35,9010400,0
2015-03-06,11.46,11.5,10.53,10.72,3305900,0
2015-03-09,10.84,11.55,10.34,11.52,2551700,0
2015-03-10,11.34,11.77,11.01,11.5,2086100,0
2015-03-11,11.65,12.05,11.23,11.62,2137700,0
2015-03-12,11.73,11.92,11.59,11.8,1080000,0
2015-03-13,11.85,11.87,11.11,11.46,1184300,0
2015-03-16,11.57,11.64,10.71,10.9,1626200,0
2015-03-17,10.79,12.4,10.52,12.23,2618900,0
2015-03-18,12.26,12.63,11.92,12.43,1948400,0
2015-03-19,12.34,13.56,12.34,13.13,2957100,0
2015-03-20,13.38,13.42,12.74,12.93,1608400,0
2015-03-23,12.94,12.97,12.24,12.29,1313100,0
2015-03-24,12.47,12.65,12.17,12.52,758900,0
2015-03-25,12.69,12.86,11.83,12.02,1357900,0
2015-03-26,12.04,12.15,11.53,11.66,962100,0
2015-03-27,11.79,12.54,11.65,11.95,1331000,0
2015-03-30,12.0,12.29,11.66,11.81,759800,0
2015-03-31,11.74,12.16,11.58,12.14,652500,0
2015-04-01,12.15,12.21,11.69,11.99,676800,0
2015-04-02,12.05,12.4,11.85,12.21,789900,0
2015-04-06,12.2,12.4,12.04,12.36,626400,0
2015-04-07,12.46,12.7,12.24,12.31,912400,0
2015-04-08,12.31,12.59,12.07,12.31,615200,0
2015-04-09,12.27,12.8,12.23,12.77,925900,0
2015-04-10,12.9,13.32,12.8,13.03,811100,0
2015-04-13,13.13,13.34,12.96,13.1,429100,0
2015-04-14,13.18,13.21,12.91,13.03,468600,0
2015-04-15,13.01,13.65,12.95,13.33,849400,0
2015-04-16,13.33,14.23,13.32,14.06,1139200,0
2015-04-17,14.02,14.02,13.32,13.45,1318100,0
2015-04-20,13.7,14.32,13.43,14.16,982200,0
2015-04-21,14.35,14.65,13.91,13.97,855900,0
2015-04-22,14.0,14.4,13.91,14.33,675500,0
2015-04-23,14.35,14.86,14.23,14.7,884800,0
2015-04-24,14.79,14.89,14.31,14.5,630100,0
2015-04-27,14.62,14.75,14.21,14.24,733400,0
2015-04-28,14.3,14.63,14.08,14.58,450900,0
2015-04-29,14.49,14.62,14.31,14.42,383500,0
2015-04-30,14.3,14.37,13.92,14.12,768800,0
2015-05-01,14.11,14.36,13.86,14.17,549100,0
2015-05-04,14.17,14.7,14.14,14.46,615000,0
2015-05-05,14.5,14.6,14.16,14.27,447500,0
2015-05-06,14.27,14.4,13.97,14.22,491200,0
2015-05-07,14.26,14.26,13.88,13.94,709700,0
2015-05-08,14.15,14.85,14.11,14.69,812000,0
2015-05-11,14.75,15.28,14.51,14.77,1034000,0
2015-05-12,14.71,15.05,14.35,14.97,1446100,0
2015-05-13,13.7,14.46,13.0,14.42,4540800,0
2015-05-14,14.34,14.39,13.62,14.15,1758600,0
2015-05-15,14.13,14.13,13.6,13.92,1388200,0
2015-05-18,13.83,14.09,13.66,14.01,828900,0
2015-05-19,13.9,14.15,13.76,13.9,862000,0
2015-05-20,14.1,14.55,13.99,14.29,1070900,0
2015-05-21,14.28,14.81,14.27,14.61,778000,0
2015-05-22,14.57,15.14,14.55,15.1,783700,0
2015-05-26,15.02,15.15,14.56,14.6,790400,0
2015-05-27,14.6,14.82,14.48,14.6,501200,0
2015-05-28,14.56,14.64,14.16,14.58,488100,0
2015-05-29,14.57,14.69,14.23,14.4,720600,0
2015-06-01,14.46,14.49,13.81,14.02,984900,0
2015-06-02,14.02,14.16,13.7,13.99,723700,0
2015-06-03,14.03,14.3,13.9,14.17,706500,0
2015-06-04,14.1,14.3,13.75,14.15,963700,0
2015-06-05,14.1,14.22,13.84,14.08,596500,0
2015-06-08,14.05,14.12,13.43,13.61,658200,0
2015-06-09,13.71,13.71,13.15,13.19,908600,0
2015-06-10,13.23,13.47,13.03,13.1,892500,0
2015-06-11,13.21,13.21,12.78,13.04,818600,0
2015-06-12,13.0,13.17,12.94,13.07,434100,0
2015-06-15,12.95,13.44,12.95,13.3,457600,0
2015-06-16,13.25,13.65,13.25,13.48,492000,0
2015-06-17,13.6,13.94,13.57,13.69,486900,0
2015-06-18,13.72,13.91,13.64,13.72,474900,0
2015-06-19,13.84,13.94,13.6,13.74,500600,0
2015-06-22,13.83,13.97,13.64,13.73,382900,0
2015-06-23,13.72,13.78,13.59,13.65,302900,0
2015-06-24,13.63,13.68,13.41,13.55,359700,0
2015-06-25,13.57,13.98,13.33,13.38,424100,0
2015-06-26,13.38,13.55,13.16,13.42,640000,0
2015-06-29,13.15,13.2,12.01,12.05,1132800,0
2015-06-30,12.15,12.25,11.52,12.17,1144700,0
2015-07-01,12.25,12.34,11.55,11.66,906100,0
2015-07-02,11.68,11.74,10.77,10.94,1615600,0
2015-07-06,10.81,10.88,9.97,10.19,1784000,0
2015-07-07,10.23,10.87,9.91,10.75,1696000,0
2015-07-08,10.65,10.94,10.13,10.17,655600,0
2015-07-09,10.35,10.99,10.3,10.95,992600,0
2015-07-10,11.13,11.4,10.88,11.34,823500,0
2015-07-13,11.4,11.49,11.03,11.45,623300,0
2015-07-14,11.43,11.57,11.15,11.24,591600,0
2015-07-15,11.25,11.45,10.84,11.11,814300,0
2015-07-16,11.02,11.19,10.75,10.89,480900,0
2015-07-17,10.89,11.0,10.68,10.88,399900,0
2015-07-20,15.66,15.93,15.6,15.75,13066400,0
2015-07-21,15.65,16.0,15.6,15.85,3306600,0
2015-07-22,15.62,15.98,15.4,15.84,1983200,0
2015-07-23,15.89,15.9,15.72,15.79,1325500,0
2015-07-24,15.77,15.87,15.61,15.85,1236400,0
2015-07-27,15.69,15.9,15.67,15.86,704200,0
2015-07-28,15.8,15.97,15.61,15.83,795900,0
2015-07-29,15.78,15.94,15.65,15.7,494200,0
2015-07-30,15.65,15.8,15.6,15.67,438400,0
2015-07-31,15.52,15.65,15.09,15.26,1477200,0
2015-08-03,15.25,15.48,15.1,15.19,644000,0
2015-08-04,15.15,15.51,15.15,15.16,610700,0
2015-08-05,15.2,15.32,14.92,15.0,567000,0
2015-08-06,15.0,15.05,13.45,13.69,1146100,0
2015-08-07,13.53,13.71,13.19,13.32,799900,0
2015-08-10,13.37,13.5,13.01,13.31,576000,0
2015-08-11,13.15,13.37,12.69,12.73,968400,0
2015-08-12,12.58,13.1,11.1,12.96,1697000,0
2015-08-13,12.7,14.04,12.58,13.6,753600,0
2015-08-14,13.53,13.97,13.49,13.64,301400,0
2015-08-17,13.47,13.9,13.37,13.85,307500,0
2015-08-18,13.88,13.9,13.29,13.58,238700,0
2015-08-19,13.43,13.54,13.16,13.38,226500,0
2015-08-20,13.37,13.41,12.97,13.17,317800,0
2015-08-21,12.93,13.17,12.41,12.48,470600,0
2015-08-24,11.76,12.79,11.01,11.85,394200,0
