Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,17.36,18.05,16.9,16.99,2010500,0
2008-01-03,17.12,17.32,16.47,16.52,2029200,0
2008-01-04,16.45,16.65,15.93,16.02,1359500,0
2008-01-07,16.09,16.38,15.68,16.01,1185000,0
2008-01-08,16.1,16.33,15.59,15.62,1100800,0
2008-01-09,15.59,15.78,15.26,15.74,1438200,0
2008-01-10,15.59,16.37,15.46,16.09,910900,0
2008-01-11,15.92,16.4,15.58,16.12,1555700,0
2008-01-14,16.45,17.2,16.37,16.79,1702600,0
2008-01-15,16.59,16.86,16.27,16.4,1213500,0
2008-01-16,16.29,16.9,16.15,16.25,1716700,0
2008-01-17,16.34,16.84,16.1,16.2,1687300,0
2008-01-18,16.2,16.76,16.15,16.72,1597000,0
2008-01-22,16.25,17.16,15.29,17.0,1784800,0
2008-01-23,17.0,19.24,16.5,19.03,2932200,0
2008-01-24,19.11,19.17,18.16,18.65,2095300,0
2008-01-25,18.82,19.5,18.66,18.89,2260100,0
2008-01-28,18.62,19.49,18.41,19.3,1860300,0
2008-01-29,19.3,19.95,19.19,19.74,1235500,0
2008-01-30,19.58,20.51,19.35,19.4,1679300,0
2008-01-31,19.11,20.46,18.93,20.37,2244000,0
2008-02-01,20.45,20.48,19.78,20.32,1082500,0
2008-02-04,20.22,20.45,19.62,19.7,1332900,0
2008-02-05,19.33,20.12,19.32,19.64,1379000,0
2008-02-06,19.78,19.86,19.07,19.11,1033400,0
2008-02-07,19.11,19.63,18.95,19.5,1254800,0
2008-02-08,19.3,19.84,19.0,19.27,752900,0
2008-02-11,19.24,19.38,18.91,19.07,820300,0
2008-02-12,19.13,19.46,19.03,19.13,690600,0
2008-02-13,19.33,19.5,17.57,18.26,3202300,0
2008-02-14,18.3,18.49,17.93,18.0,2077200,0
2008-02-15,18.65,18.76,17.85,18.34,1565200,0
2008-02-19,18.57,18.57,17.72,17.91,1175800,0
2008-02-20,17.84,18.31,17.64,18.12,1235900,0
2008-02-21,18.26,18.49,18.12,18.15,1408700,0
2008-02-22,18.17,18.29,17.62,18.02,1239200,0
2008-02-25,17.97,18.51,17.83,18.45,1185500,0
2008-02-26,18.37,18.86,18.12,18.81,990900,0
2008-02-27,18.81,19.25,18.52,18.84,1456500,0
2008-02-28,18.7,18.7,18.07,18.15,1163900,0
2008-02-29,17.92,18.15,17.75,17.79,1096400,0
2008-03-03,18.03,18.13,17.72,17.99,1055500,0
2008-03-04,17.8,18.77,17.79,18.58,1835100,0
2008-03-05,18.63,18.98,18.39,18.76,840300,0
2008-03-06,18.62,18.75,18.08,18.08,685600,0
2008-03-07,17.89,18.61,17.89,18.25,906900,0
2008-03-10,18.28,18.55,17.9,17.92,849300,0
2008-03-11,18.37,18.74,17.97,18.7,1205000,0
2008-03-12,17.76,18.24,17.57,17.65,1902100,0
2008-03-13,17.51,18.44,17.13,18.14,2302000,0
2008-03-14,18.31,18.37,17.85,18.02,2206900,0
2008-03-17,17.7,18.33,17.7,18.07,1376600,0
2008-03-18,18.33,18.54,17.99,18.5,1707000,0
2008-03-19,17.53,18.19,17.0,17.02,3247900,0
2008-03-20,17.15,17.96,17.04,17.85,2551900,0
2008-03-24,18.0,19.66,17.92,19.66,3069200,0
2008-03-25,19.7,19.75,18.93,19.1,2352400,0
2008-03-26,19.0,19.08,18.61,18.82,945800,0
2008-03-27,18.53,18.99,18.24,18.71,1234400,0
2008-03-28,18.49,18.79,18.25,18.26,1041300,0
2008-03-31,18.21,18.71,17.92,18.56,1220000,0
2008-04-01,18.85,19.3,18.45,19.11,1927800,0
2008-04-02,19.19,19.45,18.8,19.29,920100,0
2008-04-03,19.12,19.61,18.92,19.56,853900,0
2008-04-04,19.61,19.7,19.16,19.4,640600,0
2008-04-07,19.47,19.8,19.21,19.44,928800,0
2008-04-08,19.23,19.69,18.98,19.46,1197100,0
2008-04-09,19.2,19.2,18.25,18.31,1551600,0
2008-04-10,18.3,18.74,18.13,18.37,1517600,0
2008-04-11,18.24,18.47,17.95,18.12,1329500,0
2008-04-14,18.01,18.24,17.85,17.91,953800,0
2008-04-15,17.92,18.54,17.77,18.45,1352400,0
2008-04-16,18.59,19.21,18.36,19.11,1881500,0
2008-04-17,18.19,18.4,17.54,17.86,3758700,0
2008-04-18,18.15,18.87,17.74,18.67,2945300,0
2008-04-21,18.47,18.54,18.2,18.49,1098900,0
2008-04-22,18.38,18.5,18.0,18.32,1298900,0
2008-04-23,18.41,18.46,18.08,18.25,676700,0
2008-04-24,18.3,18.96,18.0,18.91,1051300,0
2008-04-25,19.0,19.13,18.81,19.01,1071300,0
2008-04-28,19.0,19.49,18.84,19.46,950900,0
2008-04-29,19.46,19.73,19.43,19.65,716800,0
2008-04-30,19.65,19.86,19.43,19.45,1313900,0
2008-05-01,19.2,20.92,19.2,20.8,1512400,0
2008-05-02,20.91,21.12,19.87,20.22,1834600,0
2008-05-05,20.05,20.19,19.67,19.8,930800,0
2008-05-06,19.7,20.02,19.57,19.91,1625000,0
2008-05-07,19.94,20.2,19.19,19.2,1417800,0
2008-05-08,19.24,19.52,19.0,19.3,811000,0
2008-05-09,19.07,19.26,18.98,19.08,1095400,0
2008-05-12,18.97,19.25,18.73,19.25,1422500,0
2008-05-13,19.22,19.4,18.93,18.98,1601100,0
2008-05-14,19.1,19.33,18.87,19.13,1597000,0
2008-05-15,19.09,19.24,18.84,19.05,1608300,0
2008-05-16,19.19,19.49,18.24,18.77,1080700,0
2008-05-19,18.45,19.12,18.45,18.64,1996600,0
2008-05-20,18.54,18.72,18.31,18.41,2592900,0
2008-05-21,18.36,18.78,17.92,18.06,2690700,0
2008-05-22,18.09,18.8,17.9,18.5,1545100,0
2008-05-23,18.38,18.48,18.13,18.16,1576000,0
2008-05-27,18.16,18.69,18.04,18.64,2071000,0
2008-05-28,18.7,18.88,18.47,18.66,1533500,0
2008-05-29,18.57,18.89,18.29,18.74,1239200,0
2008-05-30,18.78,19.06,18.63,18.94,1079000,0
2008-06-02,18.99,19.07,18.69,18.85,1280200,0
2008-06-03,18.99,19.29,18.94,19.23,1653900,0
2008-06-04,19.12,20.17,19.12,20.1,2343100,0
2008-06-05,20.11,20.15,19.71,20.04,1421400,0
2008-06-06,19.81,19.81,19.15,19.31,1839700,0
2008-06-09,19.46,19.65,19.04,19.19,1502100,0
2008-06-10,18.97,19.16,18.82,18.97,1662100,0
2008-06-11,18.9,19.18,18.34,18.36,1132300,0
2008-06-12,18.51,18.92,18.15,18.26,1905800,0
2008-06-13,18.48,18.98,18.26,18.5,1075000,0
2008-06-16,18.34,18.71,18.34,18.61,1304700,0
2008-06-17,18.58,18.88,18.3,18.34,1116100,0
2008-06-18,18.16,18.39,18.08,18.22,1735900,0
2008-06-19,18.22,19.42,18.05,19.39,1291300,0
2008-06-20,19.24,19.46,18.74,19.14,1661100,0
2008-06-23,19.3,19.33,18.76,18.8,1498700,0
2008-06-24,18.53,18.61,18.11,18.11,2381600,0
2008-06-25,18.22,18.7,18.05,18.4,768000,0
2008-06-26,18.2,18.4,17.94,17.99,953900,0
2008-06-27,18.01,18.41,17.81,18.37,1673200,0
2008-06-30,18.33,19.15,18.01,18.58,1816800,0
2008-07-01,18.2,18.56,17.82,18.29,1943400,0
2008-07-02,18.11,18.22,17.72,17.75,1558100,0
2008-07-03,17.77,18.4,17.77,18.05,1922800,0
2008-07-07,18.15,18.61,18.02,18.34,2091700,0
2008-07-08,18.4,19.7,18.14,19.69,2296200,0
2008-07-09,19.61,19.96,19.27,19.35,2120700,0
2008-07-10,19.29,19.35,18.7,18.81,1825000,0
2008-07-11,18.57,19.06,18.14,19.06,2266700,0
2008-07-14,19.17,19.4,18.72,18.97,1568300,0
2008-07-15,18.82,19.54,18.38,19.27,2471900,0
2008-07-16,19.37,20.68,19.37,20.56,3477100,0
2008-07-17,20.75,22.05,20.65,21.96,3587700,0
2008-07-18,23.62,24.06,22.7,23.82,6944200,0
2008-07-21,22.96,23.7,22.72,23.45,4138200,0
2008-07-22,23.36,23.84,22.74,23.83,4770600,0
2008-07-23,23.74,24.56,23.3,23.79,4459000,0
2008-07-24,23.28,23.74,22.7,22.83,4010900,0
2008-07-25,22.97,23.73,22.97,23.42,2644100,0
2008-07-28,23.31,23.97,23.17,23.43,2850500,0
2008-07-29,23.6,24.37,23.49,24.1,2961400,0
2008-07-30,24.3,24.59,23.38,23.96,2298500,0
2008-07-31,23.72,24.25,23.72,23.81,1234100,0
2008-08-01,23.9,24.24,23.37,23.64,1619000,0
2008-08-04,23.54,23.98,23.22,23.7,1566200,0
2008-08-05,23.04,23.85,22.81,23.77,2370700,0
2008-08-06,23.82,23.84,23.43,23.63,1036100,0
2008-08-07,23.31,24.32,23.31,23.88,1979700,0
2008-08-08,24.0,25.45,23.81,25.27,1792200,0
2008-08-11,25.18,25.66,24.75,25.13,1375400,0
2008-08-12,24.99,25.1,24.01,24.18,2183000,0
2008-08-13,24.24,24.56,23.8,24.17,2087900,0
2008-08-14,24.29,24.83,23.98,24.66,1389200,0
2008-08-15,25.05,25.24,24.68,25.07,1352200,0
2008-08-18,25.2,25.31,24.52,24.7,1552100,0
2008-08-19,24.53,24.6,24.12,24.23,2275600,0
2008-08-20,24.31,24.5,23.4,23.6,1985500,0
2008-08-21,23.6,23.81,22.94,23.22,1744800,0
2008-08-22,23.49,24.02,23.3,23.95,1710300,0
2008-08-25,22.55,22.67,21.96,22.45,3032300,0
2008-08-26,22.52,22.61,22.07,22.3,1135100,0
2008-08-27,22.27,22.4,21.87,22.27,1962000,0
2008-08-28,22.58,23.29,22.4,23.1,1244500,0
2008-08-29,23.33,23.33,22.67,22.81,808100,0
2008-09-02,23.33,23.94,23.17,23.46,1893800,0
2008-09-03,23.37,23.99,23.11,23.33,2437800,0
2008-09-04,23.1,23.17,22.22,22.56,1986000,0
2008-09-05,22.37,22.61,21.92,22.16,1899900,0
2008-09-08,22.32,23.24,21.89,22.17,2341400,0
2008-09-09,22.38,22.86,21.7,21.78,2928900,0
2008-09-10,22.08,22.55,21.65,22.37,1505800,0
2008-09-11,22.13,22.67,21.76,22.56,1708500,0
2008-09-12,22.25,22.92,22.17,22.59,1349800,0
2008-09-15,21.67,23.57,21.67,23.41,2031400,0
2008-09-16,23.49,24.04,23.35,23.87,2985300,0
2008-09-17,23.41,25.16,23.2,24.75,3717400,0
2008-09-18,24.82,26.08,24.7,25.83,3880600,0
2008-09-19,26.49,28.78,25.6,26.47,4339800,0
2008-09-22,26.42,26.5,25.06,25.21,2471500,0
2008-09-23,24.38,25.44,23.99,24.14,1821000,0
2008-09-24,24.13,24.34,22.59,22.9,2139200,0
2008-09-25,23.07,23.34,21.88,22.06,2119800,0
2008-09-26,21.8,22.33,21.51,22.3,2768000,0
2008-09-29,22.02,22.1,21.06,21.55,1861100,0
2008-09-30,21.81,22.05,21.0,21.71,1469900,0
2008-10-01,21.59,22.35,21.35,22.02,1572600,0
2008-10-02,21.39,21.64,19.5,19.72,2499100,0
2008-10-03,20.0,20.67,19.09,19.72,2030500,0
2008-10-06,19.27,20.75,18.64,20.67,2509000,0
