Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,7.66,8.12,7.66,7.66,231200,0
2008-01-03,7.67,7.8,7.6,7.63,209300,0
2008-01-04,7.54,7.65,7.25,7.28,342100,0
2008-01-07,7.3,7.64,7.2,7.44,222600,0
2008-01-08,7.49,7.85,7.06,7.1,177700,0
2008-01-09,7.07,7.32,6.96,7.26,255900,0
2008-01-10,7.2,7.78,7.03,7.75,250800,0
2008-01-11,7.77,8.04,7.38,7.43,219400,0
2008-01-14,7.52,7.85,7.37,7.67,151200,0
2008-01-15,7.59,7.8,7.32,7.42,217800,0
2008-01-16,7.42,8.18,7.41,8.13,229500,0
2008-01-17,8.04,8.16,7.75,7.79,225400,0
2008-01-18,7.72,8.08,7.32,7.4,269300,0
2008-01-22,7.05,7.98,7.02,7.67,159300,0
2008-01-23,7.47,8.83,7.3,8.63,321700,0
2008-01-24,8.57,8.89,8.13,8.75,218800,0
2008-01-25,8.93,9.05,8.7,8.94,195200,0
2008-01-28,8.94,9.12,8.59,9.0,240200,0
2008-01-29,9.09,9.13,8.6,8.71,197800,0
2008-01-30,8.63,8.99,8.24,8.75,140600,0
2008-01-31,8.58,9.2,8.58,9.19,270400,0
2008-02-01,9.21,9.5,9.01,9.5,176500,0
2008-02-04,9.41,9.44,9.11,9.21,151900,0
2008-02-05,9.0,9.21,8.51,8.52,203300,0
2008-02-06,8.64,8.99,8.51,8.57,143800,0
2008-02-07,8.58,9.12,8.58,8.94,296800,0
2008-02-08,8.95,9.25,8.79,9.01,181400,0
2008-02-11,9.28,9.31,8.6,8.8,455900,0
2008-02-12,8.8,8.95,8.62,8.73,353100,0
2008-02-13,8.71,8.88,8.55,8.8,300600,0
2008-02-14,8.81,8.91,8.29,8.39,453100,0
2008-02-15,8.31,8.83,8.3,8.58,386500,0
2008-02-19,8.65,8.78,8.5,8.71,186100,0
2008-02-20,8.66,8.88,8.57,8.78,348400,0
2008-02-21,8.8,8.88,8.11,8.18,228100,0
2008-02-22,8.21,8.36,8.05,8.23,137500,0
2008-02-25,8.25,8.82,8.09,8.78,203300,0
2008-02-26,8.74,8.82,8.57,8.74,240000,0
2008-02-27,8.64,8.9,8.56,8.72,110800,0
2008-02-28,8.68,8.79,8.46,8.59,288600,0
2008-02-29,8.47,8.47,7.88,7.9,260700,0
2008-03-03,7.96,8.43,7.82,8.0,329100,0
2008-03-04,8.0,8.2,7.77,8.05,260900,0
2008-03-05,8.08,8.44,7.89,8.38,365700,0
2008-03-06,8.35,8.39,7.71,7.79,228700,0
2008-03-07,7.66,8.32,7.64,8.05,267600,0
2008-03-10,8.05,8.05,7.55,7.68,226600,0
2008-03-11,7.89,8.48,7.87,8.23,455500,0
2008-03-12,8.24,8.42,7.89,7.89,204600,0
2008-03-13,7.82,8.33,7.68,7.97,333600,0
2008-03-14,8.03,8.03,7.58,7.67,223100,0
2008-03-17,7.63,8.12,7.55,7.77,128600,0
2008-03-18,8.13,8.42,7.86,8.31,225400,0
2008-03-19,8.35,8.76,8.23,8.23,203200,0
2008-03-20,8.56,8.94,8.29,8.45,618400,0
2008-03-24,8.43,9.0,8.35,9.0,294500,0
2008-03-25,9.0,9.07,8.77,9.04,168400,0
