Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,16.9,17.1,16.83,17.0,1028800,0
2008-01-03,17.22,17.6,17.11,17.29,1207000,0
2008-01-04,17.14,17.38,17.08,17.14,1067600,0
2008-01-07,17.22,17.5,17.09,17.19,1200200,0
2008-01-08,17.22,17.38,16.91,16.92,1468000,0
2008-01-09,16.94,17.0,16.66,16.93,1222300,0
2008-01-10,16.8,16.92,16.55,16.82,1272100,0
2008-01-11,16.86,16.86,16.36,16.44,995800,0
2008-01-14,16.58,16.93,16.5,16.82,954300,0
2008-01-15,16.64,16.7,16.22,16.34,1209100,0
2008-01-16,16.27,16.42,15.74,15.85,1638800,0
2008-01-17,15.88,16.52,15.8,16.14,2567700,0
2008-01-18,16.17,16.48,15.87,16.0,1758700,0
2008-01-22,15.6,15.64,14.4,15.22,4006000,0
2008-01-23,15.04,15.41,14.37,15.38,3267300,0
2008-01-24,15.36,15.48,15.02,15.34,1722000,0
2008-01-25,15.42,15.48,15.02,15.13,1423700,0
2008-01-28,15.1,15.43,15.1,15.35,1230700,0
2008-01-29,15.46,15.85,15.27,15.8,1637000,0
2008-01-30,15.74,16.11,15.59,15.62,1826100,0
2008-01-31,15.49,16.02,15.36,15.94,1422000,0
2008-02-01,15.94,16.26,15.77,16.19,1884100,0
2008-02-04,16.16,16.54,16.0,16.44,1338000,0
2008-02-05,16.21,16.34,15.86,15.88,1288500,0
2008-02-06,15.96,16.08,15.73,15.94,1209700,0
2008-02-07,15.87,16.24,15.78,16.02,1620100,0
2008-02-08,15.93,16.1,15.81,15.9,816700,0
2008-02-11,15.89,16.02,15.7,15.98,641300,0
2008-02-12,16.11,16.28,16.02,16.23,904300,0
2008-02-13,16.24,16.43,16.1,16.22,1066200,0
2008-02-14,16.29,16.45,16.04,16.26,1069700,0
2008-02-15,16.19,16.19,15.85,15.98,792100,0
2008-02-19,16.11,16.11,15.85,16.06,864100,0
2008-02-20,16.04,16.04,15.68,15.89,1008200,0
2008-02-21,15.98,16.1,15.5,15.5,883800,0
2008-02-22,15.57,15.74,15.36,15.71,1142100,0
2008-02-25,15.68,15.94,15.68,15.85,1244000,0
2008-02-26,15.72,16.19,15.68,16.14,852300,0
2008-02-27,16.24,16.3,15.37,15.96,2181500,0
2008-02-28,15.88,15.88,15.42,15.48,1189000,0
2008-02-29,15.35,15.41,15.07,15.23,1595800,0
2008-03-03,15.2,15.43,14.97,15.05,1400800,0
2008-03-04,14.92,15.37,14.92,15.18,1624800,0
2008-03-05,15.23,15.44,14.95,15.17,1567700,0
2008-03-06,15.09,15.18,14.73,14.74,1111500,0
2008-03-07,14.65,14.94,14.55,14.67,1224000,0
2008-03-10,14.66,14.71,14.53,14.54,864800,0
2008-03-11,14.78,14.94,14.49,14.94,1230700,0
2008-03-12,14.94,15.36,14.85,15.02,1521000,0
2008-03-13,14.87,15.25,14.8,15.01,1135000,0
2008-03-14,15.16,15.16,14.62,14.89,1565000,0
2008-03-17,14.62,15.02,14.53,14.71,1573800,0
2008-03-18,14.92,15.28,14.67,15.2,1273300,0
2008-03-19,15.25,15.49,14.86,14.86,997600,0
2008-03-20,14.88,15.05,14.71,14.94,1295600,0
2008-03-24,15.0,15.13,14.76,14.77,958700,0
2008-03-25,14.84,15.07,14.81,15.02,1015600,0
2008-03-26,14.96,15.36,14.89,15.0,995300,0
2008-03-27,14.98,15.16,14.84,15.04,1342500,0
2008-03-28,15.01,15.11,14.62,14.66,1311800,0
2008-03-31,14.71,15.07,14.67,15.02,1173600,0
2008-04-01,15.19,15.46,15.16,15.46,1290600,0
2008-04-02,15.43,15.82,15.43,15.53,1349000,0
2008-04-03,15.49,15.64,15.46,15.62,1052100,0
2008-04-04,15.6,15.77,15.4,15.47,1019500,0
2008-04-07,15.59,15.69,15.44,15.53,510000,0
2008-04-08,15.39,15.5,15.34,15.39,1186700,0
2008-04-09,15.46,15.6,15.3,15.35,961200,0
2008-04-10,15.38,15.41,15.11,15.2,1039300,0
2008-04-11,15.07,15.3,15.03,15.18,799600,0
