Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,42.5,43.42,42.5,43.18,1199800,0
2008-01-03,43.5,43.86,43.15,43.2,940900,0
2008-01-04,42.71,42.86,41.74,41.91,802800,0
2008-01-07,42.15,42.15,41.2,41.98,1110500,0
2008-01-08,42.71,43.24,42.2,42.33,1065200,0
2008-01-09,42.0,43.5,41.94,43.39,1142300,0
2008-01-10,43.16,43.38,42.66,43.09,973900,0
2008-01-11,42.71,43.78,42.67,43.36,902400,0
2008-01-14,43.57,44.24,43.57,44.09,680800,0
2008-01-15,43.68,43.71,42.7,42.85,845400,0
2008-01-16,42.59,42.89,41.3,41.4,1796300,0
2008-01-17,41.55,42.27,40.5,40.59,1178900,0
2008-01-18,40.67,41.67,39.9,40.57,1058900,0
2008-01-22,39.02,40.18,38.13,39.74,1294600,0
2008-01-23,38.84,39.14,37.03,39.06,1674500,0
2008-01-24,39.22,40.02,39.02,39.83,1028400,0
2008-01-25,40.13,40.64,39.02,39.15,879000,0
2008-01-28,39.08,40.2,38.74,40.2,659900,0
2008-01-29,40.35,40.75,40.18,40.6,780600,0
2008-01-30,40.26,41.47,40.22,40.45,661800,0
2008-01-31,39.68,41.1,39.57,40.81,1201700,0
2008-02-01,40.96,41.7,40.78,41.67,653600,0
2008-02-04,41.63,42.36,41.23,42.18,478100,0
2008-02-05,41.51,41.85,41.1,41.1,762400,0
2008-02-06,41.41,41.5,40.65,40.75,647100,0
2008-02-07,40.59,42.23,40.35,42.14,1109600,0
2008-02-08,42.03,43.82,42.03,43.7,1365700,0
2008-02-11,43.88,45.19,43.83,45.14,1392100,0
2008-02-12,45.28,45.47,44.34,44.74,571600,0
2008-02-13,45.16,45.39,44.89,45.34,1344700,0
2008-02-14,45.26,45.69,45.1,45.46,1018100,0
2008-02-15,45.18,45.59,43.89,44.73,868600,0
2008-02-19,45.49,46.92,45.26,46.41,1155900,0
2008-02-20,47.83,50.13,47.59,49.14,3438900,0
2008-02-21,49.33,49.38,48.38,49.1,1850400,0
2008-02-22,49.07,50.04,48.41,49.86,1513500,0
2008-02-25,49.92,51.32,49.8,51.21,1780400,0
2008-02-26,50.67,52.6,50.6,52.14,2164600,0
2008-02-27,51.95,52.7,51.82,52.4,1807000,0
2008-02-28,52.03,54.3,52.03,53.93,2270100,0
2008-02-29,53.73,53.73,52.59,52.7,2212300,0
2008-03-03,52.58,52.88,51.66,52.55,2091900,0
2008-03-04,52.11,53.38,51.57,52.96,2063500,0
2008-03-05,53.1,54.06,53.1,53.67,1449600,0
2008-03-06,53.35,53.78,52.21,52.4,1324100,0
2008-03-07,51.74,52.55,51.4,51.92,1089400,0
2008-03-10,52.1,52.34,51.05,51.5,1003400,0
2008-03-11,51.98,52.75,51.29,52.62,1339900,0
2008-03-12,52.78,53.46,52.41,53.2,1351600,0
2008-03-13,52.66,54.48,52.33,54.27,2176200,0
2008-03-14,54.43,54.43,52.68,53.4,1628400,0
2008-03-17,52.23,52.44,50.78,51.56,1992400,0
2008-03-18,52.39,53.14,51.96,53.0,1000300,0
2008-03-19,52.76,52.98,51.03,51.09,1843100,0
2008-03-20,51.04,51.04,49.53,50.77,1595800,0
2008-03-24,50.77,52.09,50.49,51.6,1175200,0
2008-03-25,51.74,53.95,51.61,53.67,1315900,0
2008-03-26,53.34,56.24,53.34,56.0,1526900,0
2008-03-27,55.93,56.53,54.83,54.83,1383800,0
2008-03-28,54.83,55.96,54.74,54.95,962800,0
2008-03-31,55.0,55.27,53.76,54.74,1202200,0
2008-04-01,55.39,55.49,54.35,55.49,993300,0
2008-04-02,55.69,57.65,55.29,57.06,1379600,0
2008-04-03,56.57,58.99,56.15,58.03,1622800,0
2008-04-04,58.67,58.8,57.96,58.27,1096800,0
2008-04-07,58.72,58.75,57.43,58.03,727800,0
2008-04-08,57.73,59.18,57.5,59.11,1219900,0
2008-04-09,59.08,59.93,58.57,58.99,1086900,0
2008-04-10,58.87,59.5,58.17,58.81,1178500,0
2008-04-11,58.5,58.96,57.69,58.14,902000,0
2008-04-14,58.02,59.49,58.02,58.91,1024100,0
2008-04-15,59.36,59.61,58.21,59.56,1047200,0
2008-04-16,59.78,61.98,59.28,61.9,1301400,0
2008-04-17,62.97,63.99,61.04,61.78,1799000,0
2008-04-18,62.52,63.18,61.71,63.18,1023400,0
