Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,44.93,45.4,43.49,43.72,933900,0
2008-01-03,43.85,44.4,43.67,44.13,673700,0
2008-01-04,43.93,44.47,43.24,43.28,909000,0
2008-01-07,43.25,44.65,43.1,44.32,895600,0
2008-01-08,44.53,45.0,43.55,44.56,1423800,0
2008-01-09,44.6,45.85,44.6,45.81,1199600,0
2008-01-10,45.55,46.6,45.38,46.29,1618300,0
2008-01-11,46.45,47.06,46.27,46.65,1224200,0
2008-01-14,46.8,46.95,45.59,45.93,1032300,0
2008-01-15,45.46,45.6,44.99,45.23,1263500,0
2008-01-16,45.52,46.73,45.52,46.34,1547700,0
2008-01-17,46.35,46.76,45.34,45.36,1206400,0
2008-01-18,44.91,45.55,44.51,44.89,1963800,0
2008-01-22,43.78,44.22,42.42,43.1,1831500,0
2008-01-23,42.37,43.1,41.58,42.51,2352600,0
2008-01-24,41.7,43.08,41.15,43.06,1788600,0
2008-01-25,43.2,43.2,41.22,41.31,1943100,0
2008-01-28,41.48,41.9,41.31,41.7,1752600,0
2008-01-29,41.96,42.67,41.81,42.43,1047000,0
2008-01-30,41.99,42.16,41.12,41.48,1323700,0
2008-01-31,41.05,41.73,40.92,41.31,2014800,0
2008-02-01,41.36,42.0,40.83,41.18,1797100,0
2008-02-04,41.37,41.57,40.67,41.13,1957800,0
2008-02-05,40.51,40.81,39.98,40.01,1765800,0
2008-02-06,41.48,42.11,39.6,39.71,2485800,0
2008-02-07,39.7,40.92,39.6,40.92,2105000,0
2008-02-08,40.85,41.94,40.75,41.05,1930800,0
2008-02-11,41.0,41.03,40.4,40.55,1221400,0
2008-02-12,40.84,40.95,40.5,40.72,1218600,0
2008-02-13,40.92,41.46,40.31,40.47,997400,0
2008-02-14,40.45,40.95,39.94,40.04,947300,0
2008-02-15,39.86,40.1,39.1,39.37,1988600,0
2008-02-19,39.85,40.03,39.53,39.61,1180000,0
2008-02-20,39.63,40.13,39.34,40.04,1251500,0
2008-02-21,40.15,40.18,39.18,39.27,1224000,0
2008-02-22,39.5,39.56,38.71,39.2,990500,0
2008-02-25,39.07,39.8,39.07,39.66,1184100,0
2008-02-26,39.55,40.06,39.38,39.75,830700,0
2008-02-27,39.55,40.1,39.37,39.96,1109900,0
2008-02-28,39.72,40.36,39.51,40.15,943900,0
2008-02-29,39.65,39.65,38.75,39.04,1403400,0
2008-03-03,39.04,39.41,38.75,39.39,1028000,0
2008-03-04,39.3,39.49,38.86,39.26,1588400,0
2008-03-05,39.43,39.57,38.75,39.02,1385000,0
2008-03-06,38.91,39.35,38.67,38.67,742400,0
2008-03-07,38.51,38.92,38.25,38.74,1224500,0
2008-03-10,38.75,38.85,37.58,37.58,851900,0
2008-03-11,37.67,37.88,36.76,37.32,1522200,0
2008-03-12,37.27,37.88,37.27,37.55,1134100,0
2008-03-13,37.01,37.54,36.9,37.47,988200,0
2008-03-14,36.85,37.61,36.62,36.89,1247600,0
2008-03-17,36.46,37.0,36.25,36.45,1269800,0
2008-03-18,36.6,36.7,36.07,36.64,1569400,0
2008-03-19,36.61,37.3,36.27,36.27,1382200,0
2008-03-20,36.3,37.0,36.27,36.87,2396500,0
2008-03-24,36.58,37.93,36.51,37.67,1482600,0
2008-03-25,37.63,38.1,37.55,37.9,1059800,0
2008-03-26,37.75,37.92,37.09,37.25,1023400,0
2008-03-27,37.48,38.58,37.09,38.41,1128900,0
2008-03-28,38.71,39.1,38.42,38.68,1008700,0
2008-03-31,38.83,38.9,38.04,38.6,1317800,0
2008-04-01,38.96,39.99,38.61,39.99,1057600,0
2008-04-02,39.82,40.24,39.6,40.09,1020400,0
2008-04-03,39.52,40.24,39.17,39.37,854000,0
2008-04-04,39.59,39.84,39.17,39.78,690500,0
2008-04-07,39.81,40.0,39.43,39.71,780000,0
2008-04-08,39.55,40.08,39.5,39.97,695500,0
2008-04-09,40.08,40.65,39.47,39.63,691000,0
2008-04-10,38.02,38.26,36.78,37.44,2508600,0
2008-04-11,37.34,37.34,36.74,36.85,1647200,0
2008-04-14,37.05,37.14,36.8,36.97,1086300,0
2008-04-15,36.96,37.11,35.45,35.54,2037600,0
2008-04-16,35.58,37.14,35.21,37.08,2012000,0
2008-04-17,36.77,36.87,35.85,36.64,2199000,0
2008-04-18,37.28,37.75,36.89,37.64,1513700,0
2008-04-21,37.42,38.05,36.75,37.57,1487400,0
2008-04-22,37.22,37.41,36.66,36.81,1236300,0
2008-04-23,36.68,37.64,36.68,37.3,1518100,0
2008-04-24,37.24,37.24,36.03,36.76,2425200,0
2008-04-25,36.91,37.96,36.35,37.71,1520300,0
2008-04-28,37.62,38.49,37.5,38.28,1196900,0
2008-04-29,38.07,38.87,37.96,38.62,1194900,0
2008-04-30,38.9,39.44,38.59,38.87,1432000,0
2008-05-01,40.27,42.34,40.16,40.96,2340800,0
2008-05-02,41.05,41.41,40.41,40.69,1189600,0
2008-05-05,40.79,40.79,40.06,40.42,816200,0
2008-05-06,40.38,40.71,39.79,40.08,1143600,0
2008-05-07,40.01,40.22,39.54,39.84,1402100,0
2008-05-08,40.03,40.36,39.85,40.36,1198200,0
2008-05-09,39.91,40.76,39.61,40.76,1493500,0
2008-05-12,40.91,41.3,40.36,41.3,1646800,0
2008-05-13,41.21,41.3,40.59,41.07,1072100,0
2008-05-14,41.14,41.71,41.0,41.61,1068400,0
2008-05-15,41.63,41.72,41.4,41.57,986100,0
2008-05-16,41.32,42.06,41.24,42.01,1023600,0
2008-05-19,42.18,42.5,41.67,42.12,1195700,0
2008-05-20,42.47,42.58,41.38,41.8,1283200,0
2008-05-21,41.63,42.28,40.82,40.85,1403300,0
2008-05-22,40.86,41.72,40.82,41.4,1113800,0
2008-05-23,41.15,41.16,40.55,40.59,1179800,0
2008-05-27,40.72,41.17,40.38,40.93,1374800,0
2008-05-28,40.79,41.07,40.11,40.29,1260500,0
2008-05-29,40.15,40.99,40.1,40.65,1269300,0
2008-05-30,40.51,40.67,40.2,40.54,1231700,0
2008-06-02,40.61,40.86,39.24,39.66,1221100,0
2008-06-03,39.83,40.04,39.06,39.41,1492100,0
2008-06-04,39.19,40.37,39.19,39.97,918100,0
2008-06-05,39.96,40.44,39.5,40.37,795700,0
2008-06-06,40.1,40.39,39.08,39.1,997600,0
2008-06-09,39.0,39.32,38.36,38.65,1189600,0
2008-06-10,38.29,38.79,38.0,38.49,946000,0
2008-06-11,38.37,38.37,37.64,37.69,866200,0
2008-06-12,37.96,38.78,37.69,38.38,891600,0
2008-06-13,38.31,39.49,38.28,39.05,1384600,0
2008-06-16,38.7,38.87,38.37,38.8,1100500,0
2008-06-17,38.8,38.99,38.31,38.4,699900,0
2008-06-18,38.14,38.28,37.68,38.14,1058300,0
2008-06-19,38.0,38.69,37.84,38.49,875200,0
2008-06-20,38.36,38.68,37.7,37.72,1749600,0
2008-06-23,37.74,38.56,37.74,38.09,849300,0
2008-06-24,38.21,38.31,37.36,38.09,1067100,0
2008-06-25,38.86,38.86,38.21,38.61,1030400,0
2008-06-26,38.06,38.4,37.65,37.67,806200,0
2008-06-27,37.7,38.15,37.25,37.4,984500,0
2008-06-30,37.24,37.56,36.8,36.8,1302500,0
2008-07-01,36.32,37.17,36.21,37.17,1374300,0
2008-07-02,37.15,37.4,36.77,36.95,1360100,0
2008-07-03,37.03,37.42,36.95,37.0,594000,0
2008-07-07,37.15,37.42,36.59,37.05,1176300,0
2008-07-08,37.1,38.08,37.04,38.08,1421600,0
2008-07-09,37.93,38.25,37.19,37.4,1312900,0
2008-07-10,37.51,38.13,37.04,38.1,1503900,0
2008-07-11,37.53,38.31,37.43,37.54,1412100,0
2008-07-14,37.41,37.82,36.4,36.54,1740400,0
2008-07-15,36.46,37.18,36.4,36.93,1814900,0
2008-07-16,36.99,38.28,36.74,38.15,1569300,0
2008-07-17,38.4,39.89,38.33,39.48,1701100,0
2008-07-18,39.66,40.39,39.02,39.76,1218300,0
2008-07-21,39.61,40.19,39.51,39.78,1076600,0
2008-07-22,39.67,41.0,39.67,40.26,1177100,0
2008-07-23,40.4,40.52,39.69,39.99,1322500,0
2008-07-24,39.69,40.21,39.24,39.77,1118300,0
2008-07-25,40.0,40.26,39.62,39.82,993200,0
2008-07-28,39.77,39.77,39.1,39.39,1127700,0
2008-07-29,39.28,39.93,38.86,38.93,2486300,0
2008-07-30,41.59,41.94,39.74,40.14,2830800,0
2008-07-31,39.43,40.91,39.42,40.25,1505200,0
2008-08-01,40.5,40.5,39.17,39.23,1406700,0
2008-08-04,39.05,39.59,38.92,39.04,1378000,0
2008-08-05,39.37,40.09,39.13,39.95,1399500,0
2008-08-06,39.85,40.46,39.56,40.45,1515200,0
2008-08-07,40.24,40.46,39.83,40.21,824200,0
2008-08-08,40.37,41.05,40.02,40.93,817700,0
2008-08-11,40.75,41.22,40.13,40.83,952100,0
2008-08-12,40.87,41.21,40.52,40.72,927000,0
2008-08-13,40.49,41.2,40.48,40.72,872100,0
2008-08-14,40.47,42.03,40.35,41.57,1597200,0
2008-08-15,41.74,41.79,41.09,41.68,797000,0
2008-08-18,41.99,42.05,41.18,41.39,656600,0
2008-08-19,41.96,41.96,40.45,40.62,664900,0
2008-08-20,41.03,41.31,39.89,40.25,720700,0
2008-08-21,39.97,40.72,39.22,39.82,858600,0
2008-08-22,39.97,40.14,39.65,40.03,687600,0
2008-08-25,39.82,39.93,38.98,39.23,687100,0
2008-08-26,39.36,39.79,39.25,39.29,533600,0
2008-08-27,39.26,39.43,38.96,39.25,846800,0
2008-08-28,39.36,40.31,39.13,39.98,534600,0
2008-08-29,39.67,40.33,39.06,39.19,2022900,0
2008-09-02,39.82,40.8,39.65,39.65,1224900,0
2008-09-03,39.65,39.92,39.02,39.18,1047300,0
2008-09-04,38.91,39.25,38.44,38.48,933600,0
2008-09-05,38.27,38.97,37.77,38.25,1025200,0
2008-09-08,38.44,38.96,37.63,38.42,1212400,0
2008-09-09,38.4,38.53,37.8,37.96,1360800,0
2008-09-10,38.2,38.88,38.04,38.57,1562000,0
2008-09-11,38.48,39.46,38.01,39.39,1415000,0
2008-09-12,39.28,39.67,38.99,39.55,1082300,0
2008-09-15,37.99,39.96,37.75,39.06,1276500,0
2008-09-16,39.93,40.51,38.41,39.2,2166400,0
2008-09-17,38.61,40.05,37.83,37.83,1296400,0
2008-09-18,38.42,39.69,37.65,39.38,1631500,0
2008-09-19,40.13,40.73,37.57,39.65,2723500,0
2008-09-22,39.37,39.96,37.58,37.66,794100,0
2008-09-23,37.68,38.3,37.15,37.78,810800,0
2008-09-24,37.63,37.88,37.08,37.72,745200,0
2008-09-25,37.79,38.44,37.66,37.91,519500,0
2008-09-26,37.52,38.93,37.28,38.76,1304200,0
2008-09-29,38.25,38.97,37.09,37.29,1422100,0
2008-09-30,37.72,37.72,36.73,37.54,1602200,0
2008-10-01,37.41,37.9,37.06,37.6,904100,0
2008-10-02,37.48,38.0,37.0,37.61,916800,0
2008-10-03,38.05,39.22,37.59,37.66,1689800,0
2008-10-06,36.94,37.5,33.58,34.94,2500500,0
2008-10-07,34.62,35.39,33.37,33.38,2263100,0
2008-10-08,32.46,33.69,31.73,33.06,2577500,0
2008-10-09,33.89,34.22,29.7,30.26,3166800,0
2008-10-10,29.49,30.96,27.93,30.23,4088900,0
2008-10-13,31.49,32.24,30.29,32.2,2431000,0
2008-10-14,33.15,33.95,31.76,32.76,2685400,0
2008-10-15,32.63,33.24,31.14,31.14,2426900,0
2008-10-16,31.35,32.13,29.0,32.04,2530900,0
2008-10-17,31.5,33.59,31.24,32.54,1877100,0
2008-10-20,31.11,31.97,30.17,31.51,2748500,0
2008-10-21,31.08,31.85,30.77,31.4,1718900,0
2008-10-22,31.2,31.59,29.08,29.61,1916900,0
2008-10-23,29.61,29.94,27.73,28.77,1603200,0
2008-10-24,28.0,28.49,27.46,27.92,1643600,0
2008-10-27,27.3,27.53,26.06,26.22,1820400,0
2008-10-28,26.46,28.48,24.78,28.29,3718600,0
2008-10-29,29.58,31.1,29.28,30.23,4393600,0
2008-10-30,30.25,30.9,28.8,30.59,3900200,0
2008-10-31,30.71,31.23,30.0,30.38,1939600,0
2008-11-03,29.81,31.59,29.81,31.53,1207500,0
2008-11-04,31.66,32.26,31.37,31.72,1426800,0
2008-11-05,31.56,31.56,29.16,29.24,1717100,0
2008-11-06,29.18,29.91,28.84,28.93,2060200,0
2008-11-07,29.25,30.12,29.17,30.0,785900,0
2008-11-10,30.55,31.26,28.81,29.1,864100,0
2008-11-11,29.01,29.99,29.01,29.67,2347000,0
2008-11-12,29.01,29.72,28.85,29.18,2648600,0
2008-11-13,29.74,30.26,28.2,30.01,23111600,0
2008-11-14,29.85,30.7,29.21,29.44,3893200,0
2008-11-17,29.15,29.48,28.01,28.17,2429000,0
2008-11-18,27.98,29.26,27.85,28.69,3045000,0
2008-11-19,28.57,28.92,26.52,26.55,2334900,0
2008-11-20,25.68,25.86,24.0,24.12,4083400,0
2008-11-21,24.26,25.86,24.0,25.66,4545900,0
2008-11-24,25.91,26.34,25.22,25.86,3008900,0
2008-11-25,26.3,26.49,25.43,26.09,2098500,0
2008-11-26,25.67,26.55,25.51,26.29,2549000,0
2008-11-28,26.05,26.62,26.05,26.08,667600,0
2008-12-01,25.7,25.74,24.22,24.32,2592000,0
2008-12-02,25.37,25.44,24.15,25.16,3765200,0
2008-12-03,24.61,25.86,24.37,25.4,2383800,0
2008-12-04,25.1,25.26,23.28,23.7,2574100,0
2008-12-05,23.62,24.78,22.85,24.73,2179700,0
2008-12-08,25.18,26.1,24.91,25.91,3075700,0
2008-12-09,25.54,26.15,25.39,25.56,1947400,0
2008-12-10,25.94,26.38,25.36,26.21,1941600,0
2008-12-11,26.07,26.97,26.07,26.28,2026300,0
2008-12-12,26.22,26.95,25.84,26.49,1771500,0
2008-12-15,26.49,26.68,25.41,25.65,2037000,0
2008-12-16,25.77,27.42,25.77,27.39,2488700,0
2008-12-17,27.05,27.71,26.8,26.83,2582800,0
2008-12-18,27.2,28.18,26.81,27.63,2743100,0
2008-12-19,27.98,28.1,26.95,27.06,2944000,0
2008-12-22,27.62,27.63,26.12,26.71,1873000,0
2008-12-23,26.42,27.23,26.42,26.65,1109800,0
2008-12-24,26.94,27.23,26.62,27.02,524500,0
2008-12-26,27.2,27.79,26.58,27.09,322200,0
2008-12-29,26.94,27.34,26.07,26.5,1215600,0
2008-12-30,26.56,27.56,26.27,27.56,1357600,0
2008-12-31,27.65,28.69,27.5,28.24,2242900,0
2009-01-02,28.02,29.19,28.02,29.11,1574200,0
2009-01-05,29.05,29.11,27.94,28.15,1484200,0
2009-01-06,28.4,28.66,27.23,27.4,2324700,0
2009-01-07,27.04,27.58,26.99,27.48,2345400,0
2009-01-08,27.5,27.96,27.18,27.81,1875600,0
2009-01-09,27.68,27.74,27.21,27.41,1444700,0
2009-01-12,27.83,27.84,27.33,27.54,1409100,0
2009-01-13,27.54,28.24,27.4,28.06,2181000,0
2009-01-14,27.68,27.83,26.83,27.04,2193600,0
2009-01-15,27.11,27.5,26.51,27.41,1623400,0
2009-01-16,27.75,27.75,26.86,27.15,2079500,0
2009-01-20,27.21,27.52,26.05,26.12,2610800,0
2009-01-21,26.53,26.64,25.9,26.56,2610300,0
2009-01-22,26.52,26.69,26.0,26.57,1705200,0
2009-01-23,26.21,26.93,25.92,26.67,2903300,0
2009-01-26,26.58,27.63,26.52,27.37,1746900,0
2009-01-27,27.42,28.25,27.09,27.71,1930900,0
2009-01-28,28.11,28.72,27.83,28.58,2196800,0
2009-01-29,28.18,28.5,27.58,27.63,1787600,0
2009-01-30,27.39,27.68,26.81,26.91,2863000,0
2009-02-02,26.75,27.5,26.54,27.36,1846300,0
2009-02-03,27.41,27.67,26.86,27.51,1478100,0
2009-02-04,27.14,28.34,27.14,27.45,1895200,0
2009-02-05,25.5,27.47,23.75,26.88,6016500,0
2009-02-06,27.18,27.34,26.66,27.0,2010300,0
2009-02-09,27.03,27.15,26.58,26.7,1161800,0
2009-02-10,26.49,26.72,25.79,25.87,2671600,0
2009-02-11,25.98,26.3,25.59,25.8,1423200,0
2009-02-12,25.61,26.33,25.5,26.23,1400300,0
2009-02-13,26.32,26.62,26.08,26.1,1411100,0
2009-02-17,24.69,25.69,24.69,25.2,2126200,0
2009-02-18,25.26,25.84,24.99,25.71,2320600,0
2009-02-19,25.96,26.54,25.81,26.23,2652300,0
2009-02-20,26.08,26.24,25.65,25.86,2367900,0
2009-02-23,25.8,26.35,25.15,25.19,1496700,0
2009-02-24,25.65,25.92,25.16,25.86,1729500,0
2009-02-25,25.6,25.74,24.79,24.9,2201200,0
2009-02-26,25.05,25.23,24.03,24.07,2225500,0
2009-02-27,23.13,23.66,22.73,23.12,3757600,0
2009-03-02,23.0,23.27,22.12,22.21,3124200,0
2009-03-03,22.55,23.04,22.22,22.52,2393000,0
2009-03-04,22.69,23.63,22.36,23.42,2792200,0
2009-03-05,22.97,23.07,22.4,22.46,3619400,0
2009-03-06,22.27,22.93,22.02,22.45,2227000,0
2009-03-09,22.28,22.81,21.8,21.88,1858400,0
2009-03-10,22.15,22.94,22.01,22.88,2054300,0
2009-03-11,22.98,23.3,22.55,22.71,1981800,0
2009-03-12,22.45,23.35,22.45,23.32,2244900,0
2009-03-13,23.2,24.02,23.02,23.92,1583500,0
2009-03-16,23.39,24.18,23.39,23.61,1396600,0
2009-03-17,23.75,24.55,23.66,24.54,2368500,0
2009-03-18,24.63,25.29,24.24,24.84,2119600,0
2009-03-19,24.98,25.13,24.42,24.75,2320800,0
2009-03-20,24.97,25.41,24.61,24.95,2399600,0
2009-03-23,25.24,26.07,25.0,26.05,2293900,0
2009-03-24,25.87,26.5,25.51,25.99,1957600,0
2009-03-25,26.45,26.82,25.77,26.62,2398500,0
2009-03-26,25.95,27.5,25.95,27.5,2175900,0
2009-03-27,27.28,27.78,26.96,27.49,2133200,0
2009-03-30,27.0,27.07,26.06,26.3,2345000,0
2009-03-31,26.53,27.39,26.25,26.85,2453100,0
2009-04-01,26.63,26.63,25.98,26.19,1992700,0
2009-04-02,26.65,27.37,26.4,26.95,1656800,0
2009-04-03,27.18,27.27,26.07,26.33,1417000,0
2009-04-06,26.12,26.57,26.0,26.18,937300,0
2009-04-07,26.0,26.2,25.74,25.87,1901100,0
2009-04-08,26.05,26.31,25.2,25.84,1938100,0
2009-04-09,26.16,27.11,25.9,27.09,2507600,0
2009-04-13,26.99,27.26,26.78,26.92,1745500,0
2009-04-14,26.56,27.25,26.52,26.72,1841400,0
2009-04-15,26.56,27.02,26.29,26.69,1280200,0
2009-04-16,26.7,27.06,26.35,26.92,2035900,0
2009-04-17,26.97,27.46,26.62,27.3,1607100,0
2009-04-20,26.79,27.25,26.2,26.3,1416000,0
2009-04-21,26.39,26.61,26.0,26.27,1505600,0
2009-04-22,26.13,26.18,25.71,25.79,1365100,0
2009-04-23,25.51,26.56,25.4,26.42,2740700,0
2009-04-24,26.87,27.16,26.4,27.01,2157800,0
2009-04-27,26.51,27.7,26.51,27.36,1743000,0
2009-04-28,27.26,27.56,26.85,27.06,1562600,0
2009-04-29,27.07,28.36,27.01,28.17,2293900,0
2009-04-30,28.25,29.23,28.02,28.62,2019600,0
2009-05-01,28.5,28.55,26.34,26.78,4546500,0
2009-05-04,26.88,28.1,26.54,28.08,3327200,0
2009-05-05,27.76,28.42,27.47,28.37,1883500,0
2009-05-06,28.44,28.57,27.98,28.51,1868100,0
2009-05-07,28.6,29.11,28.49,28.81,1942800,0
2009-05-08,29.09,30.03,28.79,29.75,1850300,0
2009-05-11,29.58,29.99,29.19,29.63,1324800,0
2009-05-12,29.73,29.9,29.24,29.7,1298300,0
2009-05-13,29.48,29.75,29.25,29.45,1753400,0
2009-05-14,29.65,29.88,29.33,29.65,1683200,0
2009-05-15,29.45,29.62,29.0,29.53,1478100,0
2009-05-18,29.44,30.03,29.02,30.03,1421900,0
2009-05-19,29.92,29.92,29.44,29.69,1067700,0
2009-05-20,29.88,30.39,29.43,29.93,1443500,0
2009-05-21,29.06,29.24,28.39,28.66,1990300,0
2009-05-22,28.66,29.05,28.54,28.59,988800,0
2009-05-26,28.39,29.56,28.04,29.45,971000,0
2009-05-27,29.37,29.72,29.03,29.25,927400,0
2009-05-28,29.47,29.77,28.9,29.18,936200,0
2009-05-29,29.28,29.28,28.66,29.26,1704900,0
2009-06-01,29.51,29.92,29.25,29.88,1139100,0
2009-06-02,29.65,30.32,29.63,30.13,1034400,0
2009-06-03,29.87,30.19,29.83,30.07,1093200,0
2009-06-04,30.03,30.2,29.36,29.72,850800,0
2009-06-05,29.8,29.99,29.15,29.51,635500,0
2009-06-08,29.13,29.43,28.76,29.1,846600,0
2009-06-09,29.41,29.41,28.96,29.09,842600,0
2009-06-10,29.3,29.34,28.5,28.72,1868200,0
2009-06-11,28.72,29.96,28.71,29.62,1453400,0
2009-06-12,29.39,29.85,29.33,29.7,971500,0
2009-06-15,29.53,29.53,28.71,28.9,1083400,0
2009-06-16,29.05,29.08,28.54,28.58,900500,0
2009-06-17,28.86,29.47,28.65,29.28,1031200,0
2009-06-18,29.16,29.9,29.08,29.71,760200,0
2009-06-19,30.03,30.49,29.75,30.02,1556500,0
2009-06-22,29.68,29.72,29.26,29.27,932500,0
2009-06-23,29.26,29.69,29.08,29.26,760000,0
2009-06-24,29.32,29.89,29.2,29.7,1027500,0
2009-06-25,29.53,30.91,29.45,30.87,1320200,0
2009-06-26,30.82,30.99,30.44,30.93,1032600,0
2009-06-29,30.85,30.99,30.47,30.89,719600,0
2009-06-30,30.89,30.96,30.32,30.57,1432500,0
2009-07-01,30.27,30.78,30.27,30.48,1098100,0
2009-07-02,30.41,30.65,29.7,29.84,1124700,0
2009-07-06,29.83,29.96,29.21,29.45,1209200,0
2009-07-07,29.38,29.56,28.67,28.75,1610700,0
2009-07-08,28.94,29.05,28.15,28.35,1485600,0
2009-07-09,28.7,28.76,27.79,28.02,1465900,0
2009-07-10,27.9,28.51,27.9,28.2,1117500,0
2009-07-13,28.15,28.79,27.83,28.45,1236000,0
2009-07-14,28.33,28.6,28.11,28.17,1862900,0
2009-07-15,28.3,29.08,28.17,28.9,1759000,0
2009-07-16,28.97,29.57,28.78,29.5,889200,0
2009-07-17,29.63,29.63,29.0,29.08,883400,0
2009-07-20,29.05,29.28,28.74,29.23,800200,0
2009-07-21,29.36,29.78,29.19,29.77,1173700,0
2009-07-22,29.65,29.84,29.26,29.37,745200,0
2009-07-23,29.34,30.18,29.19,30.16,1032500,0
2009-07-24,30.09,30.59,29.81,30.56,784700,0
2009-07-27,30.61,30.85,30.26,30.59,781000,0
2009-07-28,30.56,31.04,30.51,30.8,656500,0
2009-07-29,30.64,31.23,30.53,30.97,1001500,0
2009-07-30,32.88,36.08,32.49,33.73,5437600,0
2009-07-31,33.35,34.03,33.14,33.35,1458700,0
2009-08-03,33.46,33.7,32.79,33.56,1639100,0
2009-08-04,33.3,33.75,33.16,33.71,1614200,0
2009-08-05,33.08,33.9,32.86,32.99,1035500,0
2009-08-06,32.8,32.96,32.26,32.35,764600,0
2009-08-07,33.69,33.69,32.8,32.83,743000,0
2009-08-10,32.64,32.93,32.41,32.65,776300,0
2009-08-11,32.41,32.83,32.12,32.43,1195400,0
2009-08-12,32.31,33.36,32.09,33.07,1196400,0
2009-08-13,33.36,33.43,32.65,33.05,1227800,0
2009-08-14,32.4,32.9,32.13,32.68,1005300,0
2009-08-17,32.55,32.77,32.41,32.55,768400,0
2009-08-18,32.55,32.65,32.12,32.63,531100,0
2009-08-19,32.5,33.31,32.27,33.24,794500,0
2009-08-20,33.24,34.78,32.89,34.59,2092400,0
2009-08-21,34.94,35.22,34.44,34.55,984900,0
2009-08-24,35.0,35.07,34.39,34.61,650000,0
2009-08-25,34.5,35.1,34.5,34.83,796900,0
2009-08-26,34.66,35.08,34.25,34.46,846300,0
2009-08-27,34.56,34.61,33.89,34.26,867400,0
2009-08-28,34.26,34.54,33.58,33.78,1157500,0
2009-08-31,33.72,34.0,33.32,33.72,885200,0
2009-09-01,33.71,34.22,32.98,33.01,995000,0
2009-09-02,32.86,33.3,32.7,32.89,1015600,0
2009-09-03,32.88,33.09,32.57,33.02,830300,0
2009-09-04,32.95,33.5,32.78,33.46,711800,0
2009-09-08,33.7,33.87,33.15,33.5,752500,0
2009-09-09,33.56,34.23,33.48,33.87,745900,0
2009-09-10,33.89,34.38,33.42,34.34,884700,0
2009-09-11,34.3,34.53,33.58,34.22,497700,0
2009-09-14,34.17,34.44,34.01,34.36,775100,0
2009-09-15,34.23,34.61,33.74,34.58,1185600,0
2009-09-16,34.51,34.82,34.15,34.8,697200,0
2009-09-17,34.82,34.96,34.48,34.58,961900,0
2009-09-18,34.75,34.82,34.33,34.65,1179900,0
2009-09-21,34.57,35.09,34.57,34.85,539300,0
2009-09-22,34.83,34.94,34.43,34.57,877800,0
2009-09-23,34.45,34.45,33.85,33.91,834900,0
