Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,28.15,28.74,27.91,28.36,1541400,0.0
2008-01-03,28.4,28.65,27.86,27.94,503700,0.0
2008-01-04,27.62,27.85,26.7,26.98,917100,0.0
2008-01-07,27.16,27.4,26.59,26.79,940800,0.0
2008-01-08,26.99,27.02,26.09,26.09,732500,0.0
2008-01-09,26.17,26.85,25.62,26.71,1547200,0.0
2008-01-10,26.35,27.21,26.32,27.04,1288700,0.0
2008-01-11,26.87,26.87,26.31,26.41,946500,0.0
2008-01-14,26.54,26.7,26.26,26.6,503700,0.0
2008-01-15,26.2,26.35,25.55,25.85,867800,0.0
2008-01-16,25.6,26.46,25.54,25.96,1733300,0.0
2008-01-17,26.0,26.24,25.03,25.14,1432600,0.0
2008-01-18,25.27,26.3,25.27,25.51,1560900,0.0
2008-01-22,24.44,25.53,24.4,24.93,2203300,0.0
2008-01-23,22.3,24.14,19.84,23.82,6848200,0.0
2008-01-24,25.37,25.37,23.5,24.14,3153300,0.0
2008-01-25,24.27,25.59,23.78,24.36,2751000,0.0
2008-01-28,23.76,24.17,23.48,23.7,1904100,0.0
2008-01-29,23.97,24.88,23.91,24.63,2027100,0.0
2008-01-30,24.55,24.81,24.07,24.08,2042400,0.0
2008-01-31,23.76,24.42,23.57,24.25,1537800,0.0
2008-02-01,24.27,24.75,24.1,24.37,1875000,0.0
2008-02-04,24.37,24.58,23.64,24.18,1281600,0.0
2008-02-05,23.9,24.4,23.68,24.09,1444100,0.0
2008-02-06,24.13,24.2,23.54,23.57,1210700,0.0
2008-02-07,23.5,23.94,23.47,23.74,1466400,0.0
2008-02-08,23.66,24.11,23.47,23.86,1155900,0.0
2008-02-11,23.93,24.1,23.58,23.91,610900,0.0
2008-02-12,24.06,24.28,23.84,23.9,833100,0.0
2008-02-13,24.13,24.79,23.97,24.68,1185600,0.0
2008-02-14,24.88,25.25,24.48,24.59,1340000,0.0
2008-02-15,24.45,24.69,24.17,24.46,884900,0.0
2008-02-19,24.82,24.91,24.0,24.18,1323500,0.0
2008-02-20,24.18,24.68,24.1,24.56,1067200,0.0
2008-02-21,24.65,24.86,24.33,24.38,1168500,0.0
2008-02-22,24.4,24.62,23.63,24.23,1257600,0.0
2008-02-25,23.95,24.87,23.95,24.82,1140800,0.0
2008-02-26,24.69,25.29,24.63,25.02,1035700,0.0
2008-02-27,24.77,24.78,23.93,23.94,1891700,0.0
2008-02-28,23.98,24.11,23.59,23.6,1179800,0.0
2008-02-29,23.4,23.4,22.72,22.79,1369800,0.0
2008-03-03,22.76,23.23,22.49,22.74,1956700,0.0
2008-03-04,22.54,22.83,22.46,22.7,1224900,0.0
2008-03-05,22.8,23.25,22.69,23.1,1000500,0.0
2008-03-06,23.23,23.23,22.92,23.0,1567400,0.0
2008-03-07,22.64,23.2,22.64,22.8,1085800,0.0
2008-03-10,22.87,22.97,22.35,22.36,855900,0.0
2008-03-11,22.91,23.23,22.27,23.19,1075000,0.0
2008-03-12,23.19,23.21,22.54,22.55,876600,0.3
2008-03-13,22.3,22.93,21.83,22.91,993000,0.0
2008-03-14,23.05,23.08,22.38,22.71,976800,0.0
2008-03-17,22.18,23.17,21.96,22.49,1261900,0.0
2008-03-18,22.63,22.86,21.76,22.51,1237400,0.0
2008-03-19,22.66,22.93,22.06,22.06,1146300,0.0
2008-03-20,21.97,22.2,21.83,21.96,2041000,0.0
2008-03-24,21.97,22.54,21.96,22.35,2692300,0.0
2008-03-25,22.35,23.18,22.3,22.9,878100,0.0
2008-03-26,22.63,23.09,22.05,22.24,1208700,0.0
2008-03-27,22.32,22.41,21.87,22.15,1846400,0.0
2008-03-28,22.23,22.36,22.03,22.05,930000,0.0
2008-03-31,22.0,22.43,21.87,22.33,799800,0.0
2008-04-01,24.41,24.41,21.0,23.2,1189400,0.0
2008-04-02,23.27,23.7,23.15,23.19,1136300,0.0
2008-04-03,23.06,23.14,22.64,23.06,1141600,0.0
2008-04-04,23.11,23.19,22.51,22.67,870400,0.0
2008-04-07,22.97,23.65,22.89,22.95,839400,0.0
2008-04-08,22.83,22.99,22.08,22.26,1331800,0.0
2008-04-09,22.2,22.25,21.52,21.6,1718000,0.0
2008-04-10,21.64,21.67,21.1,21.37,1045900,0.0
2008-04-11,21.11,21.25,20.8,21.01,1543300,0.0
2008-04-14,21.04,21.29,20.92,21.1,1093000,0.0
2008-04-15,21.13,21.2,20.46,20.69,1430300,0.0
2008-04-16,20.81,21.03,20.79,20.93,1470600,0.0
2008-04-17,20.88,21.09,20.73,20.75,918000,0.0
2008-04-18,20.98,21.26,20.94,21.0,2887100,0.0
2008-04-21,21.04,21.75,20.83,21.4,1285200,0.0
2008-04-22,20.9,22.38,20.9,21.53,2590500,0.0
2008-04-23,21.54,21.81,21.12,21.22,1509700,0.0
2008-04-24,21.21,22.08,21.1,21.73,1469900,0.0
2008-04-25,21.75,22.67,21.62,22.63,1509800,0.0
2008-04-28,22.6,22.82,22.37,22.43,879300,0.0
2008-04-29,22.35,22.54,21.8,21.92,1655500,0.0
2008-04-30,22.07,22.35,21.93,21.98,875100,0.0
2008-05-01,22.07,22.29,21.8,22.08,1518300,0.0
2008-05-02,22.2,22.23,21.8,21.93,1080400,0.0
2008-05-05,21.83,22.02,21.59,21.78,1545500,0.0
2008-05-06,21.8,22.38,21.65,22.26,1459400,0.0
2008-05-07,22.14,23.21,22.14,22.68,2027100,0.0
2008-05-08,22.79,22.83,22.53,22.78,1196200,0.0
2008-05-09,22.69,22.96,22.51,22.85,1009100,0.0
2008-05-12,22.92,22.99,22.26,22.85,1281000,0.0
2008-05-13,22.9,23.77,22.9,23.61,1791200,0.0
2008-05-14,23.71,23.77,23.39,23.68,1413400,0.0
2008-05-15,24.45,24.86,23.9,24.49,1601100,0.0
2008-05-16,24.52,24.8,24.39,24.72,1445700,0.0
2008-05-19,25.21,25.99,25.21,25.45,1919800,0.0
2008-05-20,25.41,25.71,25.05,25.6,1346800,0.0
2008-05-21,25.6,26.07,25.6,25.68,1934900,0.0
2008-05-22,25.78,25.83,25.21,25.32,874200,0.0
2008-05-23,25.41,25.41,24.66,24.74,1010400,0.0
2008-05-27,24.75,25.09,24.6,25.04,841600,0.0
2008-05-28,25.16,26.47,24.71,26.31,2024100,0.0
2008-05-29,26.17,26.47,25.95,26.01,934600,0.0
2008-05-30,26.11,26.14,25.8,26.04,1037300,0.0
2008-06-02,25.87,25.99,25.47,25.55,723800,0.0
2008-06-03,25.52,25.77,25.34,25.56,681100,0.0
2008-06-04,25.52,25.75,25.38,25.52,1013400,0.0
2008-06-05,25.76,25.85,25.51,25.84,1008700,0.0
2008-06-06,25.7,25.73,25.06,25.12,500100,0.0
2008-06-09,25.1,25.11,24.34,24.62,537000,0.0
2008-06-10,24.5,24.53,23.92,23.99,1334100,0.0
2008-06-11,23.92,23.92,23.32,23.36,530300,0.3
2008-06-12,23.6,23.9,23.45,23.5,542700,0.0
2008-06-13,23.5,24.15,23.5,24.07,679300,0.0
2008-06-16,23.91,24.06,23.67,23.89,713600,0.0
2008-06-17,23.93,24.13,23.67,23.88,831500,0.0
2008-06-18,23.72,24.2,23.17,23.85,1051400,0.0
2008-06-19,23.69,24.24,23.6,24.1,492700,0.0
2008-06-20,23.81,24.02,23.09,23.13,873800,0.0
2008-06-23,23.15,23.27,22.73,22.76,698200,0.0
2008-06-24,22.7,22.71,22.0,22.34,1659700,0.0
2008-06-25,22.48,22.72,22.33,22.45,985400,0.0
2008-06-26,22.25,22.25,21.75,21.86,1319400,0.0
2008-06-27,21.96,22.24,21.76,22.02,1494800,0.0
2008-06-30,21.92,21.94,21.45,21.51,717600,0.0
2008-07-01,21.32,21.51,20.93,21.47,914600,0.0
2008-07-02,21.48,21.75,21.14,21.14,786700,0.0
2008-07-03,21.17,22.13,21.04,21.94,872000,0.0
2008-07-07,22.02,22.8,21.85,22.17,1636700,0.0
2008-07-08,22.33,23.54,22.14,23.34,1346100,0.0
2008-07-09,23.28,23.56,22.71,22.78,751100,0.0
2008-07-10,22.66,23.07,22.43,22.64,930300,0.0
2008-07-11,22.36,22.8,21.91,22.15,1383200,0.0
2008-07-14,22.32,23.27,21.99,23.26,2013100,0.0
2008-07-15,23.09,23.68,22.35,23.2,1889400,0.0
2008-07-16,23.29,23.91,23.12,23.82,1186100,0.0
2008-07-17,23.95,24.94,23.82,24.91,1052100,0.0
2008-07-18,24.9,25.42,23.7,25.34,1055000,0.0
2008-07-21,25.29,25.49,24.65,25.0,2255500,0.0
2008-07-22,25.69,25.95,25.21,25.29,3343500,0.0
2008-07-23,25.43,26.03,25.42,25.89,1912100,0.0
2008-07-24,25.99,25.99,24.57,24.61,1811500,0.0
2008-07-25,24.64,25.31,24.62,24.97,1656600,0.0
2008-07-28,24.81,25.5,24.79,24.99,1041200,0.0
2008-07-29,24.94,25.5,24.94,25.19,1559800,0.0
2008-07-30,25.39,25.59,24.83,25.17,1337600,0.0
2008-07-31,24.99,25.69,24.99,25.52,1877500,0.0
2008-08-01,25.44,25.59,24.85,24.96,1612100,0.0
2008-08-04,24.91,25.11,24.45,25.01,2042000,0.0
2008-08-05,25.03,25.21,24.53,24.82,1792600,0.0
2008-08-06,24.82,25.29,24.65,24.81,722300,0.0
2008-08-07,24.73,24.73,23.82,23.89,774300,0.0
2008-08-08,23.94,24.75,23.92,24.74,1050000,0.0
2008-08-11,24.99,25.29,24.52,25.29,717200,0.0
2008-08-12,25.12,25.52,24.74,24.82,807700,0.0
2008-08-13,24.82,24.93,24.6,24.74,749400,0.0
2008-08-14,24.71,25.28,24.5,25.13,832100,0.0
2008-08-15,25.16,25.83,25.06,25.77,1055100,0.0
2008-08-18,25.99,26.39,25.68,25.84,1362000,0.0
2008-08-19,25.79,25.93,25.17,25.32,544700,0.0
2008-08-20,25.39,25.62,25.15,25.44,613800,0.0
2008-08-21,25.29,25.63,25.23,25.43,397400,0.0
2008-08-22,25.79,25.79,25.37,25.66,433900,0.0
2008-08-25,25.49,25.5,24.75,24.83,635900,0.0
2008-08-26,24.84,24.89,24.53,24.73,629400,0.0
2008-08-27,24.83,25.25,24.83,25.17,1354300,0.0
2008-08-28,25.28,26.07,25.08,26.07,916200,0.0
2008-08-29,25.86,26.1,25.57,25.75,755400,0.0
2008-09-02,26.13,26.17,25.39,25.63,619200,0.0
2008-09-03,25.9,26.99,25.77,26.39,2057500,0.0
2008-09-04,26.2,26.26,25.04,25.28,934400,0.0
2008-09-05,25.25,26.01,25.0,25.79,1536800,0.0
2008-09-08,26.3,26.35,24.97,25.07,1584900,0.0
2008-09-09,25.49,25.81,24.9,25.2,1865300,0.0
2008-09-10,25.31,25.57,24.59,25.34,1174800,0.0
2008-09-11,24.97,25.78,24.55,25.68,982200,0.3
2008-09-12,25.51,26.19,25.14,26.0,776100,0.0
2008-09-15,25.89,26.25,24.56,25.12,975200,0.0
2008-09-16,24.78,25.04,23.81,24.84,1534200,0.0
2008-09-17,24.61,24.61,22.63,22.63,1774700,0.0
2008-09-18,22.85,23.22,21.39,22.34,2482900,0.0
2008-09-19,23.42,25.89,22.4,23.49,1743000,0.0
2008-09-22,23.37,24.02,22.99,23.08,1767600,0.0
2008-09-23,23.03,24.01,22.93,23.24,1280100,0.0
2008-09-24,23.32,23.84,22.72,23.55,988100,0.0
2008-09-25,23.71,24.5,23.7,24.22,1816400,0.0
2008-09-26,23.8,24.38,23.43,23.77,740000,0.0
2008-09-29,23.41,23.41,22.05,22.37,1474200,0.0
2008-09-30,22.73,23.21,22.04,23.18,952900,0.0
2008-10-01,23.1,23.6,22.75,23.25,922700,0.0
2008-10-02,23.15,23.27,22.11,22.24,740200,0.0
2008-10-03,22.5,23.35,22.01,22.05,1073300,0.0
2008-10-06,21.67,21.67,20.44,21.43,2074000,0.0
2008-10-07,21.6,22.32,20.4,20.6,1450000,0.0
2008-10-08,20.09,21.22,20.0,20.29,1573700,0.0
2008-10-09,20.65,20.85,18.84,18.87,1846700,0.0
2008-10-10,18.32,19.18,17.16,18.52,2702400,0.0
2008-10-13,19.66,20.27,18.84,20.27,1398800,0.0
2008-10-14,20.91,21.46,19.4,19.9,1618800,0.0
2008-10-15,19.6,19.6,16.84,17.62,2662700,0.0
2008-10-16,17.67,18.15,16.23,17.78,2377400,0.0
2008-10-17,17.35,18.06,17.14,17.26,1318100,0.0
