Date,Open,High,Low,Close,Volume,Dividend
1990-01-02,2.42,2.47,2.39,2.44,376200,0.0
1990-01-03,2.44,2.47,2.44,2.47,154800,0.0
1990-01-04,2.44,2.44,2.36,2.36,68400,0.0
1990-01-05,2.36,2.39,2.33,2.33,157500,0.0
1990-01-08,2.31,2.32,2.25,2.25,128700,0.0
1990-01-09,2.31,2.33,2.25,2.33,158400,0.0
1990-01-10,2.31,2.31,2.22,2.22,157500,0.0
1990-01-11,2.25,2.25,2.22,2.22,64800,0.0
1990-01-12,2.25,2.25,2.19,2.22,173700,0.0
1990-01-15,2.19,2.25,2.19,2.22,63900,0.0
1990-01-16,2.22,2.25,2.19,2.25,187200,0.0
1990-01-17,2.22,2.28,2.22,2.28,105300,0.0
1990-01-18,2.28,2.28,2.22,2.22,60300,0.0
1990-01-19,2.22,2.31,2.22,2.31,157500,0.0
1990-01-22,2.31,2.31,2.25,2.25,136800,0.0
1990-01-23,2.22,2.28,2.19,2.21,78300,0.0
1990-01-24,2.19,2.22,2.14,2.19,270900,0.0
1990-01-25,2.19,2.19,2.14,2.14,40500,0.0
1990-01-26,2.17,2.17,2.14,2.17,76500,0.0
1990-01-29,2.17,2.17,2.14,2.14,18000,0.0
1990-01-30,2.14,2.17,2.06,2.11,304200,0.0
1990-01-31,2.11,2.11,2.06,2.11,261900,0.0
1990-02-01,2.11,2.14,2.08,2.12,92700,0.0
1990-02-02,2.14,2.14,2.11,2.11,52200,0.0
1990-02-05,2.11,2.14,2.11,2.11,97200,0.0
1990-02-06,2.11,2.12,2.08,2.1,202500,0.0
1990-02-07,2.08,2.14,2.08,2.08,153000,0.0
1990-02-08,2.11,2.11,2.06,2.11,97200,0.0
1990-02-09,2.11,2.11,2.06,2.06,190800,0.0
1990-02-12,2.11,2.11,2.06,2.11,29700,0.0
1990-02-13,2.11,2.11,2.0,2.07,707400,0.0
1990-02-14,2.08,2.08,2.07,2.08,36000,0.0
1990-02-15,2.08,2.14,2.06,2.14,85500,0.0
1990-02-16,2.11,2.14,2.08,2.14,164700,0.0
1990-02-20,2.14,2.14,2.06,2.06,206100,0.0
1990-02-21,2.06,2.08,2.03,2.08,19800,0.0
1990-02-22,2.08,2.11,2.06,2.11,37800,0.0
1990-02-23,2.06,2.08,2.06,2.08,38700,0.0
1990-02-26,2.03,2.08,2.03,2.04,297000,0.0
1990-02-27,2.08,2.11,2.06,2.11,140400,0.0
1990-02-28,2.11,2.14,2.08,2.11,99000,0.0
1990-03-01,2.1,2.11,2.08,2.08,62100,0.05402
1990-03-02,2.08,2.12,2.08,2.12,156600,0.0
1990-03-05,2.08,2.11,2.06,2.11,353700,0.0
1990-03-06,2.11,2.11,2.06,2.11,9000,0.0
1990-03-07,2.08,2.11,2.08,2.08,36900,0.0
1990-03-08,2.11,2.11,2.06,2.11,21600,0.0
1990-03-09,2.08,2.08,2.08,2.08,2700,0.0
