date,ticker,name,reports,period,epsWallStreet,epsEstimize,epsActual,revWallStreet,revEstimize,revActual
1/3/2012,TISI,Team Inc.,AMC,FQ4 ‘11,0.49,,0.53,154.1,,158.27
1/3/2012,PRGS,Progress Software Corp.,AMC,FQ4 ‘11,0.33,,0.36,133.54,,93.54
1/4/2012,SONC,Sonic Corp.,AMC,FQ1 ‘12,0.09,,0.09,129.87,,128.28
1/4/2012,MOS,The Mosaic Company,AMC,FQ4 ‘11,1.28,1.26,1.4,3202,2613,2860
1/5/2012,SHLM,"A. Schulman, Inc.",AMC,FQ1 ‘12,0.42,,0.52,618.8,,517.29
1/5/2012,GPN,Global Payments Inc.,AMC,FQ4 ‘11,0.86,0.88,0.86,525.11,547.71,530.51
1/6/2012,CMC,Commercial Metals Company,BMO,FQ1 ‘12,0.16,,0.2,2053,,1987
1/6/2012,GBX,Greenbrier Companies,BMO,FQ1 ‘12,0.36,,0.48,404.41,,398.2
1/6/2012,AZZ,AZZ Incorporated,BMO,FQ3 ‘12,0.39,,0.39,118.19,,116.49
1/9/2012,WDFC,WD-40 Company,AMC,FQ1 ‘12,0.54,,0.42,86.12,,84.95
1/9/2012,AYI,"Acuity Brands, Inc.",BMO,FQ1 ‘12,0.67,,0.74,466.1,,474.3
1/9/2012,SCHN,Schnitzer Steel Industries Inc.,BMO,FQ1 ‘12,0.23,,0.25,790.27,,812.18
1/10/2012,SNX,SYNNEX Corp.,AMC,FQ4 ‘11,1.14,,1.37,2818,,2841
1/11/2012,LEN,Lennar Corp.,BMO,FQ4 ‘11,0.17,0.19,0.16,913.95,925.64,952.65
1/13/2012,JPM,JPMorgan Chase & Co.,BMO,FQ4 ‘11,0.9,0.97,0.9,22997,23789,22200
1/17/2012,CHKP,Check Point Software Technologies Ltd.,BMO,FQ4 ‘11,0.82,0.81,0.84,355.56,357,356.76
1/17/2012,CREE,Cree Inc.,AMC,FQ2 ‘12,0.26,0.26,0.25,309.85,312.03,304.12
1/17/2012,AMTD,TD Ameritrade Holding Corporation,BMO,FQ1 ‘12,0.26,,0.27,671.47,,653.39
1/17/2012,ADTN,ADTRAN Inc.,AMC,FQ4 ‘11,0.46,,0.48,174.71,,175.29
1/17/2012,WFC,Wells Fargo & Company,BMO,FQ4 ‘11,0.72,0.68,0.73,20075,20533,20610
1/17/2012,C,"Citigroup, Inc.",BMO,FQ4 ‘11,0.5,0.86,0.38,18537,19838,17170
1/18/2012,ASML,ASML Holding NV,BMO,FQ4 ‘11,0.7,,1.15,1555,,1573
1/18/2012,PNC,PNC Financial Services Group Inc.,BMO,FQ4 ‘11,1.41,,1.39,3537,,3550
1/18/2012,PLXS,Plexus Corp.,AMC,FQ1 ‘12,0.48,,0.51,527.78,,529.65
1/18/2012,GS,"The Goldman Sachs Group, Inc.",BMO,FQ4 ‘11,1.46,1.78,1.84,6545,6494,6050
1/18/2012,FAST,Fastenal Company,BMO,FQ4 ‘11,0.3,,0.3,695.7,,697.8
1/18/2012,EBAY,eBay Inc.,AMC,FQ4 ‘11,0.57,0.56,0.6,3321,3334,3380
1/18/2012,USB,U.S. Bancorp,BMO,FQ4 ‘11,0.63,,0.64,4763,,5100
1/18/2012,NTRS,Northern Trust Corporation,BMO,FQ4 ‘11,0.68,,0.7,970.43,,955.6
1/18/2012,STT,State Street Corp.,BMO,FQ4 ‘11,0.94,,0.93,2400,,3320
1/18/2012,XLNX,Xilinx Inc.,AMC,FQ3 ‘12,0.37,0.36,0.41,499.27,496.75,511.09
1/18/2012,BK,The Bank of New York Mellon Corporation,BMO,FQ4 ‘11,0.54,,0.42,3747,,3570
1/18/2012,FFIV,"F5 Networks, Inc.",AMC,FQ1 ‘12,1.01,1.02,1.03,319.15,319.42,322.43
1/18/2012,APH,Amphenol Corporation,BMO,FQ4 ‘11,0.35,0.36,0.37,932.26,947.34,948.71
1/18/2012,FUL,HB Fuller Co.,AMC,FQ4 ‘11,0.59,,0.56,416.87,,401.55
1/18/2012,SCHW,Charles Schwab Corp.,BMO,FQ4 ‘11,0.13,,0.13,1108,,1113
1/19/2012,EZPW,EZCORP Inc.,AMC,FQ1 ‘12,0.81,,0.78,249.07,,248.87
1/19/2012,DGII,Digi International Inc.,AMC,FQ1 ‘12,0.09,,0.03,51.14,,46.66
1/19/2012,HOMB,"Home Bancshares, Inc.",BMO,FQ4 ‘11,0.13,,0.13,45.9,,54.39
1/20/2012,GE,General Electric Co.,BMO,FQ4 ‘11,0.38,0.39,0.39,40033,40461,37973
1/20/2012,STI,"SunTrust Banks, Inc.",BMO,FQ4 ‘11,0.27,,0.28,2094,,2260
1/20/2012,SLB,Schlumberger Limited,BMO,FQ4 ‘11,1.09,1.1,1.1,10782,10827,10336
1/23/2012,CSX,CSX Corp.,AMC,FQ4 ‘11,0.44,,0.43,2991,,2951
1/23/2012,VMW,"VMware, Inc.",AMC,FQ4 ‘12,0.6,0.63,0.62,1049,1095,1060
1/23/2012,HAL,Halliburton Company,BMO,FQ4 ‘11,0.99,1,1,6814,6781,7064
1/23/2012,JJSF,J&J Snack Foods Corp.,AMC,FQ1 ‘12,0.4,,0.29,169.4,,172.69
1/23/2012,WDC,Western Digital Corp.,AMC,FQ2 ‘12,0.72,,0.61,1838,,1995
1/23/2012,ALB,Albemarle Corp.,AMC,FQ4 ‘11,1.09,,0.51,699.8,,707.39
1/23/2012,STBA,S&T Bancorp Inc.,BMO,FQ4 ‘11,0.37,,0.33,44.87,,51.83
1/23/2012,PKG,Packaging Corp. of America,AMC,FQ4 ‘11,0.37,,0.4,637.11,,654.3
1/23/2012,TXN,Texas Instruments Inc.,AMC,FQ4 ‘11,0.39,,0.48,3254,,3420
1/23/2012,KSU,Kansas City Southern,AMC,FQ4 ‘11,0.79,,0.77,549.7,,530.3
1/23/2012,WWD,"Woodward, Inc.",AMC,FQ1 ‘12,0.45,,0.4,424.85,,407.9
1/23/2012,STM,STMicroelectronics NV,AMC,FQ4 ‘11,0.03,,-0.01,2230,,2191
1/23/2012,TWIN,Twin Disc Inc.,BMO,FQ2 ‘12,0.6,,0.5,89.88,,82.94
1/24/2012,MDP,Meredith Corp.,BMO,FQ2 ‘12,0.67,,0.7,342.28,,328.72
1/24/2012,SMCI,"Super Micro Computer, Inc.",AMC,FQ2 ‘12,0.25,,0.25,249.75,,249.92
1/24/2012,MRTN,Marten Transport Ltd.,AMC,FQ4 ‘11,0.12,,0.14,156.57,,158.34
1/24/2012,ASH,Ashland Global Holdings Inc.,BMO,FQ1 ‘12,0.98,,1.2,1986,,1930
1/24/2012,APD,Air Products & Chemicals Inc.,BMO,FQ1 ‘12,1.36,,1.26,2525,,2322
1/24/2012,ETH,Ethan Allen Interiors Inc.,AMC,FQ2 ‘12,0.27,,0.3,191.39,,183.28
1/24/2012,EFII,"Electronics for Imaging, Inc.",AMC,FQ4 ‘11,0.33,,0.36,159.65,,163.06
1/25/2012,FCFS,"FirstCash, Inc.",BMO,FQ4 ‘11,0.7,,0.69,148.75,,144.98
1/25/2012,MUR,Murphy Oil Corporation,AMC,FQ4 ‘11,1.41,,1.31,6418,,6761
1/25/2012,HES,Hess Corporation,BMO,FQ4 ‘11,1.33,,1.17,9230,,9733
1/25/2012,RES,RPC Inc.,BMO,FQ4 ‘11,0.42,,0.34,534.32,,482.78
1/25/2012,QTM,Quantum Corporation,AMC,FQ3 ‘12,0.24,,0.4,171.11,,173.49
1/25/2012,ROL,Rollins Inc.,BMO,FQ4 ‘11,0.1,,0.1,290.76,,289.06
1/25/2012,VAR,Varian Medical Systems Inc.,AMC,FQ1 ‘12,0.76,,0.79,633.26,,625.3
1/25/2012,COHR,Coherent Inc.,AMC,FQ1 ‘12,0.82,,0.82,194.52,,190.77
1/25/2012,UGI,UGI Corp.,BMO,FQ1 ‘12,0.71,,0.51,2155,,1689
1/25/2012,KNX,Knight-Swift Transportation Holdings Inc.,AMC,FQ4 ‘11,0.21,,0.22,218.82,,224.1
1/25/2012,CTS,CTS Corporation,AMC,FQ4 ‘11,0.23,,0.15,158.25,,144
1/25/2012,WRLD,World Acceptance Corp.,BMO,FQ3 ‘12,1.32,,1.3,139.55,,135.95
1/25/2012,OXY,Occidental Petroleum Corporation,BMO,FQ4 ‘11,1.96,,2.02,5765,,6034
1/25/2012,ATI,Allegheny Technologies Inc.,BMO,FQ4 ‘11,0.54,,0.31,1305,,1251
1/25/2012,SO,Southern Company,BMO,FQ4 ‘11,0.3,,0.3,4010,,3696
